"doi","journal","year","paper_number","article_id","source","ok"
"10.1111/1365-2435.13870","Functional Ecology","2021","1771","10_1111_1365_2435_13870","wiley_proxy","TRUE"
"10.1111/1365-2745.12974","Journal of Ecology","2018","3373","10_1111_1365_2745_12974","wiley_proxy","TRUE"
"10.1111/1365-2435.14644","Functional Ecology","2024","2230","10_1111_1365_2435_14644","wiley_proxy","TRUE"
"10.1111/1365-2745.13292","Journal of Ecology","2019","1176","10_1111_1365_2745_13292","wiley_proxy","TRUE"
"10.1111/2041-210X.13806","Methods in Ecology and Evolution","2022","7911","10_1111_2041_210x_13806","wiley_proxy","TRUE"
"10.1002/2688-8319.12165","Ecological Solutions and Evidence","2022","355","10_1002_2688_8319_12165","wiley_proxy","TRUE"
"10.1111/1365-2664.14593","Journal of Applied Ecology","2024","302","10_1111_1365_2664_14593","wiley_proxy","TRUE"
"10.1111/1365-2435.13881","Functional Ecology","2021","1261","10_1111_1365_2435_13881","wiley_proxy","TRUE"
"10.1111/2041-210X.13143","Methods in Ecology and Evolution","2019","751","10_1111_2041_210x_13143","wiley_proxy","TRUE"
"10.1111/1365-2435.13410","Functional Ecology","2019","25","10_1111_1365_2435_13410","wiley_proxy","TRUE"
"10.1111/1365-2656.13796","Journal of Animal Ecology","2022","176","10_1111_1365_2656_13796","europepmc","TRUE"
"10.1111/1365-2656.13995","Journal of Animal Ecology","2023","1892","10_1111_1365_2656_13995","wiley_proxy","TRUE"
"10.1111/1365-2435.13032","Functional Ecology","2018","233","10_1111_1365_2435_13032","wiley_proxy","TRUE"
"10.1111/1365-2745.12944","Journal of Ecology","2018","1222","10_1111_1365_2745_12944","wiley_proxy","TRUE"
"10.1111/1365-2745.12907","Journal of Ecology","2017","4152","10_1111_1365_2745_12907","wiley_proxy","TRUE"
"10.1111/2041-210X.14479","Methods in Ecology and Evolution","2024","1402","10_1111_2041_210x_14479","wiley_proxy","TRUE"
"10.1111/1365-2745.14152","Journal of Ecology","2023","1022","10_1111_1365_2745_14152","wiley_proxy","TRUE"
"10.1111/1365-2664.13003","Journal of Applied Ecology","2017","705","10_1111_1365_2664_13003","wiley_proxy","TRUE"
"10.1111/1365-2656.13270","Journal of Animal Ecology","2020","60","10_1111_1365_2656_13270","wiley_proxy","TRUE"
"10.1111/1365-2664.13709","Journal of Applied Ecology","2020","2231","10_1111_1365_2664_13709","wiley_proxy","TRUE"
"10.1111/2041-210X.13871","Methods in Ecology and Evolution","2022","4200","10_1111_2041_210x_13871","wiley_proxy","TRUE"
"10.1111/1365-2745.14159","Journal of Ecology","2023","1175","10_1111_1365_2745_14159","wiley_proxy","TRUE"
"10.1111/1365-2656.14232","Journal of Animal Ecology","2024","6150","10_1111_1365_2656_14232","europepmc","TRUE"
"10.1111/1365-2435.14168","Functional Ecology","2022","7340","10_1111_1365_2435_14168","wiley_proxy","TRUE"
"10.1111/1365-2656.14000","Journal of Animal Ecology","2023","2301","10_1111_1365_2656_14000","wiley_proxy","TRUE"
"10.1111/1365-2656.13655","Journal of Animal Ecology","2022","777","10_1111_1365_2656_13655","wiley_proxy","TRUE"
"10.1111/2041-210X.12993","Methods in Ecology and Evolution","2018","765","10_1111_2041_210x_12993","europepmc","TRUE"
"10.1111/1365-2435.14552","Functional Ecology","2024","26","10_1111_1365_2435_14552","wiley_proxy","TRUE"
"10.1111/1365-2656.13367","Journal of Animal Ecology","2020","7122","10_1111_1365_2656_13367","wiley_proxy","TRUE"
"10.1111/1365-2745.14046","Journal of Ecology","2022","1211","10_1111_1365_2745_14046","wiley_proxy","TRUE"
"10.1002/pan3.10564","People and Nature","2023","752","10_1002_pan3_10564","wiley_proxy","TRUE"
"10.1111/1365-2656.12808","Journal of Animal Ecology","2018","5798","10_1111_1365_2656_12808","wiley_proxy","TRUE"
"10.1111/1365-2435.13988","Functional Ecology","2021","303","10_1111_1365_2435_13988","wiley_proxy","TRUE"
"10.1111/1365-2435.13428","Functional Ecology","2019","1832","10_1111_1365_2435_13428","wiley_proxy","TRUE"
"10.1111/1365-2656.12882","Journal of Animal Ecology","2018","1042","10_1111_1365_2656_12882","wiley_proxy","TRUE"
"10.1111/1365-2656.13052","Journal of Animal Ecology","2019","1369","10_1111_1365_2656_13052","wiley_proxy","TRUE"
"10.1111/1365-2745.14067","Journal of Ecology","2023","1023","10_1111_1365_2745_14067","wiley_proxy","TRUE"
"10.1111/2041-210X.14007","Methods in Ecology and Evolution","2022","1893","10_1111_2041_210x_14007","wiley_proxy","TRUE"
"10.1111/1365-2745.14017","Journal of Ecology","2022","2232","10_1111_1365_2745_14017","wiley_proxy","TRUE"
"10.1111/1365-2664.13598","Journal of Applied Ecology","2020","3381","10_1111_1365_2664_13598","wiley_proxy","TRUE"
"10.1111/1365-2745.13654","Journal of Ecology","2021","101","10_1111_1365_2745_13654","wiley_proxy","TRUE"
"10.1111/1365-2435.13109","Functional Ecology","2018","444","10_1111_1365_2435_13109","wiley_proxy","TRUE"
"10.1111/1365-2435.13525","Functional Ecology","2020","2272","10_1111_1365_2435_13525","wiley_proxy","TRUE"
"10.1111/1365-2664.14106","Journal of Applied Ecology","2022","778","10_1111_1365_2664_14106","wiley_proxy","TRUE"
"10.1111/1365-2435.13194","Functional Ecology","2018","1223","10_1111_1365_2435_13194","wiley_proxy","TRUE"
"10.1111/1365-2435.13560","Functional Ecology","2020","2342","10_1111_1365_2435_13560","wiley_proxy","TRUE"
"10.1111/1365-2664.14317","Journal of Animal Ecology","2022","1441","10_1111_1365_2664_14317","wiley_proxy","TRUE"
"10.1111/1365-2435.13924","Functional Ecology","2021","1177","10_1111_1365_2435_13924","wiley_proxy","TRUE"
"10.1111/1365-2745.13956","Journal of Ecology","2022","1051","10_1111_1365_2745_13956","wiley_proxy","TRUE"
"10.1111/1365-2435.13768","Functional Ecology","2021","1011","10_1111_1365_2435_13768","wiley_proxy","TRUE"
"10.1111/1365-2664.14332","Journal of Applied Ecology","2022","4103","10_1111_1365_2664_14332","wiley_proxy","TRUE"
"10.1111/1365-2435.13015","Functional Ecology","2017","3889","10_1111_1365_2435_13015","wiley_proxy","TRUE"
"10.1111/2041-210X.12962","Methods in Ecology and Evolution","2018","234","10_1111_2041_210x_12962","europepmc","TRUE"
"10.1111/1365-2656.14134","Journal of Animal Ecology","2024","8085","10_1111_1365_2656_14134","wiley_proxy","TRUE"
"10.1111/1365-2664.13351","Journal of Applied Ecology","2019","1191","10_1111_1365_2664_13351","wiley_proxy","TRUE"
"10.1111/1365-2656.13299","Journal of Animal Ecology","2020","2746","10_1111_1365_2656_13299","wiley_proxy","TRUE"
"10.1111/1365-2656.12787","Journal of Animal Ecology","2018","7912","10_1111_1365_2656_12787","wiley_proxy","TRUE"
"10.1111/1365-2745.14190","Journal of Ecology","2023","1024","10_1111_1365_2745_14190","wiley_proxy","TRUE"
"10.1002/2688-8319.12124","Ecological Solutions and Evidence","2022","3473","10_1002_2688_8319_12124","wiley_proxy","TRUE"
"10.1111/2041-210X.13870","Methods in Ecology and Evolution","2022","8086","10_1111_2041_210x_13870","wiley_proxy","TRUE"
"10.1002/pan3.10642","People and Nature","2024","3374","10_1002_pan3_10642","wiley_proxy","TRUE"
"10.1111/2041-210X.13913","Methods in Ecology and Evolution","2022","1712","10_1111_2041_210x_13913","wiley_proxy","TRUE"
"10.1111/1365-2435.14016","Functional Ecology","2022","1212","10_1111_1365_2435_14016","wiley_proxy","TRUE"
"10.1111/2041-210X.13206","Methods in Ecology and Evolution","2019","27","10_1111_2041_210x_13206","wiley_proxy","TRUE"
"10.1111/1365-2664.13586","Journal of Applied Ecology","2020","304","10_1111_1365_2664_13586","wiley_proxy","TRUE"
"10.1111/1365-2745.13882","Journal of Ecology","2022","753","10_1111_1365_2745_13882","wiley_proxy","TRUE"
"10.1111/2041-210X.13397","Methods in Ecology and Evolution","2020","61","10_1111_2041_210x_13397","wiley_proxy","TRUE"
"10.1111/1365-2435.13998","Functional Ecology","2022","1699","10_1111_1365_2435_13998","wiley_proxy","TRUE"
"10.1002/2688-8319.12123","Ecological Solutions and Evidence","2022","3259","10_1002_2688_8319_12123","wiley_proxy","TRUE"
"10.1111/1365-2745.13193","Journal of Ecology","2019","6151","10_1111_1365_2745_13193","wiley_proxy","TRUE"
"10.1111/1365-2435.13008","Functional Ecology","2017","1484","10_1111_1365_2435_13008","wiley_proxy","TRUE"
"10.1002/2688-8319.12022","Ecological Solutions and Evidence","2020","5799","10_1002_2688_8319_12022","wiley_proxy","TRUE"
"10.1002/pan3.10582","People and Nature","2024","1060","10_1002_pan3_10582","wiley_proxy","TRUE"
