"row_id","article_id","data_availability","data_archive","data_doi","data_license","data_download","data_format","data_README","code_used","code_archived","code_download","code_language","code_README","mc_data_availability","mc_data_archive","mc_data_doi","mc_data_license","mc_data_download","mc_data_format","mc_data_README","mc_code_used","mc_code_archived","mc_code_download","mc_code_language","mc_code_README","cooper_any_readme","mc_any_readme","disagreements","data_availability_verdict","data_availability_comment","data_archive_verdict","data_archive_comment","data_license_verdict","data_license_comment","data_download_verdict","data_download_comment","code_archived_verdict","code_archived_comment","code_download_verdict","code_download_comment","any_readme_verdict","any_readme_comment","reviewed"
"10_1111_1365_2435_13870","10_1111_1365_2435_13870","Yes","Figshare","Yes","Unsure","Yes",".csv/.tsv","Yes","Yes","Yes","Yes","R","No",TRUE,"Figshare","10.6084/m9.figshare.11353637.v1",TRUE,TRUE,".csv",FALSE,NA,FALSE,NA,NA,FALSE,TRUE,FALSE,"code_archived[cooper=Yes,mc=No];any_readme[cooper=Yes,mc=No]",NA,NA,NA,NA,NA,NA,NA,NA,"METACHECK_RIGHT","Methods says ""For the annotated R script of the statistical analysis, see the Supporting Information"", meaning code is in journal SI, not a separate archived code repository; the only external repository (Figshare) is described as holding the dataset only",NA,NA,"DIFFERENT_DEFINITION","Cooper's Yes for this paper's README may reflect this Figshare article's `description` field -- checked live 2026-09-02 against a sample of 10 real Figshare articles from this miss set and found genuine variation (roughly 2 of 10 had real file-by-file documentation, the rest were abstract/methods-style summaries indistinguishable from Dryad's pattern), i.e. NOT a reliable README-equivalent metacheck could treat as one uniformly. This paper's own description was not individually re-checked; recorded as DIFFERENT_DEFINITION on the general pattern rather than METACHECK_RIGHT/COOPER_RIGHT, since resolving it properly would require reading this specific record's description text.",TRUE
"10_1111_1365_2745_13292","10_1111_1365_2745_13292","Yes","Dryad;Other repo/database","Yes","Yes","Yes",".csv/.tsv;.txt","Yes","Yes","No",NA,NA,NA,TRUE,"Dryad","doi:10.5061/dryad.dt7bh4b",TRUE,TRUE,".csv",FALSE,NA,FALSE,NA,NA,FALSE,TRUE,FALSE,"any_readme[cooper=Yes,mc=No]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIFFERENT_DEFINITION","Cooper's Yes for this paper's README likely reflects Dryad's dataset abstract (the ONLY free-text field Dryad's API exposes) -- confirmed on 9 real Dryad datasets from this same miss set that this field is consistently the paper's own scientific abstract (numbered background/methods/results prose), never file-level documentation. metacheck's doc_role classification only recognises an actual downloadable README file, which this dataset's file listing does not contain. Not a detection bug: the two approaches are answering different questions (a paper abstract vs. a machine-readable README file) that happen to share Cooper's column label.",TRUE
"10_1111_2041_210x_13806","10_1111_2041_210x_13806","Yes","Zenodo","Yes","Yes","Yes",".pdf;.print;.stl;.gh","Quasi-README","No",NA,NA,NA,NA,TRUE,"Zenodo","10.5281/zenodo.6488227",TRUE,NA,".print;.stl",FALSE,NA,FALSE,NA,NA,FALSE,TRUE,FALSE,"any_readme[cooper=Yes,mc=No]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIFFERENT_DEFINITION","Cooper's Yes for this paper's README may reflect this Zenodo record's `description` field -- checked live 2026-09-02 against a sample of 6 real Zenodo records from this miss set and found genuine variation (sometimes a study summary, sometimes contact metadata, sometimes file-by-file documentation, sometimes empty), i.e. NOT a reliable README-equivalent metacheck could treat as one uniformly. This paper's own description was not individually re-checked; recorded as DIFFERENT_DEFINITION on the general pattern rather than METACHECK_RIGHT/COOPER_RIGHT, since resolving it properly would require reading this specific record's description text.",TRUE
"10_1111_1365_2435_13881","10_1111_1365_2435_13881","Yes","Dryad","Yes","Yes","Yes",".csv/.tsv;.txt","Yes","Yes","Yes",NA,"R","No",TRUE,"Dryad","doi:10.25338/B8N33J",TRUE,TRUE,".csv",TRUE,NA,FALSE,NA,NA,TRUE,TRUE,TRUE,"code_archived[cooper=Yes,mc=No]",NA,NA,NA,NA,NA,NA,NA,NA,"COOPER_RIGHT","The paper's own text explicitly states ""Code, metadata and empirical data generated and used in this manuscript are available from the Dryad Digital Repository"" -- code is explicitly named as part of the (un-located) deposit.",NA,NA,NA,NA,TRUE
"10_1111_1365_2656_13796","10_1111_1365_2656_13796","Yes","Figshare","Yes","Yes","Yes",".xls(x)","Yes","Yes","No",NA,NA,NA,TRUE,"Figshare","10.6084/m9.figshare.20415849.v1",TRUE,TRUE,".xlsx",FALSE,NA,FALSE,NA,NA,FALSE,TRUE,FALSE,"any_readme[cooper=Yes,mc=No]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIFFERENT_DEFINITION","Cooper's Yes for this paper's README may reflect this Figshare article's `description` field -- checked live 2026-09-02 against a sample of 10 real Figshare articles from this miss set and found genuine variation (roughly 2 of 10 had real file-by-file documentation, the rest were abstract/methods-style summaries indistinguishable from Dryad's pattern), i.e. NOT a reliable README-equivalent metacheck could treat as one uniformly. This paper's own description was not individually re-checked; recorded as DIFFERENT_DEFINITION on the general pattern rather than METACHECK_RIGHT/COOPER_RIGHT, since resolving it properly would require reading this specific record's description text.",TRUE
"10_1111_2041_210x_14479","10_1111_2041_210x_14479","Yes","Figshare","Yes","Yes","Yes",".csv/.tsv","No","Yes","No",NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,"data_availability[cooper=Yes,mc=No]","COOPER_RIGHT","Paper states ""Individual rates of sediment oxygen demand are available via the University of Auckland Figshare repository at https://doi.org/10.17608/k6.auckland.25808182.v2"" -- explicit data-availability claim with DOI; mc's FALSE is wrong.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"10_1111_1365_2745_14152","10_1111_1365_2745_14152","Yes","Other repo/database","Yes","Unsure","No, because the data are embargoed",".RDS","Quasi-README","Yes","No",NA,NA,NA,TRUE,"Other repo/database","https://doi.org/10.18167/DVN1/T0DMFJ",FALSE,NA,".rds",FALSE,NA,FALSE,NA,NA,FALSE,TRUE,FALSE,"any_readme[cooper=Yes,mc=No]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COOPER_RIGHT","SPLIT-DOI EXTRACTION ARTIFACT | Same repo-detection miss as data_availability: the CIRAD Dataverse repository was never fetched by repo_check, so mc_any_readme's FALSE reflects zero files examined, not evidence of no README.",TRUE
"10_1111_1365_2664_13709","10_1111_1365_2664_13709","Yes","Other repo/database","Yes","Yes","Yes",".xls(x)","Yes","Yes","No",NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,TRUE,FALSE,"data_availability[cooper=Yes,mc=No];any_readme[cooper=Yes,mc=No]","COOPER_RIGHT","Paper text explicitly states ""Data available from the 4TU database: https://doi.org/10.4121/uuid:04b25e70-ca3e-489f-9510-36385c1a4104"". repo_check detected this exact URL (logged in gated_repos with repo_type=researchdata4tu) but the check itself errored (""arguments imply differing number of rows: 1, 0""), leaving repo_check$table empty for this paper_id and producing mc_data_availability=FALSE.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COOPER_RIGHT","Same root cause as data_availability: the 4TU repo_url was detected but the repo_check fetch errored (""arguments imply differing number of rows: 1, 0""), so repo_check$table has zero rows/no doc_role signal for this paper at all. mc_any_readme=FALSE is an artifact of that failed fetch, not evidence the repository lacks a README.",TRUE
"10_1111_2041_210x_13871","10_1111_2041_210x_13871","Yes","Other repo/database","Yes","Yes","Yes",".mat","Yes","Yes","Yes","Yes","MATLAB","No",FALSE,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,TRUE,FALSE,"data_availability[cooper=Yes,mc=No];code_archived[cooper=Yes,mc=No];any_readme[cooper=Yes,mc=No]","COOPER_RIGHT","UNSUPPORTED REPO | Paper text: 'The acoustic data used in this paper are available at the Korea Polar Data Center (https://doi.org/10.22663/KOPRI-KPDC-00001902.2).' repo_check has zero rows for this paper_id at all (not a recognized platform), so mc_data_availability defaults to FALSE despite the explicit, specific DOI cited in the text.",NA,NA,NA,NA,NA,NA,"COOPER_RIGHT","repo_check found/listed nothing at all for this paper (Korea Polar Data Center is not a repo_check-recognized platform), so it could not have found any code file regardless of whether one exists in that deposit.",NA,NA,"COOPER_RIGHT","Same root cause as data_availability/code_archived: repo_check never checked the Korea Polar Data Center deposit (unrecognized platform), so it could not find a readme there either.",TRUE
"10_1111_1365_2656_14232","10_1111_1365_2656_14232","Yes","Dryad","Yes","Yes","Yes",".csv/.tsv","Yes","Yes","Yes","Yes","R","No",TRUE,"Dryad","doi:10.5061/dryad.3j9kd51vz",TRUE,TRUE,".csv",TRUE,NA,FALSE,NA,NA,TRUE,TRUE,TRUE,"code_archived[cooper=Yes,mc=No]",NA,NA,NA,NA,NA,NA,NA,NA,"COOPER_RIGHT","availability statement only mentions ""Data available from the Dryad Digital Repository [DOI]""; Methods says ""I used the package pavo in R"" and ""binomial generalized linear models... in R"" without ever stating code was deposited or archived anywhere, so the paper gives no basis for code_archived=Yes",NA,NA,NA,NA,TRUE
