"article_id","column","comment","category"
"10_1111_2041_210x_13871","data_availability_comment","Paper text: 'The acoustic data used in this paper are available at the Korea Polar Data Center (https://doi.org/10.22663/KOPRI-KPDC-00001902.2).' repo_check has zero rows for this paper_id at all (not a recognized platform), so mc_data_availability defaults to FALSE despite the explicit, specific DOI cited in the text.","UNSUPPORTED_REPO"
"10_1111_1365_2656_14000","data_availability_comment","Reference list cites: ""Anderson, R. O., & Chapple, D. (2022). Data from: Widespread or range-restricted? ... Monash University. Dataset, https://doi.org/10.26180/19095317.v1."" Paper body also states 'Raw physiological data of Lampropholis skinks and R scripts used for [analyses] ...' (sentence truncated by extraction, continuing into the availability statement). repo_check found zero files for this paper -- it never located/checked this Monash University dataset repository.","TEXT_EXTRACTION_TRUNCATED"
"10_1002_pan3_10564","data_availability_comment","Paper's own availability statement: ""All data considered for the analysis of this study are stored and available at: https://doi.org/10.25829/idiv.3538-su6fj5."" Cites a real Other repo/database (iDiv) repository (https://doi.org/10.25829/idiv.3538-su6fj5). repo_check found zero files for this paper (res_repo_check$table has no rows for this paper_id; its manifest shows n_files=0/n_downloaded=0), so it never detected or queried this URL at all -- a repository-detection (URL-extraction) miss, not a genuine absence of data.","UNSUPPORTED_REPO"
"10_1111_1365_2656_13052","data_availability_comment","Paper's own availability statement: ""The data used in this manuscript are available from the Dryad Digital Repository"" (Gibb, Grossman, Dickman, Decker & Wardle, 2019). Cites a real Dryad repository (doi.org/10.5061/dryad...). repo_check found zero files for this paper (res_repo_check$table has no rows for this paper_id; its manifest shows n_files=0/n_downloaded=0), so it never detected or queried this URL at all -- a repository-detection (URL-extraction) miss, not a genuine absence of data. | KNOWN METACHECK LIMITATION (not yet fixed, github.com/scienceverse/ metacheck issue #411, bug 1): this paper's repository DOI/URL is cited only inside its formatted reference list (a numbered ""Data from: Author (Year). Title [Dataset]. https://doi.org/..."" entry), never as an inline hyperlink or bare in-text mention. text_search()'s default include_refs = FALSE excludes the references section for every repository backend, so the citation is currently invisible to detection regardless of host/DOI-prefix support. Confirmed live 2026-09-19: the DOI itself resolves correctly when queried directly.","SPLIT_DOI_EXTRACTION"
"10_1111_1365_2745_13654","data_availability_comment","Paper text states ""Data have been archived with the Bonanza Creek LTER (Sullivan, 2021a/2021b)"", a genuine data-archival claim. No matching URL/DOI appears in gated_repos, so repo_check appears to have never detected/attempted this repository at all (a URL-extraction miss), leaving repo_check$table empty and mc_data_availability=FALSE.","UNSUPPORTED_REPO"
"10_1111_2041_210x_12962","data_availability_comment","Paper's own availability statement: ""Data used in this paper are available from https://doi.org/10.5521/forestplots.net/2018_1 (Sullivan et al., 2018)."" Cites a real Other repo/database (ForestPlots.net) repository (https://doi.org/10.5521/forestplots.net/2018_1). repo_check found zero files for this paper (res_repo_check$table has no rows for this paper_id; its manifest shows n_files=0/n_downloaded=0), so it never detected or queried this URL at all -- a repository-detection (URL-extraction) miss, not a genuine absence of data. | KNOWN METACHECK LIMITATION (not yet fixed, github.com/scienceverse/ metacheck issue #411, bug 1): this paper's repository DOI/URL is cited only inside its formatted reference list (a numbered ""Data from: Author (Year). Title [Dataset]. https://doi.org/..."" entry), never as an inline hyperlink or bare in-text mention. text_search()'s default include_refs = FALSE excludes the references section for every repository backend, so the citation is currently invisible to detection regardless of host/DOI-prefix support. Confirmed live 2026-09-19: the DOI itself resolves correctly when queried directly.","REFERENCES_ONLY"
"10_1111_1365_2745_13882","data_availability_comment","Paper text cites four separate Arctic Data Center archives with DOIs (e.g. https://doi.org/10.18739/A2GT5FG86) plus GenBank accessions for DNA sequences. Arctic Data Center is not a platform repo_check recognizes; repo_check has zero rows for this paper. | KNOWN METACHECK LIMITATION (not yet fixed, github.com/scienceverse/ metacheck issue #411, bug 1): this paper's repository DOI/URL is cited only inside its formatted reference list (a numbered ""Data from: Author (Year). Title [Dataset]. https://doi.org/..."" entry), never as an inline hyperlink or bare in-text mention. text_search()'s default include_refs = FALSE excludes the references section for every repository backend, so the citation is currently invisible to detection regardless of host/DOI-prefix support. Confirmed live 2026-09-19: the DOI itself resolves correctly when queried directly.","REFERENCES_ONLY"
"10_1111_1365_2435_14431","data_availability_comment","Paper text: ""Data available from Open Science Framework at https://osf.io/fwjh9/. DOI: https://doi.org/10.17605/OSF.IO/FWJH9."" No matching entry found in gated_repos, so repo_check appears to have never detected/attempted this OSF project at all (a URL-extraction miss), leaving repo_check$table empty and mc_data_availability=FALSE.","SPLIT_DOI_EXTRACTION"
"10_1111_1365_2664_13323","data_availability_comment","Paper text: ""Data available via the Cirad Dataserve Repository https://doi.org/10.18167/dvn1/agvow7 (Piou et al., 2018)."" CIRAD Dataverse/Dataserve is not a platform repo_check recognizes; repo_check has zero rows for this paper. | KNOWN METACHECK LIMITATION (not yet fixed, github.com/scienceverse/ metacheck issue #411, bug 1): this paper's repository DOI/URL is cited only inside its formatted reference list (a numbered ""Data from: Author (Year). Title [Dataset]. https://doi.org/..."" entry), never as an inline hyperlink or bare in-text mention. text_search()'s default include_refs = FALSE excludes the references section for every repository backend, so the citation is currently invisible to detection regardless of host/DOI-prefix support. Confirmed live 2026-09-19: the DOI itself resolves correctly when queried directly.","REFERENCES_ONLY"
"10_1111_1365_2656_13478","data_availability_comment","Paper states ""All data are deposited at https://cicese.repositorioinstitucional.mx/jspui/handle/1007/3374""; repo_check's summary_table shows repo_n=0 for this paper -- this institutional-repository URL was never detected/extracted at all.","UNSUPPORTED_REPO"
