"article_id","construct","cooper_value","old_mc_value","new_mc_value","old_agreed","new_agrees","resolved","still_disagrees","new_mc_now_na"
"10_1111_1365_2435_13870","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2435_13870","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2745_12974","data_availability","Yes","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2745_12974","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2745_12974","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2435_14644","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2435_14644","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2745_13292","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_13806","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_13806","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2435_13881","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2435_13881","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2435_13881","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2656_13796","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2745_12944","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_14479","data_availability","Yes","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2745_14152","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2745_14152","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2656_13270","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2664_13709","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2664_13709","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_13871","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_13871","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_13871","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2656_14232","code_archived","Yes","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2435_14168","code_archived","Yes","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2656_14000","data_availability","Yes","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2656_14000","code_archived","Yes","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_2041_210x_12993","data_availability","Yes","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2435_14552","code_archived","No","TRUE","TRUE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2656_13367","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1002_pan3_10564","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1002_pan3_10564","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2656_13052","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2656_13052","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_14007","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_14007","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_14007","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2745_13654","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2745_13654","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2435_13194","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2435_13560","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2745_13956","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2745_13956","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_12962","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_12962","code_archived","Yes","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2656_14134","data_license","No","TRUE","TRUE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2656_14134","code_archived","Yes","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2656_12787","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1002_2688_8319_12124","data_license","No","TRUE","TRUE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1002_2688_8319_12124","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1002_2688_8319_12124","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2435_14016","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_13206","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2745_13882","data_availability","Yes","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2745_13882","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_13397","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_13397","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2435_13998","code_archived","Yes","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2435_13998","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2745_13193","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2656_13705","data_license","No","TRUE","TRUE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2656_13705","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_14101","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_14101","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2435_13848","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_13915","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_13915","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_13915","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2656_12732","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_12748","code_archived","Yes","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2435_14431","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2435_14431","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2664_13323","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2435_13851","any_readme","TRUE","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2664_13117","data_availability","No, but they are available on request","TRUE","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE
"10_1111_1365_2745_14241","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2656_13899","any_readme","FALSE","TRUE","TRUE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2664_14440","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
