ID,datetime,date,time,species,distance,angle,placeID,contact,Region.Label,Area,Sample.Label
,,,,,,,DEPP01,,DSCT.S1,192000000,DEPP01
,,,,,,,DEPP02,,DSCT.S1,192000000,DEPP02
,,,,,,,MAPP03,,DSCT.S1,192000000,MAPP03
,,,,,,,MAPP04,,DSCT.S1,192000000,MAPP04
,,,,,,,LAPP05,,DSCT.S1,192000000,LAPP05
,,,,,,,DEPP06,,DSCT.S1,192000000,DEPP06
,,,,,,,DEPP07,,DSCT.S1,192000000,DEPP07
,,,,,,,SHPP08,,DSCT.S1,192000000,SHPP08
,,,,,,,SHPP09,,DSCT.S1,192000000,SHPP09
,,,,,,,SHPP10,,DSCT.S1,192000000,SHPP10
,,,,,,,SHPP11,,DSCT.S1,192000000,SHPP11
,,,,,,,HAPP12,,DSCT.S1,192000000,HAPP12
,,,,,,,HAPP13,,DSCT.S1,192000000,HAPP13
,,,,,,,MOPP14,,DSCT.S1,192000000,MOPP14
,,,,,,,HAPP15,,DSCT.S1,192000000,HAPP15
,,,,,,,HAPP16,,DSCT.S1,192000000,HAPP16
,,,,,,,HAPP17,,DSCT.S1,192000000,HAPP17
,,,,,,,HAPP18,,DSCT.S1,192000000,HAPP18
,,,,,,,HAPP19,,DSCT.S1,192000000,HAPP19
,,,,,,,HAPP20,,DSCT.S1,192000000,HAPP20
,,,,,,,GIPP21,,DSCT.S1,192000000,GIPP21
,,,,,,,GIPP22,,DSCT.S1,192000000,GIPP22
,,,,,,,HAPP23,,DSCT.S1,192000000,HAPP23
,,,,,,,MOPP24,,DSCT.S1,192000000,MOPP24
,,,,,,,LAPP25,,DSCT.S1,192000000,LAPP25
661,2019:06:04 19:49:29,04/06/2019,0.826030093,Brown Hyena,24,0.6-0.8,GIPP21,No,DSCT.S1,192000000,GIPP21
662,2019:06:04 19:49:30,04/06/2019,0.826041667,Brown Hyena,22,0.6-0.8,GIPP21,No,DSCT.S1,192000000,GIPP21
663,2019:06:04 19:49:38,04/06/2019,0.826134259,Brown Hyena,19,0.4-0.6,GIPP21,No,DSCT.S1,192000000,GIPP21
664,2019:06:04 19:49:39,04/06/2019,0.826145833,Brown Hyena,19,0.2-0.4,GIPP21,No,DSCT.S1,192000000,GIPP21
665,2019:06:04 19:49:40,04/06/2019,0.826157407,Brown Hyena,18,0-0.2,GIPP21,No,DSCT.S1,192000000,GIPP21
666,2019:06:04 19:49:50,04/06/2019,0.826273148,Brown Hyena,9.5,0.4-0.6,GIPP21,No,DSCT.S1,192000000,GIPP21
667,2019:06:04 19:49:51,04/06/2019,0.826284722,Brown Hyena,9,0.6-0.8,GIPP21,No,DSCT.S1,192000000,GIPP21
668,2019:06:04 19:49:52,04/06/2019,0.826296296,Brown Hyena,8.5,0.8-1,GIPP21,No,DSCT.S1,192000000,GIPP21
1162,2019:06:01 02:47:11,01/06/2019,0.116099537,Brown Hyena,17,0-0.2,HAPP13,No,DSCT.S1,192000000,HAPP13
1163,2019:06:01 02:47:12,01/06/2019,0.116111111,Brown Hyena,15,0-0.2,HAPP13,No,DSCT.S1,192000000,HAPP13
1371,2019:06:05 22:21:02,05/06/2019,0.931273148,Brown Hyena,11,0.8-1,HAPP13,No,DSCT.S1,192000000,HAPP13
1372,2019:06:05 22:21:03,05/06/2019,0.931284722,Brown Hyena,9.5,0.2-0.4,HAPP13,No,DSCT.S1,192000000,HAPP13
2436,2019:06:02 08:30:03,02/06/2019,0.354201389,Black Backed Jackal,7,0.2-0.4,HAPP15,No,DSCT.S1,192000000,HAPP15
2437,2019:06:02 08:30:04,02/06/2019,0.354212963,Black Backed Jackal,8.5,0-0.2,HAPP15,No,DSCT.S1,192000000,HAPP15
2438,2019:06:02 08:30:05,02/06/2019,0.354224537,Black Backed Jackal,9.5,0-0.2,HAPP15,No,DSCT.S1,192000000,HAPP15
2488,2019:06:02 23:14:48,02/06/2019,0.968611111,Black Backed Jackal,6,0.4-0.6,HAPP15,No,DSCT.S1,192000000,HAPP15
2489,2019:06:02 23:14:49,02/06/2019,0.968622685,Black Backed Jackal,6.5,0-0.2,HAPP15,No,DSCT.S1,192000000,HAPP15
2490,2019:06:03 02:06:48,03/06/2019,0.088055556,Brown Hyena,11,0.6-0.8,HAPP15,No,DSCT.S1,192000000,HAPP15
2491,2019:06:03 02:06:49,03/06/2019,0.08806713,Brown Hyena,10,0.4-0.6,HAPP15,No,DSCT.S1,192000000,HAPP15
2492,2019:06:03 02:06:57,03/06/2019,0.088159722,Brown Hyena,7.5,0.2-0.4,HAPP15,No,DSCT.S1,192000000,HAPP15
2493,2019:06:03 02:06:58,03/06/2019,0.088171296,Brown Hyena,7,0.2-0.4,HAPP15,No,DSCT.S1,192000000,HAPP15
2494,2019:06:03 02:06:59,03/06/2019,0.08818287,Brown Hyena,7,0.6-0.8,HAPP15,No,DSCT.S1,192000000,HAPP15
2495,2019:06:03 02:40:43,03/06/2019,0.111608796,Brown Hyena,12,0.6-0.8,HAPP15,No,DSCT.S1,192000000,HAPP15
2496,2019:06:03 02:40:44,03/06/2019,0.11162037,Brown Hyena,11,0.4-0.6,HAPP15,No,DSCT.S1,192000000,HAPP15
2497,2019:06:03 02:40:55,03/06/2019,0.111747685,Brown Hyena,8.5,0.2-0.4,HAPP15,No,DSCT.S1,192000000,HAPP15
2498,2019:06:03 02:40:56,03/06/2019,0.111759259,Brown Hyena,7.5,0-0.2,HAPP15,No,DSCT.S1,192000000,HAPP15
2607,2019:06:03 18:27:57,03/06/2019,0.769409722,Black Backed Jackal,9.5,0.4-0.6,HAPP15,Yes,DSCT.S1,192000000,HAPP15
2608,2019:06:03 18:27:58,03/06/2019,0.769421296,Black Backed Jackal,9,0.2-0.4,HAPP15,No,DSCT.S1,192000000,HAPP15
2609,2019:06:03 18:27:59,03/06/2019,0.76943287,Black Backed Jackal,7.5,0-0.2,HAPP15,No,DSCT.S1,192000000,HAPP15
2610,2019:06:03 18:33:27,03/06/2019,0.773229167,Black Backed Jackal,11,0-0.2,HAPP15,No,DSCT.S1,192000000,HAPP15
2611,2019:06:03 18:33:28,03/06/2019,0.773240741,Black Backed Jackal,10,0-0.2,HAPP15,No,DSCT.S1,192000000,HAPP15
2612,2019:06:03 18:38:57,03/06/2019,0.777048611,Black Backed Jackal,6,0.4-0.6,HAPP15,No,DSCT.S1,192000000,HAPP15
2613,2019:06:03 18:38:58,03/06/2019,0.777060185,Black Backed Jackal,7,0-0.2,HAPP15,No,DSCT.S1,192000000,HAPP15
2614,2019:06:03 19:08:16,03/06/2019,0.797407407,Black Backed Jackal,11,0.4-0.6,HAPP15,Yes,DSCT.S1,192000000,HAPP15
2615,2019:06:03 19:08:17,03/06/2019,0.797418981,Black Backed Jackal,10,0.4-0.6,HAPP15,No,DSCT.S1,192000000,HAPP15
2616,2019:06:03 19:08:18,03/06/2019,0.797430556,Black Backed Jackal,8.5,0.2-0.4,HAPP15,No,DSCT.S1,192000000,HAPP15
2617,2019:06:03 21:05:27,03/06/2019,0.878784722,Black Backed Jackal,6.5,0.4-0.6,HAPP15,No,DSCT.S1,192000000,HAPP15
2618,2019:06:03 21:05:28,03/06/2019,0.878796296,Black Backed Jackal,7,0-0.2,HAPP15,No,DSCT.S1,192000000,HAPP15
2712,2019:06:04 17:56:54,04/06/2019,0.747847222,Brown Hyena,6,0.4-0.6,HAPP15,No,DSCT.S1,192000000,HAPP15
2713,2019:06:04 17:56:55,04/06/2019,0.747858796,Brown Hyena,6.5,0-0.2,HAPP15,No,DSCT.S1,192000000,HAPP15
2714,2019:06:04 18:23:22,04/06/2019,0.766226852,Brown Hyena,5.5,0.8-1,HAPP15,No,DSCT.S1,192000000,HAPP15
2715,2019:06:04 18:23:23,04/06/2019,0.766238426,Brown Hyena,6,0.4-0.6,HAPP15,No,DSCT.S1,192000000,HAPP15
2716,2019:06:04 18:23:24,04/06/2019,0.76625,Brown Hyena,6.5,0.2-0.4,HAPP15,No,DSCT.S1,192000000,HAPP15
2717,2019:06:04 18:23:36,04/06/2019,0.766388889,Brown Hyena,10,0.6-0.8,HAPP15,No,DSCT.S1,192000000,HAPP15
2718,2019:06:04 18:23:37,04/06/2019,0.766400463,Brown Hyena,9,0.6-0.8,HAPP15,No,DSCT.S1,192000000,HAPP15
2719,2019:06:04 18:23:47,04/06/2019,0.766516204,Brown Hyena,0.5,0.8-1,HAPP15,No,DSCT.S1,192000000,HAPP15
2720,2019:06:04 18:23:48,04/06/2019,0.766527778,Brown Hyena,0.5,0.8-1,HAPP15,No,DSCT.S1,192000000,HAPP15
2721,2019:06:04 18:23:49,04/06/2019,0.766539352,Brown Hyena,0.5,0.8-1,HAPP15,No,DSCT.S1,192000000,HAPP15
2728,2019:06:04 18:24:26,04/06/2019,0.766967593,Brown Hyena,1.5,0-0.2,HAPP15,No,DSCT.S1,192000000,HAPP15
2729,2019:06:04 18:24:27,04/06/2019,0.766979167,Brown Hyena,2,0-0.2,HAPP15,No,DSCT.S1,192000000,HAPP15
2730,2019:06:04 18:24:28,04/06/2019,0.766990741,Brown Hyena,2.5,0-0.2,HAPP15,No,DSCT.S1,192000000,HAPP15
2731,2019:06:04 18:24:37,04/06/2019,0.767094907,Brown Hyena,7.5,0.6-0.8,HAPP15,No,DSCT.S1,192000000,HAPP15
2732,2019:06:04 18:24:38,04/06/2019,0.767106481,Brown Hyena,8,0.6-0.8,HAPP15,No,DSCT.S1,192000000,HAPP15
2733,2019:06:04 18:24:39,04/06/2019,0.767118056,Brown Hyena,11,0.8-1,HAPP15,No,DSCT.S1,192000000,HAPP15
2868,2019:06:06 17:51:10,06/06/2019,0.743865741,Black Backed Jackal,12,0-0.2,HAPP15,No,DSCT.S1,192000000,HAPP15
2869,2019:06:06 17:51:11,06/06/2019,0.743877315,Black Backed Jackal,11,0-0.2,HAPP15,Yes,DSCT.S1,192000000,HAPP15
2870,2019:06:06 17:51:20,06/06/2019,0.743981481,Black Backed Jackal,5.5,0.4-0.6,HAPP15,No,DSCT.S1,192000000,HAPP15
2871,2019:06:06 17:51:21,06/06/2019,0.743993056,Black Backed Jackal,4.5,0.4-0.6,HAPP15,No,DSCT.S1,192000000,HAPP15
