ID,datetime,date,time,species,distance,angle,placeID,contact,Region.Label,Area,Sample.Label
,,,,,,,DEPP01,,DSCT.S1,192000000,DEPP01
,,,,,,,DEPP02,,DSCT.S1,192000000,DEPP02
,,,,,,,MAPP03,,DSCT.S1,192000000,MAPP03
,,,,,,,MAPP04,,DSCT.S1,192000000,MAPP04
,,,,,,,LAPP05,,DSCT.S1,192000000,LAPP05
,,,,,,,DEPP06,,DSCT.S1,192000000,DEPP06
,,,,,,,DEPP07,,DSCT.S1,192000000,DEPP07
,,,,,,,SHPP08,,DSCT.S1,192000000,SHPP08
,,,,,,,SHPP09,,DSCT.S1,192000000,SHPP09
,,,,,,,SHPP10,,DSCT.S1,192000000,SHPP10
,,,,,,,SHPP11,,DSCT.S1,192000000,SHPP11
,,,,,,,HAPP12,,DSCT.S1,192000000,HAPP12
,,,,,,,HAPP13,,DSCT.S1,192000000,HAPP13
,,,,,,,MOPP14,,DSCT.S1,192000000,MOPP14
,,,,,,,HAPP15,,DSCT.S1,192000000,HAPP15
,,,,,,,HAPP16,,DSCT.S1,192000000,HAPP16
,,,,,,,HAPP17,,DSCT.S1,192000000,HAPP17
,,,,,,,HAPP18,,DSCT.S1,192000000,HAPP18
,,,,,,,HAPP19,,DSCT.S1,192000000,HAPP19
,,,,,,,HAPP20,,DSCT.S1,192000000,HAPP20
,,,,,,,GIPP21,,DSCT.S1,192000000,GIPP21
,,,,,,,GIPP22,,DSCT.S1,192000000,GIPP22
,,,,,,,HAPP23,,DSCT.S1,192000000,HAPP23
,,,,,,,MOPP24,,DSCT.S1,192000000,MOPP24
,,,,,,,LAPP25,,DSCT.S1,192000000,LAPP25
4251,2019:07:09 03:11:19,09/07/2019,0.132859,Black Backed Jackal,6,0.2-0.4,HAPP20,No,DSCT.S1,192000000,HAPP20
4252,2019:07:09 03:11:18,09/07/2019,0.132847,Black Backed Jackal,5.5,0.2-0.4,HAPP20,No,DSCT.S1,192000000,HAPP20
4253,2019:07:09 03:11:18,09/07/2019,0.132847,Black Backed Jackal,5.5,0.4-0.6,HAPP20,No,DSCT.S1,192000000,HAPP20
4254,2019:07:09 03:11:18,09/07/2019,0.132847,Black Backed Jackal,5.5,0.4-0.6,HAPP20,No,DSCT.S1,192000000,HAPP20
4255,2019:07:09 03:11:17,09/07/2019,0.132836,Black Backed Jackal,5,0.4-0.6,HAPP20,No,DSCT.S1,192000000,HAPP20
4256,2019:07:09 03:11:17,09/07/2019,0.132836,Black Backed Jackal,5,0.4-0.6,HAPP20,Yes,DSCT.S1,192000000,HAPP20
4293,2019:07:08 23:16:03,08/07/2019,0.969479,African Civet,10,0.8-1,HAPP20,No,DSCT.S1,192000000,HAPP20
4294,2019:07:08 23:16:03,08/07/2019,0.969479,African Civet,9.5,0.8-1,HAPP20,No,DSCT.S1,192000000,HAPP20
4295,2019:07:08 23:16:03,08/07/2019,0.969479,African Civet,9.5,0.8-1,HAPP20,No,DSCT.S1,192000000,HAPP20
4296,2019:07:08 23:16:02,08/07/2019,0.969468,African Civet,9.5,0.8-1,HAPP20,No,DSCT.S1,192000000,HAPP20
4297,2019:07:08 23:16:02,08/07/2019,0.969468,African Civet,9,0.8-1,HAPP20,No,DSCT.S1,192000000,HAPP20
4298,2019:07:08 23:16:02,08/07/2019,0.969468,African Civet,8.5,0.6-0.8,HAPP20,No,DSCT.S1,192000000,HAPP20
4299,2019:07:08 23:15:54,08/07/2019,0.969375,African Civet,7,0.4-0.6,HAPP20,No,DSCT.S1,192000000,HAPP20
4300,2019:07:08 23:15:53,08/07/2019,0.969363,African Civet,7,0.4-0.6,HAPP20,No,DSCT.S1,192000000,HAPP20
4301,2019:07:08 23:15:53,08/07/2019,0.969363,African Civet,7,0.4-0.6,HAPP20,No,DSCT.S1,192000000,HAPP20
4302,2019:07:08 23:15:53,08/07/2019,0.969363,African Civet,7,0.6-0.8,HAPP20,No,DSCT.S1,192000000,HAPP20
4303,2019:07:08 23:15:53,08/07/2019,0.969363,African Civet,7,0.6-0.8,HAPP20,No,DSCT.S1,192000000,HAPP20
4304,2019:07:08 23:15:52,08/07/2019,0.969352,African Civet,7,0.6-0.8,HAPP20,No,DSCT.S1,192000000,HAPP20
4305,2019:07:08 23:10:03,08/07/2019,0.965313,African Civet,12,0.4-0.6,HAPP20,No,DSCT.S1,192000000,HAPP20
4306,2019:07:08 23:10:02,08/07/2019,0.965301,African Civet,11,0.4-0.6,HAPP20,No,DSCT.S1,192000000,HAPP20
4307,2019:07:08 23:10:02,08/07/2019,0.965301,African Civet,11,0.4-0.6,HAPP20,No,DSCT.S1,192000000,HAPP20
4308,2019:07:08 23:10:02,08/07/2019,0.965301,African Civet,11,0.6-0.8,HAPP20,No,DSCT.S1,192000000,HAPP20
4309,2019:07:08 23:10:02,08/07/2019,0.965301,African Civet,11,0.6-0.8,HAPP20,No,DSCT.S1,192000000,HAPP20
4310,2019:07:08 23:10:01,08/07/2019,0.965289,African Civet,11,0.6-0.8,HAPP20,Yes,DSCT.S1,192000000,HAPP20
4311,2019:07:08 22:37:52,08/07/2019,0.942963,Black Backed Jackal,13,0-0.2,HAPP20,No,DSCT.S1,192000000,HAPP20
4312,2019:07:08 22:37:52,08/07/2019,0.942963,Black Backed Jackal,12,0-0.2,HAPP20,No,DSCT.S1,192000000,HAPP20
4313,2019:07:08 22:37:52,08/07/2019,0.942963,Black Backed Jackal,11,0-0.2,HAPP20,No,DSCT.S1,192000000,HAPP20
4314,2019:07:08 22:37:51,08/07/2019,0.942951,Black Backed Jackal,11,0-0.2,HAPP20,No,DSCT.S1,192000000,HAPP20
4315,2019:07:08 22:37:51,08/07/2019,0.942951,Black Backed Jackal,11,0-0.2,HAPP20,No,DSCT.S1,192000000,HAPP20
4316,2019:07:08 22:37:51,08/07/2019,0.942951,Black Backed Jackal,11,0-0.2,HAPP20,No,DSCT.S1,192000000,HAPP20
4317,2019:07:08 22:37:05,08/07/2019,0.942419,Black Backed Jackal,9.5,0.4-0.6,HAPP20,No,DSCT.S1,192000000,HAPP20
4318,2019:07:08 22:37:05,08/07/2019,0.942419,Black Backed Jackal,9.5,0.4-0.6,HAPP20,No,DSCT.S1,192000000,HAPP20
4319,2019:07:08 22:37:04,08/07/2019,0.942407,Black Backed Jackal,9.5,0.4-0.6,HAPP20,No,DSCT.S1,192000000,HAPP20
4320,2019:07:08 22:37:04,08/07/2019,0.942407,Black Backed Jackal,9.5,0.2-0.4,HAPP20,No,DSCT.S1,192000000,HAPP20
4321,2019:07:08 22:37:04,08/07/2019,0.942407,Black Backed Jackal,10,0.2-0.4,HAPP20,No,DSCT.S1,192000000,HAPP20
4322,2019:07:08 22:37:04,08/07/2019,0.942407,Black Backed Jackal,10,0.2-0.4,HAPP20,Yes,DSCT.S1,192000000,HAPP20
4323,2019:07:08 22:27:16,08/07/2019,0.935602,African Civet,7,0-0.2,HAPP20,No,DSCT.S1,192000000,HAPP20
4324,2019:07:08 22:27:16,08/07/2019,0.935602,African Civet,7,0-0.2,HAPP20,No,DSCT.S1,192000000,HAPP20
4325,2019:07:08 22:27:15,08/07/2019,0.93559,African Civet,7,0-0.2,HAPP20,No,DSCT.S1,192000000,HAPP20
4326,2019:07:08 22:27:15,08/07/2019,0.93559,African Civet,7,0-0.2,HAPP20,No,DSCT.S1,192000000,HAPP20
4327,2019:07:08 22:27:15,08/07/2019,0.93559,African Civet,6.5,0-0.2,HAPP20,No,DSCT.S1,192000000,HAPP20
4328,2019:07:08 22:27:14,08/07/2019,0.935579,African Civet,6.5,0-0.2,HAPP20,Yes,DSCT.S1,192000000,HAPP20
4353,2019:07:08 18:39:58,08/07/2019,0.777755,Black Backed Jackal,14,0-0.2,HAPP20,No,DSCT.S1,192000000,HAPP20
4354,2019:07:08 18:39:58,08/07/2019,0.777755,Black Backed Jackal,13,0-0.2,HAPP20,No,DSCT.S1,192000000,HAPP20
4355,2019:07:08 18:39:58,08/07/2019,0.777755,Black Backed Jackal,12,0-0.2,HAPP20,No,DSCT.S1,192000000,HAPP20
4356,2019:07:08 18:39:57,08/07/2019,0.777743,Black Backed Jackal,12,0-0.2,HAPP20,No,DSCT.S1,192000000,HAPP20
4357,2019:07:08 18:39:57,08/07/2019,0.777743,Black Backed Jackal,11,0-0.2,HAPP20,No,DSCT.S1,192000000,HAPP20
4358,2019:07:08 18:39:57,08/07/2019,0.777743,Black Backed Jackal,11,0-0.2,HAPP20,No,DSCT.S1,192000000,HAPP20
4359,2019:07:08 18:39:40,08/07/2019,0.777546,Black Backed Jackal,13,0-0.2,HAPP20,No,DSCT.S1,192000000,HAPP20
4360,2019:07:08 18:39:39,08/07/2019,0.777535,Black Backed Jackal,12,0-0.2,HAPP20,No,DSCT.S1,192000000,HAPP20
4361,2019:07:08 18:39:39,08/07/2019,0.777535,Black Backed Jackal,12,0-0.2,HAPP20,No,DSCT.S1,192000000,HAPP20
4362,2019:07:08 18:39:39,08/07/2019,0.777535,Black Backed Jackal,12,0-0.2,HAPP20,No,DSCT.S1,192000000,HAPP20
4363,2019:07:08 18:39:39,08/07/2019,0.777535,Black Backed Jackal,11,0-0.2,HAPP20,No,DSCT.S1,192000000,HAPP20
4364,2019:07:08 18:39:38,08/07/2019,0.777523,Black Backed Jackal,11,0-0.2,HAPP20,Yes,DSCT.S1,192000000,HAPP20
6935,2019:07:22 05:53:44,22/07/2019,0.245648,Black Backed Jackal,9,0.4-0.6,HAPP17,No,DSCT.S1,192000000,HAPP17
6936,2019:07:22 05:53:44,22/07/2019,0.245648,Black Backed Jackal,8.5,0.2-0.4,HAPP17,No,DSCT.S1,192000000,HAPP17
6937,2019:07:22 05:53:44,22/07/2019,0.245648,Black Backed Jackal,9,0-0.2,HAPP17,No,DSCT.S1,192000000,HAPP17
6938,2019:07:22 05:53:44,22/07/2019,0.245648,Black Backed Jackal,9.5,0-0.2,HAPP17,No,DSCT.S1,192000000,HAPP17
6939,2019:07:22 05:53:43,22/07/2019,0.245637,Black Backed Jackal,10,0.2-0.4,HAPP17,No,DSCT.S1,192000000,HAPP17
6940,2019:07:22 05:53:43,22/07/2019,0.245637,Black Backed Jackal,11,0.4-0.6,HAPP17,Yes,DSCT.S1,192000000,HAPP17
