cameraID,placeID,placedat
DEPP01,DEPP01,5967843
DEPP02,DEPP02,7168260
MAPP03,MAPP03,6757080
MAPP04,MAPP04,7771229
LAPP05,LAPP05,7771389
DEPP06,DEPP06,6167212
DEPP07,DEPP07,7686030
SHPP08,SHPP08,7769769
SHPP09,SHPP09,6520411
SHPP10,SHPP10,7401170
SHPP11,SHPP11,7770139
HAPP12,HAPP12,7768399
HAPP13,HAPP13,7760729
MOPP14,MOPP14,7654660
HAPP15,HAPP15,7606210
HAPP16,HAPP16,4870962
HAPP17,HAPP17,6704140
HAPP18,HAPP18,6817920
HAPP19,HAPP19,7561200
HAPP20,HAPP20,4298967
GIPP21,GIPP21,7769939
GIPP22,GIPP22,7681401
HAPP23,HAPP23,7763939
MOPP24,MOPP24,5784850
LAPP25,LAPP25,7765609
