cameraID,FieldOfView
TAPP01,0.7417649
TAPP02,0.7417649
TAPP03,0.7417649
HYPP04,0.7417649
TAPP05,0.7417649
GKPP06,0.7417649
HYPP07,0.7417649
HYPP08,0.7417649
GKPP10,0.7417649
GKPP11,0.7417649
GKPP12,0.7417649
GKPP13,0.7417649
HYPP14,0.7417649
GKPP15,0.7417649
GKPP16,0.7417649
HYPP17,0.7417649
GKPP18,0.7417649
GKPP19,0.7417649
HYPP20,0.7417649
TAPP21,0.7417649
TAPP22,0.7417649
TAPP23,0.7417649
TAPP24,0.7417649
TAPP25,0.7417649
HYPP26,0.7417649
GKPP29,0.7417649
GKPP30,0.7417649
HYPP31,0.7417649
HYPP32,0.7417649
GKPP33,0.7417649
GKPP34,0.7417649
GKPP35,0.7417649
HYPP36,0.7417649
HYPP37,0.7417649
GKPP38,0.7417649
GKPP39,0.7417649
HYPP40,0.7417649
HYPP41,0.7417649
TAPP43,0.7417649
TAPP44,0.7417649
TAPP45,0.7417649
HYPP46,0.7417649
TAPP47,0.7417649
TAPP48,0.7417649
TAPP49,0.7417649
TAPP50,0.7417649
HYPP51,0.7417649
GKPP52,0.7417649
GKPP53,0.7417649
GKPP54,0.7417649
GKPP55,0.7417649
HYPP56,0.7417649
HYPP57,0.7417649
GKPP58,0.7417649
GKPP59,0.7417649
HYPP60,0.7417649
GKPP61,0.7417649
GKPP62,0.7417649
HYPP63,0.7417649
