placeID,fileID,Sample.Label,datetime,date,time,species,contact,angle,distance,Area,Region.Label,Study.Area
TAPP01,TAPP01,TAPP01,,,,,,,,1,Grid1,200
TAPP02,TAPP02,TAPP02,,,,,,,,1,Grid1,200
TAPP03,TAPP03,TAPP03,,,,,,,,1,Grid1,200
HYPP04,HYPP04,HYPP04,,,,,,,,1,Grid1,200
TAPP05,TAPP05,TAPP05,,,,,,,,1,Grid1,200
GKPP06,GKPP06,GKPP06,,,,,,,,1,Grid1,200
HYPP07,HYPP07,HYPP07,,,,,,,,1,Grid1,200
HYPP08,HYPP08,HYPP08,,,,,,,,1,Grid1,200
GKPP10,GKPP10,GKPP10,,,,,,,,1,Grid1,200
GKPP11,GKPP11,GKPP11,,,,,,,,1,Grid1,200
GKPP12,GKPP12,GKPP12,,,,,,,,1,Grid1,200
GKPP13,GKPP13,GKPP13,,,,,,,,1,Grid1,200
HYPP14,HYPP14,HYPP14,,,,,,,,1,Grid1,200
GKPP15,GKPP15,GKPP15,,,,,,,,1,Grid1,200
GKPP16,GKPP16,GKPP16,,,,,,,,1,Grid1,200
HYPP17,HYPP17,HYPP17,,,,,,,,1,Grid1,200
GKPP18,GKPP18,GKPP18,,,,,,,,1,Grid1,200
GKPP19,GKPP19,GKPP19,,,,,,,,1,Grid1,200
HYPP20,HYPP20,HYPP20,,,,,,,,1,Grid1,200
TAPP21,TAPP21,TAPP21,,,,,,,,1,Grid2,200
TAPP22,TAPP22,TAPP22,,,,,,,,1,Grid2,200
TAPP23,TAPP23,TAPP23,,,,,,,,1,Grid2,200
TAPP24,TAPP24,TAPP24,,,,,,,,1,Grid2,200
TAPP25,TAPP25,TAPP25,,,,,,,,1,Grid2,200
HYPP26,HYPP26,HYPP26,,,,,,,,1,Grid2,200
GKPP29,GKPP29,GKPP29,,,,,,,,1,Grid2,200
GKPP30,GKPP30,GKPP30,,,,,,,,1,Grid2,200
HYPP31,HYPP31,HYPP31,,,,,,,,1,Grid2,200
HYPP32,HYPP32,HYPP32,,,,,,,,1,Grid2,200
GKPP33,GKPP33,GKPP33,,,,,,,,1,Grid2,200
GKPP34,GKPP34,GKPP34,,,,,,,,1,Grid2,200
GKPP35,GKPP35,GKPP35,,,,,,,,1,Grid2,200
HYPP36,HYPP36,HYPP36,,,,,,,,1,Grid2,200
HYPP37,HYPP37,HYPP37,,,,,,,,1,Grid2,200
GKPP38,GKPP38,GKPP38,,,,,,,,1,Grid2,200
GKPP39,GKPP39,GKPP39,,,,,,,,1,Grid2,200
HYPP40,HYPP40,HYPP40,,,,,,,,1,Grid2,200
HYPP41,HYPP41,HYPP41,,,,,,,,1,Grid2,200
TAPP43,TAPP43,TAPP43,,,,,,,,1,Grid3,200
TAPP44,TAPP44,TAPP44,,,,,,,,1,Grid3,200
TAPP45,TAPP45,TAPP45,,,,,,,,1,Grid3,200
HYPP46,HYPP46,HYPP46,,,,,,,,1,Grid3,200
TAPP47,TAPP47,TAPP47,,,,,,,,1,Grid3,200
TAPP48,TAPP48,TAPP48,,,,,,,,1,Grid3,200
TAPP49,TAPP49,TAPP49,,,,,,,,1,Grid3,200
TAPP50,TAPP50,TAPP50,,,,,,,,1,Grid3,200
HYPP51,HYPP51,HYPP51,,,,,,,,1,Grid3,200
GKPP52,GKPP52,GKPP52,,,,,,,,1,Grid3,200
GKPP53,GKPP53,GKPP53,,,,,,,,1,Grid3,200
GKPP54,GKPP54,GKPP54,,,,,,,,1,Grid3,200
GKPP55,GKPP55,GKPP55,,,,,,,,1,Grid3,200
HYPP56,HYPP56,HYPP56,,,,,,,,1,Grid3,200
HYPP57,HYPP57,HYPP57,,,,,,,,1,Grid3,200
GKPP58,GKPP58,GKPP58,,,,,,,,1,Grid3,200
GKPP59,GKPP59,GKPP59,,,,,,,,1,Grid3,200
HYPP60,HYPP60,HYPP60,,,,,,,,1,Grid3,200
GKPP61,GKPP61,GKPP61,,,,,,,,1,Grid3,200
GKPP62,GKPP62,GKPP62,,,,,,,,1,Grid3,200
HYPP63,HYPP63,HYPP63,,,,,,,,1,Grid3,200
GKPP11,GKPP11,GKPP11,2019:12:07 23:27:22,07/12/2019,0.977337963,Black Backed Jackal,No,0.4-0.6,16,1,Grid1,200
GKPP11,GKPP11,GKPP11,2019:12:07 23:27:23,07/12/2019,0.977349537,Black Backed Jackal,No,0.4-0.6,17,1,Grid1,200
GKPP11,GKPP11,GKPP11,2019:12:08 20:10:13,08/12/2019,0.840428241,Black Backed Jackal,No,0-0.2,11,1,Grid1,200
GKPP11,GKPP11,GKPP11,2019:12:08 20:10:14,08/12/2019,0.840439815,Black Backed Jackal,No,0.2-0.4,10,1,Grid1,200
GKPP16,GKPP16,GKPP16,2019:12:08 02:09:22,08/12/2019,0.089837963,Black Backed Jackal,No,0-0.2,6.5,1,Grid1,200
GKPP16,GKPP16,GKPP16,2019:12:08 02:09:23,08/12/2019,0.089849537,Black Backed Jackal,No,0-0.2,6,1,Grid1,200
GKPP19,GKPP19,GKPP19,2019:12:08 00:12:11,08/12/2019,0.008460648,Brown Hyena,No,0.2-0.4,5,1,Grid1,200
GKPP19,GKPP19,GKPP19,2019:12:08 00:12:12,08/12/2019,0.008472222,Brown Hyena,No,0-0.2,4,1,Grid1,200
HYPP08,HYPP08,HYPP08,2019:12:14 07:43:41,14/12/2019,0.322002315,Black Backed Jackal,No,0-0.2,15,1,Grid1,200
HYPP08,HYPP08,HYPP08,2019:12:14 07:43:42,14/12/2019,0.322013889,Black Backed Jackal,No,0.4-0.6,12,1,Grid1,200
HYPP14,HYPP14,HYPP14,2019:12:07 03:14:55,07/12/2019,0.135358796,Brown Hyena,No,0.4-0.6,9.5,1,Grid1,200
HYPP14,HYPP14,HYPP14,2019:12:07 03:14:56,07/12/2019,0.13537037,Brown Hyena,No,0.4-0.6,10,1,Grid1,200
HYPP14,HYPP14,HYPP14,2019:12:07 03:14:57,07/12/2019,0.135381944,Brown Hyena,No,0.2-0.4,10,1,Grid1,200
HYPP14,HYPP14,HYPP14,2019:12:07 03:15:00,07/12/2019,0.135416667,Brown Hyena,No,0.6-0.8,11,1,Grid1,200
HYPP14,HYPP14,HYPP14,2019:12:07 03:15:01,07/12/2019,0.135428241,Brown Hyena,No,0.6-0.8,12,1,Grid1,200
HYPP14,HYPP14,HYPP14,2019:12:07 03:15:02,07/12/2019,0.135439815,Brown Hyena,No,0.8-1,13,1,Grid1,200
HYPP17,HYPP17,HYPP17,2019:12:07 07:22:08,07/12/2019,0.307037037,African Civet,No,0.4-0.6,11,1,Grid1,200
HYPP17,HYPP17,HYPP17,2019:12:07 07:22:09,07/12/2019,0.307048611,African Civet,No,0.4-0.6,11,1,Grid1,200
HYPP17,HYPP17,HYPP17,2019:12:07 07:22:15,07/12/2019,0.307118056,African Civet,No,0.8-1,11,1,Grid1,200
HYPP17,HYPP17,HYPP17,2019:12:07 07:22:16,07/12/2019,0.30712963,African Civet,No,0.8-1,12,1,Grid1,200
HYPP17,HYPP17,HYPP17,2019:12:15 19:58:37,15/12/2019,0.832372685,Black Backed Jackal,No,0.4-0.6,12,1,Grid1,200
HYPP17,HYPP17,HYPP17,2019:12:15 19:58:38,15/12/2019,0.832384259,Black Backed Jackal,No,0-0.2,12,1,Grid1,200
HYPP20,HYPP20,HYPP20,2019:12:09 16:20:20,09/12/2019,0.680787037,Black Backed Jackal,Yes,0-0.2,10,1,Grid1,200
HYPP20,HYPP20,HYPP20,2019:12:09 16:20:21,09/12/2019,0.680798611,Black Backed Jackal,No,0.4-0.6,9,1,Grid1,200
HYPP20,HYPP20,HYPP20,2019:12:09 16:20:22,09/12/2019,0.680810185,Black Backed Jackal,No,0.6-0.8,9,1,Grid1,200
HYPP20,HYPP20,HYPP20,2019:12:09 16:20:38,09/12/2019,0.68099537,Black Backed Jackal,No,0-0.2,10,1,Grid1,200
HYPP20,HYPP20,HYPP20,2019:12:09 16:20:39,09/12/2019,0.681006944,Black Backed Jackal,No,0-0.2,13,1,Grid1,200
TAPP01,TAPP01,TAPP01,2019:12:12 22:25:23,12/12/2019,0.934293981,Black Backed Jackal,No,0-0.2,7.5,1,Grid1,200
TAPP01,TAPP01,TAPP01,2019:12:12 22:25:24,12/12/2019,0.934305556,Black Backed Jackal,No,0.6-0.8,12,1,Grid1,200
TAPP02,TAPP02,TAPP02,2019:12:11 06:31:08,11/12/2019,0.27162037,Brown Hyena,No,0.2-0.4,11,1,Grid1,200
TAPP02,TAPP02,TAPP02,2019:12:11 06:31:09,11/12/2019,0.271631944,Brown Hyena,No,0.6-0.8,17,1,Grid1,200
TAPP02,TAPP02,TAPP02,2019:12:16 02:57:19,16/12/2019,0.123136574,Black Backed Jackal,Yes,0.2-0.4,4.5,1,Grid1,200
TAPP02,TAPP02,TAPP02,2019:12:16 02:57:20,16/12/2019,0.123148148,Black Backed Jackal,No,0.6-0.8,6.5,1,Grid1,200
TAPP02,TAPP02,TAPP02,2019:12:16 02:57:21,16/12/2019,0.123159722,Black Backed Jackal,No,0.8-1,13,1,Grid1,200
TAPP03,TAPP03,TAPP03,2019:12:13 05:19:08,13/12/2019,0.22162037,Black Backed Jackal,No,0.6-0.8,15,1,Grid1,200
TAPP03,TAPP03,TAPP03,2019:12:13 05:19:09,13/12/2019,0.221631944,Black Backed Jackal,No,0.6-0.8,12,1,Grid1,200
TAPP03,TAPP03,TAPP03,2019:12:13 05:19:10,13/12/2019,0.221643519,Black Backed Jackal,No,0.4-0.6,9.5,1,Grid1,200
GKPP11,GKPP11,GKPP11,2019:12:10 19:07:57,10/12/2019,0.7971875,Black Backed Jackal,No,0-0.2,12,1,Grid1,200
GKPP11,GKPP11,GKPP11,2019:12:10 19:07:58,10/12/2019,0.797199074,Black Backed Jackal,No,0.6-0.8,9.5,1,Grid1,200
GKPP11,GKPP11,GKPP11,2019:12:15 05:42:52,15/12/2019,0.238101852,Black Backed Jackal,No,0.4-0.6,9,1,Grid1,200
GKPP11,GKPP11,GKPP11,2019:12:15 05:42:53,15/12/2019,0.238113426,Black Backed Jackal,No,0-0.2,9.5,1,Grid1,200
GKPP11,GKPP11,GKPP11,2019:12:15 05:43:00,15/12/2019,0.238194444,Black Backed Jackal,No,0.8-1,15,1,Grid1,200
GKPP11,GKPP11,GKPP11,2019:12:16 03:29:26,16/12/2019,0.145439815,Black Backed Jackal,No,0.4-0.6,6,1,Grid1,200
GKPP11,GKPP11,GKPP11,2019:12:16 03:29:27,16/12/2019,0.145451389,Black Backed Jackal,No,0.4-0.6,6,1,Grid1,200
GKPP11,GKPP11,GKPP11,2019:12:16 03:30:29,16/12/2019,0.146168981,Black Backed Jackal,No,0.6-0.8,7,1,Grid1,200
GKPP11,GKPP11,GKPP11,2019:12:16 03:30:30,16/12/2019,0.146180556,Black Backed Jackal,No,0.8-1,7.5,1,Grid1,200
GKPP11,GKPP11,GKPP11,2019:12:17 03:54:29,17/12/2019,0.162835648,Black Backed Jackal,Yes,0-0.2,12,1,Grid1,200
GKPP11,GKPP11,GKPP11,2019:12:17 03:54:30,17/12/2019,0.162847222,Black Backed Jackal,No,0-0.2,12,1,Grid1,200
GKPP11,GKPP11,GKPP11,2019:12:17 03:54:31,17/12/2019,0.162858796,Black Backed Jackal,No,0-0.2,12,1,Grid1,200
