cameraID,placeID,placedat
TAPP01,TAPP01,2755619
TAPP02,TAPP02,2752979
TAPP03,TAPP03,2750639
HYPP04,HYPP04,2104680
TAPP05,TAPP05,2757599
GKPP06,GKPP06,2731919
HYPP07,HYPP07,2731739
HYPP08,HYPP08,1262280
GKPP10,GKPP10,2754179
GKPP11,GKPP11,2579639
GKPP12,GKPP12,2768639
GKPP13,GKPP13,2734799
HYPP14,HYPP14,2733599
GKPP15,GKPP15,1773480
GKPP16,GKPP16,2768099
HYPP17,HYPP17,2735459
GKPP18,GKPP18,1962480
GKPP19,GKPP19,2780219
HYPP20,HYPP20,2581979
TAPP21,TAPP21,2233199
TAPP22,TAPP22,2113201
TAPP23,TAPP23,2101381
TAPP24,TAPP24,1189920
TAPP25,TAPP25,1608240
HYPP26,HYPP26,1805821
GKPP29,GKPP29,2140321
GKPP30,GKPP30,2211961
HYPP31,HYPP31,2617261
HYPP32,HYPP32,1570801
GKPP33,GKPP33,1884840
GKPP34,GKPP34,1186680
GKPP35,GKPP35,569820
HYPP36,HYPP36,2260021
HYPP37,HYPP37,2724961
GKPP38,GKPP38,1355280
GKPP39,GKPP39,2114341
HYPP40,HYPP40,2711881
HYPP41,HYPP41,2717881
TAPP43,TAPP43,2025240
TAPP44,TAPP44,2709599
TAPP45,TAPP45,1961159
HYPP46,HYPP46,2544719
TAPP47,TAPP47,2713799
TAPP48,TAPP48,1886040
TAPP49,TAPP49,1264920
TAPP50,TAPP50,1131300
HYPP51,HYPP51,1829340
GKPP52,GKPP52,665940
GKPP53,GKPP53,2777999
GKPP54,GKPP54,2233499
GKPP55,GKPP55,2715239
HYPP56,HYPP56,2760359
HYPP57,HYPP57,1458720
GKPP58,GKPP58,2100059
GKPP59,GKPP59,2799299
HYPP60,HYPP60,2765759
GKPP61,GKPP61,2457239
GKPP62,GKPP62,2793299
HYPP63,HYPP63,2768819
