placeID,fileID,Sample.Label,datetime,date,time,species,contact,angle,distance,Area,Region.Label,Study.Area
TAPP01,TAPP01,TAPP01,,,,,,,,1,Grid1,200
TAPP02,TAPP02,TAPP02,,,,,,,,1,Grid1,200
TAPP03,TAPP03,TAPP03,,,,,,,,1,Grid1,200
HYPP04,HYPP04,HYPP04,,,,,,,,1,Grid1,200
TAPP05,TAPP05,TAPP05,,,,,,,,1,Grid1,200
GKPP06,GKPP06,GKPP06,,,,,,,,1,Grid1,200
HYPP07,HYPP07,HYPP07,,,,,,,,1,Grid1,200
HYPP08,HYPP08,HYPP08,,,,,,,,1,Grid1,200
GKPP10,GKPP10,GKPP10,,,,,,,,1,Grid1,200
GKPP11,GKPP11,GKPP11,,,,,,,,1,Grid1,200
GKPP12,GKPP12,GKPP12,,,,,,,,1,Grid1,200
GKPP13,GKPP13,GKPP13,,,,,,,,1,Grid1,200
HYPP14,HYPP14,HYPP14,,,,,,,,1,Grid1,200
GKPP15,GKPP15,GKPP15,,,,,,,,1,Grid1,200
GKPP16,GKPP16,GKPP16,,,,,,,,1,Grid1,200
HYPP17,HYPP17,HYPP17,,,,,,,,1,Grid1,200
GKPP18,GKPP18,GKPP18,,,,,,,,1,Grid1,200
GKPP19,GKPP19,GKPP19,,,,,,,,1,Grid1,200
HYPP20,HYPP20,HYPP20,,,,,,,,1,Grid1,200
TAPP21,TAPP21,TAPP21,,,,,,,,1,Grid2,200
TAPP22,TAPP22,TAPP22,,,,,,,,1,Grid2,200
TAPP23,TAPP23,TAPP23,,,,,,,,1,Grid2,200
TAPP24,TAPP24,TAPP24,,,,,,,,1,Grid2,200
TAPP25,TAPP25,TAPP25,,,,,,,,1,Grid2,200
HYPP26,HYPP26,HYPP26,,,,,,,,1,Grid2,200
GKPP29,GKPP29,GKPP29,,,,,,,,1,Grid2,200
GKPP30,GKPP30,GKPP30,,,,,,,,1,Grid2,200
HYPP31,HYPP31,HYPP31,,,,,,,,1,Grid2,200
HYPP32,HYPP32,HYPP32,,,,,,,,1,Grid2,200
GKPP33,GKPP33,GKPP33,,,,,,,,1,Grid2,200
GKPP34,GKPP34,GKPP34,,,,,,,,1,Grid2,200
GKPP35,GKPP35,GKPP35,,,,,,,,1,Grid2,200
HYPP36,HYPP36,HYPP36,,,,,,,,1,Grid2,200
HYPP37,HYPP37,HYPP37,,,,,,,,1,Grid2,200
GKPP38,GKPP38,GKPP38,,,,,,,,1,Grid2,200
GKPP39,GKPP39,GKPP39,,,,,,,,1,Grid2,200
HYPP40,HYPP40,HYPP40,,,,,,,,1,Grid2,200
HYPP41,HYPP41,HYPP41,,,,,,,,1,Grid2,200
TAPP43,TAPP43,TAPP43,,,,,,,,1,Grid3,200
TAPP44,TAPP44,TAPP44,,,,,,,,1,Grid3,200
TAPP45,TAPP45,TAPP45,,,,,,,,1,Grid3,200
HYPP46,HYPP46,HYPP46,,,,,,,,1,Grid3,200
TAPP47,TAPP47,TAPP47,,,,,,,,1,Grid3,200
TAPP48,TAPP48,TAPP48,,,,,,,,1,Grid3,200
TAPP49,TAPP49,TAPP49,,,,,,,,1,Grid3,200
TAPP50,TAPP50,TAPP50,,,,,,,,1,Grid3,200
HYPP51,HYPP51,HYPP51,,,,,,,,1,Grid3,200
GKPP52,GKPP52,GKPP52,,,,,,,,1,Grid3,200
GKPP53,GKPP53,GKPP53,,,,,,,,1,Grid3,200
GKPP54,GKPP54,GKPP54,,,,,,,,1,Grid3,200
GKPP55,GKPP55,GKPP55,,,,,,,,1,Grid3,200
HYPP56,HYPP56,HYPP56,,,,,,,,1,Grid3,200
HYPP57,HYPP57,HYPP57,,,,,,,,1,Grid3,200
GKPP58,GKPP58,GKPP58,,,,,,,,1,Grid3,200
GKPP59,GKPP59,GKPP59,,,,,,,,1,Grid3,200
HYPP60,HYPP60,HYPP60,,,,,,,,1,Grid3,200
GKPP61,GKPP61,GKPP61,,,,,,,,1,Grid3,200
GKPP62,GKPP62,GKPP62,,,,,,,,1,Grid3,200
HYPP63,HYPP63,HYPP63,,,,,,,,1,Grid3,200
GKPP16,GKPP16,GKPP16,2019:12:08 02:09:23,08/12/2019,0.08985,Black Backed Jackal,No,0.2-0.4,6,1,Grid1,200
GKPP16,GKPP16,GKPP16,2019:12:08 02:09:23,08/12/2019,0.08985,Black Backed Jackal,No,0-0.2,6,1,Grid1,200
GKPP16,GKPP16,GKPP16,2019:12:08 02:09:23,08/12/2019,0.08985,Black Backed Jackal,No,0-0.2,6.5,1,Grid1,200
GKPP16,GKPP16,GKPP16,2019:12:08 02:09:22,08/12/2019,0.089838,Black Backed Jackal,No,0-0.2,6.5,1,Grid1,200
GKPP16,GKPP16,GKPP16,2019:12:08 02:09:22,08/12/2019,0.089838,Black Backed Jackal,No,0-0.2,6.5,1,Grid1,200
GKPP16,GKPP16,GKPP16,2019:12:08 02:09:22,08/12/2019,0.089838,Black Backed Jackal,Yes,0-0.2,6.5,1,Grid1,200
GKPP19,GKPP19,GKPP19,2019:12:08 00:12:12,08/12/2019,0.008472,Brown Hyena,No,0-0.2,4,1,Grid1,200
GKPP19,GKPP19,GKPP19,2019:12:08 00:12:12,08/12/2019,0.008472,Brown Hyena,No,0-0.2,4,1,Grid1,200
GKPP19,GKPP19,GKPP19,2019:12:08 00:12:12,08/12/2019,0.008472,Brown Hyena,No,0-0.2,4.5,1,Grid1,200
GKPP19,GKPP19,GKPP19,2019:12:08 00:12:11,08/12/2019,0.008461,Brown Hyena,No,0-0.2,5,1,Grid1,200
GKPP19,GKPP19,GKPP19,2019:12:08 00:12:11,08/12/2019,0.008461,Brown Hyena,No,0.2-0.4,5,1,Grid1,200
GKPP19,GKPP19,GKPP19,2019:12:08 00:12:11,08/12/2019,0.008461,Brown Hyena,Yes,0.2-0.4,5.5,1,Grid1,200
TAPP01,TAPP01,TAPP01,2019:12:12 22:25:24,12/12/2019,0.934306,Black Backed Jackal,No,0.6-0.8,14,1,Grid1,200
TAPP01,TAPP01,TAPP01,2019:12:12 22:25:24,12/12/2019,0.934306,Black Backed Jackal,No,0.6-0.8,12,1,Grid1,200
TAPP01,TAPP01,TAPP01,2019:12:12 22:25:24,12/12/2019,0.934306,Black Backed Jackal,No,0.4-0.6,9.5,1,Grid1,200
TAPP01,TAPP01,TAPP01,2019:12:12 22:25:23,12/12/2019,0.934294,Black Backed Jackal,No,0.2-0.4,8,1,Grid1,200
TAPP01,TAPP01,TAPP01,2019:12:12 22:25:23,12/12/2019,0.934294,Black Backed Jackal,No,0-0.2,7.5,1,Grid1,200
TAPP01,TAPP01,TAPP01,2019:12:12 22:25:23,12/12/2019,0.934294,Black Backed Jackal,Yes,0-0.2,6,1,Grid1,200
GKPP11,GKPP11,GKPP11,2019:12:08 20:10:14,08/12/2019,0.84044,Black Backed Jackal,No,0.2-0.4,10,1,Grid1,200
GKPP11,GKPP11,GKPP11,2019:12:08 20:10:14,08/12/2019,0.84044,Black Backed Jackal,No,0-0.2,11,1,Grid1,200
GKPP11,GKPP11,GKPP11,2019:12:08 20:10:13,08/12/2019,0.840428,Black Backed Jackal,No,0-0.2,11,1,Grid1,200
GKPP11,GKPP11,GKPP11,2019:12:08 20:10:13,08/12/2019,0.840428,Black Backed Jackal,No,0-0.2,11,1,Grid1,200
GKPP11,GKPP11,GKPP11,2019:12:08 20:10:13,08/12/2019,0.840428,Black Backed Jackal,No,0-0.2,11,1,Grid1,200
GKPP11,GKPP11,GKPP11,2019:12:08 20:10:13,08/12/2019,0.840428,Black Backed Jackal,Yes,0-0.2,12,1,Grid1,200
GKPP11,GKPP11,GKPP11,2019:12:07 23:27:23,07/12/2019,0.97735,Black Backed Jackal,No,0.4-0.6,17,1,Grid1,200
GKPP11,GKPP11,GKPP11,2019:12:07 23:27:23,07/12/2019,0.97735,Black Backed Jackal,No,0.4-0.6,16,1,Grid1,200
GKPP11,GKPP11,GKPP11,2019:12:07 23:27:22,07/12/2019,0.977338,Black Backed Jackal,No,0.4-0.6,16,1,Grid1,200
GKPP11,GKPP11,GKPP11,2019:12:07 23:27:22,07/12/2019,0.977338,Black Backed Jackal,No,0.4-0.6,16,1,Grid1,200
GKPP11,GKPP11,GKPP11,2019:12:07 23:27:22,07/12/2019,0.977338,Black Backed Jackal,No,0.4-0.6,16,1,Grid1,200
GKPP11,GKPP11,GKPP11,2019:12:07 23:27:22,07/12/2019,0.977338,Black Backed Jackal,Yes,0.4-0.6,15,1,Grid1,200
HYPP14,HYPP14,HYPP14,2019:12:07 03:15:02,07/12/2019,0.13544,Brown Hyena,No,0.8-1,13,1,Grid1,200
HYPP14,HYPP14,HYPP14,2019:12:07 03:15:02,07/12/2019,0.13544,Brown Hyena,No,0.8-1,13,1,Grid1,200
HYPP14,HYPP14,HYPP14,2019:12:07 03:15:01,07/12/2019,0.135428,Brown Hyena,No,0.8-1,13,1,Grid1,200
HYPP14,HYPP14,HYPP14,2019:12:07 03:15:01,07/12/2019,0.135428,Brown Hyena,No,0.6-0.8,12,1,Grid1,200
HYPP14,HYPP14,HYPP14,2019:12:07 03:15:01,07/12/2019,0.135428,Brown Hyena,No,0.6-0.8,12,1,Grid1,200
HYPP14,HYPP14,HYPP14,2019:12:07 03:15:00,07/12/2019,0.135417,Brown Hyena,No,0.6-0.8,11,1,Grid1,200
HYPP14,HYPP14,HYPP14,2019:12:07 03:14:57,07/12/2019,0.135382,Brown Hyena,No,0.2-0.4,10,1,Grid1,200
HYPP14,HYPP14,HYPP14,2019:12:07 03:14:56,07/12/2019,0.13537,Brown Hyena,No,0.2-0.4,10,1,Grid1,200
HYPP14,HYPP14,HYPP14,2019:12:07 03:14:56,07/12/2019,0.13537,Brown Hyena,No,0.4-0.6,10,1,Grid1,200
HYPP14,HYPP14,HYPP14,2019:12:07 03:14:56,07/12/2019,0.13537,Brown Hyena,No,0.4-0.6,9.5,1,Grid1,200
HYPP14,HYPP14,HYPP14,2019:12:07 03:14:55,07/12/2019,0.135359,Brown Hyena,No,0.4-0.6,9.5,1,Grid1,200
HYPP14,HYPP14,HYPP14,2019:12:07 03:14:55,07/12/2019,0.135359,Brown Hyena,Yes,0.4-0.6,10,1,Grid1,200
HYPP17,HYPP17,HYPP17,2019:12:15 19:58:38,15/12/2019,0.832384,Black Backed Jackal,No,0-0.2,12,1,Grid1,200
HYPP17,HYPP17,HYPP17,2019:12:15 19:58:38,15/12/2019,0.832384,Black Backed Jackal,No,0-0.2,12,1,Grid1,200
HYPP17,HYPP17,HYPP17,2019:12:15 19:58:38,15/12/2019,0.832384,Black Backed Jackal,No,0.2-0.4,12,1,Grid1,200
HYPP17,HYPP17,HYPP17,2019:12:15 19:58:37,15/12/2019,0.832373,Black Backed Jackal,No,0.2-0.4,12,1,Grid1,200
HYPP17,HYPP17,HYPP17,2019:12:15 19:58:37,15/12/2019,0.832373,Black Backed Jackal,No,0.4-0.6,12,1,Grid1,200
HYPP17,HYPP17,HYPP17,2019:12:15 19:58:37,15/12/2019,0.832373,Black Backed Jackal,Yes,0.4-0.6,13,1,Grid1,200
HYPP17,HYPP17,HYPP17,2019:12:07 07:22:16,07/12/2019,0.30713,African Civet,No,0.8-1,13,1,Grid1,200
