cameraID,placeID,placedat
TAPP01,TAPP01,2755375
TAPP02,TAPP02,2752805
TAPP03,TAPP03,2750464
HYPP04,HYPP04,2104081
TAPP05,TAPP05,2757389
GKPP06,GKPP06,2731524
HYPP07,HYPP07,2731316
HYPP08,HYPP08,1260522
GKPP10,GKPP10,2754003
GKPP11,GKPP11,2579087
GKPP12,GKPP12,2768119
GKPP13,GKPP13,2734632
HYPP14,HYPP14,2733478
GKPP15,GKPP15,1771907
GKPP16,GKPP16,2767646
HYPP17,HYPP17,2735292
GKPP18,GKPP18,1961846
GKPP19,GKPP19,2779713
HYPP20,HYPP20,2581155
TAPP21,TAPP21,2232109
TAPP22,TAPP22,2113075
TAPP23,TAPP23,2101134
TAPP24,TAPP24,1188469
TAPP25,TAPP25,1606520
HYPP26,HYPP26,1804958
GKPP29,GKPP29,2139582
GKPP30,GKPP30,2211762
HYPP31,HYPP31,2615543
HYPP32,HYPP32,1569808
GKPP33,GKPP33,1884336
GKPP34,GKPP34,1184411
GKPP35,GKPP35,567409
HYPP36,HYPP36,2258884
HYPP37,HYPP37,2724640
GKPP38,GKPP38,1352600
GKPP39,GKPP39,2114073
HYPP40,HYPP40,2711035
HYPP41,HYPP41,2717419
TAPP43,TAPP43,2024844
TAPP44,TAPP44,2709203
TAPP45,TAPP45,1960688
HYPP46,HYPP46,2543731
TAPP47,TAPP47,2713481
TAPP48,TAPP48,1884416
TAPP49,TAPP49,1264779
TAPP50,TAPP50,1129800
HYPP51,HYPP51,1827821
GKPP52,GKPP52,662574
GKPP53,GKPP53,2776040
GKPP54,GKPP54,2232185
GKPP55,GKPP55,2712953
HYPP56,HYPP56,2759886
HYPP57,HYPP57,1457892
GKPP58,GKPP58,2097913
GKPP59,GKPP59,2798617
HYPP60,HYPP60,2765593
GKPP61,GKPP61,2453933
GKPP62,GKPP62,2792938
HYPP63,HYPP63,2768719
