cameraID,placeID,placedat
DEPP01,DEPP01,5985843
DEPP02,DEPP02,7172460
MAPP03,MAPP03,6767220
MAPP04,MAPP04,7775999
LAPP05,LAPP05,7775999
DEPP06,DEPP06,6196022
DEPP07,DEPP07,7698000
SHPP08,SHPP08,7775999
SHPP09,SHPP09,6525181
SHPP10,SHPP10,7408620
SHPP11,SHPP11,7775999
HAPP12,HAPP12,7775999
HAPP13,HAPP13,7775999
MOPP14,MOPP14,7681080
HAPP15,HAPP15,7627500
HAPP16,HAPP16,4880942
HAPP17,HAPP17,6721860
HAPP18,HAPP18,6837660
HAPP19,HAPP19,7590180
HAPP20,HAPP20,4338967
GIPP21,GIPP21,7775999
GIPP22,GIPP22,7690921
HAPP23,HAPP23,7775999
MOPP24,MOPP24,5788800
LAPP25,LAPP25,7775999
