Respondent_ID,EK_nonforest_total,EK_forest_total,Current_contact,Childhood_contact,Gender,agegroup,Origin,Subsistence,INS,LCNR_score,LCNR_max_possible_score,Forest_cover_percent,distance_to_closest_town_grouped,Coragyps_atratus_image,Columbina_passerina_image,Troglodytes_musculus_image,Crotophaga_ani_image,Pitangus_sulphuratus_image,Passer_domesticus_image,Volatinia_jacarina_image,Sporophila_angolensis_image,Sturnella_militaris_image,Vanellus_chilensis_image,Opisthocomus_hoazin_image,Eurypyga_helias_image,Caracara.plancus_image,Cyphorinus_arada_image,Odontophorus_gujanensis_image,Cyanoloxia_rothschildii_image,Pseudastur_albicolis_image,Lipaugus_vociferans_image,Pionus.menstruus,Cyanoloxia_rothschildii_image_sound_match,Cyphorinus_arada_image_sound_match,Sporophila_angolensis_image_sound_match,Troglodytes_musculus_image_sound_match,Pitangus_sulphuratus_image_sound_match,Volatinia_jacarina_image_sound_match,Vanellus_chilensis_image_sound_match,Lipaugus_vociferans_image_sound_match,Cyanoloxia_rothschildii_sound,Cyphorinus_arada_sound,Sporophila_angolensis_sound,Troglodytes_musculus_sound,Pitangus_sulphuratus_sound,Volatinia_jacarina_sound,Vanellus_chilensis_sound,Lipaugus_vociferans_sound
5,7,0,8,4,Male,71-75,Amazonia,7,5,27,28,55.87847494,mid-range,correct genus,correct family,correct species,correct species,correct species,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,incorrect,correct species by sound,incorrect,correct species by sound,incorrect,incorrect,incorrect
8,16,7,5,2,Male,36-40,Amazonia,21,5,25,28,55.87847494,mid-range,correct genus,correct family,correct species,incorrect,correct species,correct species,correct species,correct species,incorrect,correct family,correct species,incorrect,correct family,incorrect,incorrect,correct species,correct species,correct genus,correct species,incorrect,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct family by sound,correct species by sound
10,12,2,6,3,Female,66-70,Other,6,6,28,28,43.30270864,mid-range,correct genus,correct genus,incorrect,incorrect,incorrect,incorrect,incorrect,correct species,incorrect,correct species,incorrect,incorrect,correct family,incorrect,correct species,incorrect,incorrect,incorrect,correct species,incorrect,incorrect,correct sound-image matching,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,correct species by sound,incorrect,correct species by sound,correct species by sound,correct species by sound,incorrect
11,16,0,6,2,Male,46-50,Other,5,6,23,28,43.30270864,mid-range,correct genus,correct genus,incorrect,correct species,correct species,incorrect,incorrect,correct species,correct genus,correct species,incorrect,incorrect,correct species,incorrect,incorrect,incorrect,correct family,incorrect,correct family,incorrect,incorrect,correct sound-image matching,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,correct species by sound,incorrect,correct species by sound,correct species by sound,correct species by sound,incorrect
13,14,1,5,4,Male,46-50,Amazonia,0,4,16,28,31.02591274,mid-range,correct genus,correct genus,correct species,correct species,incorrect,incorrect,correct species,correct species,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,correct species,incorrect,correct family,incorrect,correct family,incorrect,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,incorrect,correct species by sound,incorrect,incorrect
14,12,1,8,2,Male,17-20,Amazonia,0,6,26,28,20.52136632,mid-range,correct genus,correct genus,correct species,correct species,incorrect,incorrect,correct species,correct species,incorrect,incorrect,correct species,incorrect,correct family,incorrect,correct species,incorrect,correct family,incorrect,correct family,incorrect,incorrect,correct sound-image matching,correct sound-image matching,incorrect,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,correct species by sound,incorrect,correct species by sound,incorrect,incorrect,incorrect
15,10,1,7,4,Female,41-45,Other,4,4,23,28,20.52136632,mid-range,correct genus,incorrect,incorrect,correct species,incorrect,incorrect,incorrect,incorrect,incorrect,correct species,incorrect,incorrect,correct species,incorrect,incorrect,incorrect,incorrect,incorrect,correct species,incorrect,incorrect,correct sound-image matching,incorrect,correct sound-image matching,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,correct species by sound,incorrect,correct species by sound,incorrect,correct species by sound,incorrect
16,19,1,5,4,Female,46-50,Other,3,5,27,28,66.1682829,mid-range,correct genus,correct family,correct species,correct species,correct species,correct species,correct species,correct species,correct genus,correct species,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,correct family,incorrect,correct family,incorrect,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound,incorrect
18,14,6,7,1,Male,51-55,Other,5,1,20,28,66.1682829,mid-range,correct genus,correct family,incorrect,incorrect,correct species,correct species,correct species,incorrect,correct genus,incorrect,correct species,incorrect,correct family,incorrect,incorrect,correct species,correct family,incorrect,correct family,correct sound-image matching,correct sound-image matching,incorrect,correct sound-image matching,correct sound-image matching,incorrect,correct sound-image matching,correct sound-image matching,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound,incorrect
19,9,1,5,2,Female,51-55,Amazonia,4,6,28,28,51.80997795,far,correct genus,correct genus,incorrect,correct species,correct species,incorrect,incorrect,incorrect,incorrect,correct species,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,correct family,incorrect,correct species,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,incorrect,correct species by sound,incorrect,correct species by sound,incorrect
20,17,2,3,4,Male,51-55,Other,8,5,21,28,51.80997795,far,correct genus,correct family,correct species,correct species,correct species,incorrect,correct genus,correct species,incorrect,correct species,correct species,incorrect,correct species,incorrect,correct species,correct species,correct family,incorrect,correct family,incorrect,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,correct genus by sound,incorrect,incorrect
22,13,0,4,1,Male,51-55,Other,3,5,12,28,37.01443752,far,correct genus,correct family,correct species,correct species,correct species,correct species,incorrect,correct species,correct family,correct species,correct species,incorrect,correct species,incorrect,incorrect,incorrect,correct family,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,incorrect,correct species by sound,incorrect,correct species by sound,incorrect
23,16,0,3,4,Female,46-50,Other,5,2,17,28,37.01443752,far,correct genus,correct genus,incorrect,correct species,correct species,correct species,incorrect,incorrect,correct genus,correct species,correct species,incorrect,correct species,incorrect,correct family,incorrect,correct family,incorrect,correct family,incorrect,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,incorrect,correct species by sound,incorrect
24,14,1,4,1,Male,41-45,Other,6,4,17,28,44.77209835,far,correct genus,correct genus,incorrect,correct species,correct species,incorrect,correct species,correct species,correct family,incorrect,correct species,incorrect,correct family,incorrect,incorrect,incorrect,correct family,incorrect,correct genus,incorrect,incorrect,correct sound-image matching,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,correct species by sound,incorrect,correct species by sound,correct species by sound,incorrect,incorrect
25,21,5,2,3,Male,51-55,Amazonia,9,7,28,28,42.7932236,far,correct genus,correct family,correct species,correct species,correct species,correct species,correct species,correct species,correct genus,correct species,correct species,incorrect,correct species,correct species,correct species,incorrect,correct family,incorrect,correct genus,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound,incorrect
26,11,0,6,4,Female,51-55,Other,4,5,28,28,42.7932236,far,correct genus,incorrect,incorrect,correct species,correct species,correct species,incorrect,incorrect,correct genus,correct species,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,correct species by sound,incorrect,correct species by sound,incorrect,correct species by sound,incorrect
28,13,1,8,2,Male,46-50,Other,5,6,28,28,39.71606002,far,correct genus,correct genus,correct species,correct species,correct species,incorrect,incorrect,incorrect,incorrect,correct species,incorrect,incorrect,correct species,incorrect,incorrect,incorrect,correct family,incorrect,correct family,incorrect,incorrect,incorrect,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,incorrect,correct species by sound
30,5,0,8,4,Female,56-60,Other,5,7,28,28,66.81907075,mid-range,correct genus,correct genus,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct species by sound,incorrect,correct species by sound,incorrect
31,7,2,8,1,Male,56-60,Other,5,7,28,28,66.81907075,mid-range,correct genus,correct family,correct species,incorrect,correct species,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,correct sound-image matching,incorrect,correct sound-image matching,incorrect,correct species by sound,incorrect,incorrect,correct species by sound,correct species by sound,incorrect,incorrect
32,22,3,4,4,Male,26-30,Amazonia,12,7,28,28,61.27362047,mid-range,correct genus,correct genus,correct species,correct species,correct species,correct species,correct species,correct species,correct genus,correct species,correct species,incorrect,correct species,incorrect,incorrect,incorrect,correct family,incorrect,correct genus,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,correct species by sound,incorrect
33,7,0,7,4,Female,26-30,Amazonia,6,6,27,28,61.27362047,mid-range,correct genus,correct family,incorrect,correct species,correct species,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,correct family,incorrect,correct family,incorrect,incorrect,correct sound-image matching,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,incorrect,correct species by sound,incorrect,correct species by sound,incorrect,incorrect,incorrect
34,14,0,6,4,Male,41-45,Amazonia,4,5,23,28,66.87230185,mid-range,correct genus,correct family,incorrect,correct species,correct species,correct species,correct species,correct species,incorrect,incorrect,correct species,correct species,correct family,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,correct sound-image matching,incorrect,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,correct species by sound,incorrect,correct species by sound,correct species by sound,incorrect,incorrect
35,9,1,2,1,Female,36-40,Amazonia,0,5,20,28,66.87230185,mid-range,correct genus,correct family,incorrect,correct species,correct species,incorrect,incorrect,incorrect,incorrect,incorrect,correct species,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,correct sound-image matching,correct sound-image matching,incorrect,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,incorrect,incorrect,incorrect
36,5,1,7,4,Female,17-20,Amazonia,15,4,23,28,64.94569555,mid-range,correct genus,correct family,incorrect,correct species,correct species,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,correct family,incorrect,correct genus,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct species by sound,incorrect,incorrect,incorrect
37,14,0,5,2,Male,21-25,Other,11,6,27,28,64.94569555,mid-range,correct genus,correct genus,incorrect,correct species,correct species,incorrect,correct species,correct species,correct genus,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,correct family,incorrect,correct family,incorrect,incorrect,correct sound-image matching,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,correct species by sound,incorrect,correct species by sound,correct species by sound,incorrect,incorrect
38,7,0,7,3,Female,56-60,Other,7,5,27,28,67.15173013,mid-range,correct genus,correct family,incorrect,correct species,correct species,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,correct family,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,correct species by sound,incorrect,correct species by sound,incorrect,incorrect,incorrect
