"Acacia brevispica biomass (y=48.739x-41.179, r = 0.24)",,,,,,,,,,,,,,,,,,,,
S/Transect,Quadra,SpCode,DKH,code,branches,Basal area (sq cm),Hmin,Hmax,CanDepth,CrwnDiam,slope,Soiltex,Elev (m),Trcov (%),Shcov (%),Hcov (%),Bare (%),CanArea     = ?D1D2/4 ,CanVol ,Biomass 
M1,M102,ACACBR,3,M,M,7.065,0.3,1.7,1.4,0.95,2,4,1665,50,10,100,0,0.7,0.65,105.038
M1,M102,ACACBR,2.5,,b,4.90625,0.3,1.7,1.4,0.95,2,4,1665,50,10,100,0,0.7,0.65,80.6685
M1,M102,ACACBR,1.4,,b,1.5386,0.3,1.7,1.4,0.95,2,4,1665,50,10,100,0,0.7,0.65,27.0556
M1,M102,ACACBR,1.3,,b,1.32665,0.3,1.7,1.4,0.95,2,4,1665,50,10,100,0,0.7,0.65,22.1817
M1,M102,ACACBR,1.1,,b,0.94985,0.3,1.7,1.4,0.95,2,4,1665,50,10,100,0,0.7,0.65,12.4339
M1,M102,ACACBR,1.3,,b,1.32665,0.3,1.7,1.4,0.95,2,4,1665,50,10,100,0,0.7,0.65,22.1817
M1,M102,ACACBR,1.1,,b,0.94985,0.3,1.7,1.4,0.95,2,4,1665,50,10,100,0,0.7,0.65,12.4339
M1,M102,ACACBR,1.4,,b,1.5386,0.3,1.7,1.4,0.95,2,4,1665,50,10,100,0,0.7,0.65,27.0556
M1,M102,ACACBR,1.3,,b,1.32665,0.3,1.7,1.4,0.95,2,4,1665,50,10,100,0,0.7,0.65,22.1817
M1,M102,ACACBR,1.3,,b,1.32665,0.3,1.7,1.4,0.95,2,4,1665,50,10,100,0,0.7,0.65,22.1817
M1,M102,ACACBR,1.8,,b,2.5434,0.3,1.7,1.4,0.95,2,4,1665,50,10,100,0,0.7,0.65,46.5512
M1,M102,ACACBR,1.3,,b,1.32665,0.3,1.7,1.4,0.95,2,4,1665,50,10,100,0,0.7,0.65,22.1817
M1,M102,ACACBR,1.6,M,M,2.0096,0.55,1.02,0.47,0.26,2,4,1665,50,10,100,0,0.05,0.01,36.8034
M1,M102,ACACBR,1.6,,b,2.0096,0.55,1.02,0.47,0.26,2,4,1665,50,10,100,0,0.05,0.01,36.8034
M1,M102,ACACBR,1.2,,b,1.1304,0.55,1.02,0.47,0.26,2,4,1665,50,10,100,0,0.05,0.01,17.3078
M1,M102,ACACBR,1.4,M,M,1.5386,0.14,0.88,0.74,0.8,2,4,1665,50,10,100,0,0.48,0.24,27.0556
M1,M102,ACACBR,1.4,,b,1.5386,0.14,0.88,0.74,0.8,2,4,1665,50,10,100,0,0.48,0.24,27.0556
M1,M102,ACACBR,1.1,,b,0.94985,0.14,0.88,0.74,0.8,2,4,1665,50,10,100,0,0.48,0.24,12.4339
M1,M102,ACACBR,1.3,M,M,1.32665,0.12,1,0.88,0.28,2,4,1665,50,10,100,0,0.06,0.04,22.1817
M1,M102,ACACBR,1.3,,b,1.32665,0.12,1,0.88,0.28,2,4,1665,50,10,100,0,0.06,0.04,22.1817
M1,M102,ACACBR,1.1,M,M,0.94985,0.55,0.9,0.35,0.31,2,4,1665,50,10,100,0,0.08,0.02,12.4339
M1,M102,ACACBR,1.9,M,M,2.83385,0.32,0.81,0.49,0.37,2,4,1665,50,10,100,0,0.1,0.03,51.4251
M1,M102,ACACBR,1,,b,0.785,0.32,0.81,0.49,0.37,2,4,1665,50,10,100,0,0.1,0.03,7.56
M1,M102,ACACBR,1.3,,b,1.32665,0.32,0.81,0.49,0.37,2,4,1665,50,10,100,0,0.1,0.03,22.1817
M1,M102,ACACBR,1.2,M,M,1.1304,0.46,1.3,0.84,0.52,2,4,1665,50,10,100,0,0.21,0.12,17.3078
M1,M102,ACACBR,4.2,M,M,13.8474,0.7,3.1,2.4,1.67,2,4,1665,50,10,100,0,2.12,3.39,163.5248
M1,M102,ACACBR,1.9,,b,2.83385,0.7,3.1,2.4,1.67,2,4,1665,50,10,100,0,2.12,3.39,51.4251
M1,M102,ACACBR,2,,b,3.14,0.7,3.1,2.4,1.67,2,4,1665,50,10,100,0,2.12,3.39,56.299
M1,M102,ACACBR,1.2,,b,1.1304,0.7,3.1,2.4,1.67,2,4,1665,50,10,100,0,2.12,3.39,17.3078
M1,M102,ACACBR,1.3,,b,1.32665,0.7,3.1,2.4,1.67,2,4,1665,50,10,100,0,2.12,3.39,22.1817
M1,M102,ACACBR,2.8,,b,6.1544,0.7,3.1,2.4,1.67,2,4,1665,50,10,100,0,2.12,3.39,95.2902
M1,M102,ACACBR,3.9,,b,11.93985,0.7,3.1,2.4,1.67,2,4,1665,50,10,100,0,2.12,3.39,148.9031
M1,M102,ACACBR,1.4,,b,1.5386,0.7,3.1,2.4,1.67,2,4,1665,50,10,100,0,2.12,3.39,27.0556
M1,M102,ACACBR,1.5,,b,1.76625,0.7,3.1,2.4,1.67,2,4,1665,50,10,100,0,2.12,3.39,31.9295
M1,M102,ACACBR,1,,b,0.785,0.7,3.1,2.4,1.67,2,4,1665,50,10,100,0,2.12,3.39,7.56
M1,M102,ACACBR,2,M,M,3.14,1.1,1.3,0.2,0.9,2,4,1665,50,10,100,0,0.57,0.08,56.299
M1,M102,ACACBR,1.8,,b,2.5434,1.1,1.3,0.2,0.9,2,4,1665,50,10,100,0,0.57,0.08,46.5512
M1,M102,ACACBR,1.7,,b,2.26865,1.1,1.3,0.2,0.9,2,4,1665,50,10,100,0,0.57,0.08,41.6773
M1,M102,ACACBR,1.9,M,M,2.83385,0.6,1.1,0.5,0.7,2,4,1665,50,10,100,0,0.35,0.12,51.4251
M1,M102,ACACBR,1.8,,b,2.5434,0.6,1.1,0.5,0.7,2,4,1665,50,10,100,0,0.35,0.12,46.5512
M1,M102,ACACBR,1.6,,b,2.0096,0.6,1.1,0.5,0.7,2,4,1665,50,10,100,0,0.35,0.12,36.8034
M1,M102,ACACBR,2.1,M,M,3.46185,0.4,1.5,1.1,1.45,2,4,1665,50,10,100,0,1.65,1.21,61.1729
M1,M102,ACACBR,1.6,,b,2.0096,0.4,1.5,1.1,1.45,2,4,1665,50,10,100,0,1.65,1.21,36.8034
M1,M102,ACACBR,1.2,,b,1.1304,0.4,1.5,1.1,1.45,2,4,1665,50,10,100,0,1.65,1.21,17.3078
M1,M102,ACACBR,1.9,,b,2.83385,0.4,1.5,1.1,1.45,2,4,1665,50,10,100,0,1.65,1.21,51.4251
M1,M102,ACACBR,1.5,,b,1.76625,0.4,1.5,1.1,1.45,2,4,1665,50,10,100,0,1.65,1.21,31.9295
M1,M102,ACACBR,1.6,,b,2.0096,0.4,1.5,1.1,1.45,2,4,1665,50,10,100,0,1.65,1.21,36.8034
M1,M102,ACACBR,2.2,M,M,3.7994,0.6,2.1,1.5,1.15,2,4,1665,50,10,100,0,1.02,1.02,66.0468
M1,M102,ACACBR,1.8,,b,2.5434,0.6,2.1,1.5,1.15,2,4,1665,50,10,100,0,1.02,1.02,46.5512
M1,M102,ACACBR,2.1,,b,3.46185,0.6,2.1,1.5,1.15,2,4,1665,50,10,100,0,1.02,1.02,61.1729
