Acacia etbaica biomas (y=53.506x -103.47 ; r2 = 0.68),,,,,,,,,,,,,,
S/Transect,Quadra,SpCode,DKH,code,branches,Basal area (sq cm),Hmin,Hmax,CanDepth,CrwnDiam,slope,CanArea     = ?D1D2/4 ,CanVol ,Biomass
L1,L101,ACACET,3.5,M,M,9.61625,0.52,1,0.48,1.5,2,1.73,0.56,83.801
L1,L102,ACACET,10.5,M,M,86.54625,0.99,2.53,1.54,2.7,3,5.6,5.75,458.343
L1,L102,ACACET,6.3,,b,31.15665,0.99,2.53,1.54,2.7,3,5.6,5.75,233.6178
L1,L102,ACACET,5.5,,b,23.74625,0.99,2.53,1.54,2.7,3,5.6,5.75,190.813
L1,L103,ACACET,12.5,M,M,122.65625,1.06,4.48,3.42,5.9,3,27.32,62.32,565.355
L1,L103,ACACET,11,,b,94.985,1.06,4.48,3.42,5.9,3,27.32,62.32,485.096
L1,L104,ACACET,13.9,M,M,151.66985,0.95,2.59,1.64,2.29,3,3.8,4.16,640.2634
L1,L104,ACACET,12.6,,b,124.6266,0.95,2.59,1.64,2.29,3,3.8,4.16,570.7056
L1,L116,ACACET,23.4,M,M,429.8346,1.05,5.34,4.29,6.08,3,28.33,80.93,1148.5704
L1,L116,ACACET,17.6,,b,243.1616,1.05,5.34,4.29,6.08,3,28.33,80.93,838.2356
L1,L116,ACACET,13.6,,b,145.1936,1.05,5.34,4.29,6.08,3,28.33,80.93,624.2116
L1,L116,ACACET,8,,b,50.24,1.05,5.34,4.29,6.08,3,28.33,80.93,324.578
L1,L121,ACACET,11.1,M,M,96.71985,0.59,2.62,2.03,4.95,2,18.67,25.29,490.4466
L1,L121,ACACET,7.2,,b,40.6944,0.59,2.62,2.03,4.95,2,18.67,25.29,281.7732
L1,L121,ACACET,5.3,,b,22.05065,0.59,2.62,2.03,4.95,2,18.67,25.29,180.1118
L1,L121,ACACET,4.6,,b,16.6106,0.59,2.62,2.03,4.95,2,18.67,25.29,142.6576
L1,L123,ACACET,4.9,M,M,18.84785,1.11,2.47,1.36,2.73,2,5.83,5.29,158.7094
L1,L123,ACACET,3.2,,b,8.0384,1.11,2.47,1.36,2.73,2,5.83,5.29,67.7492
L1,L124,ACACET,4.9,M,M,18.84785,1,2.71,1.71,1.86,2,2.58,2.94,158.7094
L1,L124,ACACET,4,,b,12.56,1,2.71,1.71,1.86,2,2.58,2.94,110.554
L1,L124,ACACET,5.5,M,M,23.74625,1.06,2.19,1.13,1.23,2,1.18,0.89,190.813
L1,L124,ACACET,3.6,,b,10.1736,1.06,2.19,1.13,1.23,2,1.18,0.89,89.1516
L1,L124,ACACET,4.7,,b,17.34065,1.06,2.19,1.13,1.23,2,1.18,0.89,148.0082
