"Acacia mellifera biomass (y=131.76x -265.62, r=0.714)",,,,,,,,,,,,
S/Transect,Quadra,SpCode,DKH,code,branches,Basal area (sq cm),Hmin,Hmax,CanDepth,CanArea     = ?D1D2/4 ,CanVol ,Biomass
L1,L101,ACACME,10.6,M,M,88.2026,1.22,1.43,0.21,32.61,4.63,1131.036
L1,L101,ACACME,9.9,,b,76.93785,1.22,1.43,0.21,32.61,4.63,1038.804
L1,L101,ACACME,5.7,,b,25.50465,1.22,1.43,0.21,32.61,4.63,485.412
L1,L101,ACACME,6.3,,b,31.15665,1.22,1.43,0.21,32.61,4.63,564.468
L1,L101,ACACME,4.3,,b,14.51465,1.22,1.43,0.21,32.61,4.63,300.948
L1,L101,ACACME,7.2,,b,40.6944,1.22,1.43,0.21,32.61,4.63,683.052
L1,L101,ACACME,4.2,,b,13.8474,1.22,1.43,0.21,32.61,4.63,287.772
L1,L101,ACACME,10.2,,b,81.6714,1.22,1.43,0.21,32.61,4.63,1078.332
L1,L101,ACACME,4.2,,b,13.8474,1.22,1.43,0.21,32.61,4.63,287.772
L1,L101,ACACME,5.5,,b,23.74625,1.22,1.43,0.21,32.61,4.63,459.06
L1,L101,ACACME,6.5,,b,33.16625,1.22,1.43,0.21,32.61,4.63,590.82
L1,L101,ACACME,9.7,M,M,73.86065,0.82,1,0.18,5.24,0.62,1012.452
L1,L101,ACACME,8.3,,b,54.07865,0.82,1,0.18,5.24,0.62,827.988
L1,L101,ACACME,6.7,,b,35.23865,0.82,1,0.18,5.24,0.62,617.172
L1,L102,ACACME,11.3,M,M,100.23665,1.4,2.1,0.7,1.13,0.53,1223.268
L1,L102,ACACME,5,,b,19.625,1.4,2.1,0.7,1.13,0.53,393.18
L1,L102,ACACME,8.6,M,M,58.0586,1.15,3.57,2.42,10.97,17.68,867.516
L1,L102,ACACME,5,,b,19.625,1.15,3.57,2.42,10.97,17.68,393.18
L1,L102,ACACME,7,,b,38.465,1.15,3.57,2.42,10.97,17.68,656.7
L1,L102,ACACME,8.3,,b,54.07865,1.15,3.57,2.42,10.97,17.68,827.988
L1,L103,ACACME,8,M,M,50.24,1.06,4.33,3.27,39.07,85.15,788.46
L1,L103,ACACME,5,,b,19.625,1.06,4.33,3.27,39.07,85.15,393.18
L1,L103,ACACME,7.2,,b,40.6944,1.06,4.33,3.27,39.07,85.15,683.052
L1,L103,ACACME,7,,b,38.465,1.06,4.33,3.27,39.07,85.15,656.7
L1,L103,ACACME,7.2,,b,40.6944,1.06,4.33,3.27,39.07,85.15,683.052
L1,L103,ACACME,5.5,,b,23.74625,1.06,4.33,3.27,39.07,85.15,459.06
L1,L103,ACACME,5.4,,b,22.8906,1.06,4.33,3.27,39.07,85.15,445.884
L1,L103,ACACME,5.2,,b,21.2264,1.06,4.33,3.27,39.07,85.15,419.532
L1,L103,ACACME,6.8,,b,36.2984,1.06,4.33,3.27,39.07,85.15,630.348
L1,L103,ACACME,5.6,,b,24.6176,1.06,4.33,3.27,39.07,85.15,472.236
L1,L103,ACACME,4,,b,12.56,1.06,4.33,3.27,39.07,85.15,261.42
L1,L103,ACACME,6.3,,b,31.15665,1.06,4.33,3.27,39.07,85.15,564.468
L1,L103,ACACME,4.6,,b,16.6106,1.06,4.33,3.27,39.07,85.15,340.476
L1,L104,ACACME,3.3,M,M,8.54865,1.1,1.8,0.7,2.22,1.03,169.188
L1,L104,ACACME,7.2,M,M,40.6944,0.91,3.14,2.23,9.34,13.89,683.052
L1,L104,ACACME,4.7,,b,17.34065,0.91,3.14,2.23,9.34,13.89,353.652
L1,L104,ACACME,2.6,,b,5.3066,0.91,3.14,2.23,9.34,13.89,76.956
L1,L106,ACACME,8.4,M,M,55.3896,1.55,3.51,1.96,9.49,12.38,841.164
L1,L106,ACACME,8,,b,50.24,1.55,3.51,1.96,9.49,12.38,788.46
L1,L106,ACACME,3.6,,b,10.1736,1.55,3.51,1.96,9.49,12.38,208.716
L1,L106,ACACME,3.5,M,M,9.61625,1.06,2.62,1.56,3.01,3.14,195.54
L1,L114,ACACME,15.1,M,M,178.98785,1.6,5.15,3.55,56.68,134.23,1723.956
L1,L114,ACACME,13.8,,b,149.4954,1.6,5.15,3.55,56.68,134.23,1552.668
L1,L114,ACACME,8,,b,50.24,1.6,5.15,3.55,56.68,134.23,788.46
L1,L114,ACACME,8,,b,50.24,1.6,5.15,3.55,56.68,134.23,788.46
L1,L114,ACACME,10.5,,b,86.54625,1.6,5.15,3.55,56.68,134.23,1117.86
L1,L114,ACACME,9.5,,b,70.84625,1.6,5.15,3.55,56.68,134.23,986.1
L1,L114,ACACME,11.4,,b,102.0186,1.6,5.15,3.55,56.68,134.23,1236.444
L1,L114,ACACME,10.9,,b,93.26585,1.6,5.15,3.55,56.68,134.23,1170.564
L1,L114,ACACME,9.3,,b,67.89465,1.6,5.15,3.55,56.68,134.23,959.748
L1,L114,ACACME,8.4,,b,55.3896,1.6,5.15,3.55,56.68,134.23,841.164
L1,L114,ACACME,3.5,,b,9.61625,1.6,5.15,3.55,56.68,134.23,195.54
L1,L115,ACACME,4.5,,b,15.89625,1.18,2.41,1.23,12.59,10.32,327.3
L1,L115,ACACME,5,,b,19.625,1.18,2.41,1.23,12.59,10.32,393.18
L1,L115,ACACME,3.5,,b,9.61625,1.18,2.41,1.23,12.59,10.32,195.54
L1,L115,ACACME,5.6,M,M,24.6176,1.01,2.62,1.61,8.45,9.09,472.236
L1,L115,ACACME,3.4,,b,9.0746,1.01,2.62,1.61,8.45,9.09,182.364
L1,L115,ACACME,2.5,,b,4.90625,1.01,2.62,1.61,8.45,9.09,63.78
L1,L115,ACACME,2.6,,b,5.3066,1.01,2.62,1.61,8.45,9.09,76.956
L1,L115,ACACME,14.1,M,M,156.06585,1.22,5.15,3.93,25.72,67.42,1592.196
