Acacia tortilis biomass (y=53.506x-103.47 (r2 = 0.75),,,,,,,,,,,,,,,,,,,
S/Transect,Quadra,SpCode,DKH,code,branches,Basal area (sq cm),Hmin,Hmax,CanDepth,D1,D2,CD,CanArea =  ?r² ,CanArea     = ?D1D2/4 ,Diff,(D1D2/4),CanVol,CanVol ,Biomass
L1,L105,ACACTO,8,M,M,50.24,1.09,2.87,1.78,3.56,3.36,3.46,9.4,9.39,0.01,2.9904,11.1,11.12,324.6
L1,L105,ACACTO,5,,b,19.63,1.09,2.87,1.78,3.56,3.36,3.46,9.4,9.39,0.01,2.9904,11.1,11.12,164.1
L1,L105,ACACTO,6.5,,b,33.17,1.09,2.87,1.78,3.56,3.36,3.46,9.4,9.39,0.01,2.9904,11.1,11.12,244.3
L1,L105,ACACTO,4.3,,b,14.51,1.09,2.87,1.78,3.56,3.36,3.46,9.4,9.39,0.01,2.9904,11.1,11.12,126.6
L1,L106,ACACTO,5,M,M,19.63,1.06,2.41,1.35,2.36,1.74,2.05,3.3,3.22,0.08,1.0266,2.9,2.9,164.1
L1,L106,ACACTO,4,,b,12.56,1.06,2.41,1.35,2.36,1.74,2.05,3.3,3.22,0.08,1.0266,2.9,2.9,110.6
L1,L106,ACACTO,3.6,,b,10.17,1.06,2.41,1.35,2.36,1.74,2.05,3.3,3.22,0.08,1.0266,2.9,2.9,89.2
L1,L106,ACACTO,6.5,M,M,33.17,1.15,2.04,0.89,2.35,2.54,2.45,4.69,4.69,0.01,1.49225,2.8,2.79,244.3
L1,L106,ACACTO,3.5,,b,9.62,1.15,2.04,0.89,2.35,2.54,2.45,4.69,4.69,0.01,1.49225,2.8,2.79,83.8
L1,L106,ACACTO,6.4,M,M,32.15,1.06,2.78,1.72,3.51,3.69,3.6,10.17,10.17,0.01,3.237975,11.7,11.64,239.0
L1,L106,ACACTO,5,,b,19.63,1.06,2.78,1.72,3.51,3.69,3.6,10.17,10.17,0.01,3.237975,11.7,11.64,164.1
L1,L106,ACACTO,4.9,,b,18.85,1.06,2.78,1.72,3.51,3.69,3.6,10.17,10.17,0.01,3.237975,11.7,11.64,158.7
L1,L106,ACACTO,3,,b,7.07,1.06,2.78,1.72,3.51,3.69,3.6,10.17,10.17,0.01,3.237975,11.7,11.64,57.0
L1,L106,ACACTO,12.4,M,M,120.70,1.52,3.38,1.86,5.11,5.45,5.28,21.88,21.86,0.02,6.962375,27.1,27.17,560.0
L1,L106,ACACTO,6.4,,b,32.15,1.52,3.38,1.86,5.11,5.45,5.28,21.88,21.86,0.02,6.962375,27.1,27.17,239.0
L1,L107,ACACTO,15.4,M,M,186.17,1.07,2.53,1.46,2.43,2,2.22,3.85,3.82,0.04,1.215,3.7,3.71,720.5
L1,L107,ACACTO,9.9,,b,76.94,1.07,2.53,1.46,2.43,2,2.22,3.85,3.82,0.04,1.215,3.7,3.71,426.2
L1,L107,ACACTO,10.5,M,M,86.55,1.05,2.96,1.91,3.98,4.28,4.13,13.39,13.37,0.02,4.2586,17.0,17,458.3
L1,L107,ACACTO,9.8,,b,75.39,1.05,2.96,1.91,3.98,4.28,4.13,13.39,13.37,0.02,4.2586,17.0,17,420.9
L1,L107,ACACTO,4.3,M,M,14.51,1.04,2.13,1.09,2.9,1.89,2.4,4.5,4.3,0.2,1.37025,3.1,3.14,126.6
L1,L107,ACACTO,4,,b,12.56,1.04,2.13,1.09,2.9,1.89,2.4,4.5,4.3,0.2,1.37025,3.1,3.14,110.6
L1,L109,ACACTO,4.3,M,M,14.51,0.86,1.8,0.94,1.6,1.79,1.7,2.26,2.25,0.01,0.716,1.4,1.41,126.6
L1,L109,ACACTO,2.9,,b,6.60,0.86,1.8,0.94,1.6,1.79,1.7,2.26,2.25,0.01,0.716,1.4,1.41,51.7
L1,L110,ACACTO,11.9,M,M,111.16,1.09,3.29,2.2,4.27,4.6,4.44,15.44,15.42,0.02,4.9105,22.6,22.64,533.3
L1,L110,ACACTO,8.9,,b,62.18,1.09,3.29,2.2,4.27,4.6,4.44,15.44,15.42,0.02,4.9105,22.6,22.64,372.7
L1,L110,ACACTO,9.6,,b,72.35,1.09,3.29,2.2,4.27,4.6,4.44,15.44,15.42,0.02,4.9105,22.6,22.64,410.2
L1,L110,ACACTO,7.4,M,M,42.99,1.06,3.35,2.29,3.4,3.1,3.25,8.29,8.27,0.02,2.635,12.6,12.65,292.5
L1,L110,ACACTO,5,,b,19.63,1.06,3.35,2.29,3.4,3.1,3.25,8.29,8.27,0.02,2.635,12.6,12.65,164.1
L1,L110,ACACTO,20,M,M,314.00,1.52,3.54,2.02,5.6,6.3,5.95,27.79,27.69,0.1,8.82,37.3,37.23,966.7
L1,L110,ACACTO,9.8,,b,75.39,1.52,3.54,2.02,5.6,6.3,5.95,27.79,27.69,0.1,8.82,37.3,37.23,420.9
L1,L110,ACACTO,9.5,,b,70.85,1.52,3.54,2.02,5.6,6.3,5.95,27.79,27.69,0.1,8.82,37.3,37.23,404.8
L1,L111,ACACTO,8,M,M,50.24,0.95,2.32,1.37,4.79,4.1,4.45,15.51,15.42,0.09,4.90975,14.1,14.05,324.6
L1,L111,ACACTO,5.3,,b,22.05,0.95,2.32,1.37,4.79,4.1,4.45,15.51,15.42,0.09,4.90975,14.1,14.05,180.1
L1,L111,ACACTO,3.7,M,M,10.75,0.89,1.52,0.63,1.45,2.11,1.78,2.49,2.4,0.09,0.764875,1.0,1.02,94.5
L1,L111,ACACTO,3.5,,b,9.62,0.89,1.52,0.63,1.45,2.11,1.78,2.49,2.4,0.09,0.764875,1.0,1.02,83.8
L1,L111,ACACTO,3.3,,b,8.55,0.89,1.52,0.63,1.45,2.11,1.78,2.49,2.4,0.09,0.764875,1.0,1.02,73.1
L1,L113,ACACTO,5.8,M,M,26.41,1.03,2.17,1.14,3.13,2.93,3.03,7.21,7.2,0.01,2.292725,5.5,5.47,206.9
L1,L113,ACACTO,3.7,,b,10.75,1.03,2.17,1.14,3.13,2.93,3.03,7.21,7.2,0.01,2.292725,5.5,5.47,94.5
L1,L113,ACACTO,2.5,,b,4.91,1.03,2.17,1.14,3.13,2.93,3.03,7.21,7.2,0.01,2.292725,5.5,5.47,30.3
L1,L126,ACACTO,19.3,M,M,292.40,0.74,4.24,3.5,6.89,5.96,6.43,32.41,32.24,0.17,10.2661,75.2,75.17,929.2
L1,L126,ACACTO,9.1,,b,65.01,0.74,4.24,3.5,6.89,5.96,6.43,32.41,32.24,0.17,10.2661,75.2,75.17,383.4
L1,L126,ACACTO,7,,b,38.47,0.74,4.24,3.5,6.89,5.96,6.43,32.41,32.24,0.17,10.2661,75.2,75.17,271.1
L1,L126,ACACTO,6.7,,b,35.24,0.74,4.24,3.5,6.89,5.96,6.43,32.41,32.24,0.17,10.2661,75.2,75.17,255.0
L1,L126,ACACTO,10.4,M,M,84.91,0.87,2.87,2,6.3,5.57,5.94,27.65,27.55,0.1,8.77275,36.7,36.65,453.0
L1,L126,ACACTO,6.3,,b,31.16,0.87,2.87,2,6.3,5.57,5.94,27.65,27.55,0.1,8.77275,36.7,36.65,233.6
L1,L126,ACACTO,7.4,,b,42.99,0.87,2.87,2,6.3,5.57,5.94,27.65,27.55,0.1,8.77275,36.7,36.65,292.5
L1,L126,ACACTO,12.7,M,M,126.61,0.8,2.47,1.67,4.82,5.97,5.4,22.85,22.59,0.26,7.19385,25.1,25.14,576.1
L1,L126,ACACTO,11.2,,b,98.47,0.8,2.47,1.67,4.82,5.97,5.4,22.85,22.59,0.26,7.19385,25.1,25.14,495.8
L1,L126,ACACTO,8.4,,b,55.39,0.8,2.47,1.67,4.82,5.97,5.4,22.85,22.59,0.26,7.19385,25.1,25.14,346.0
L1,L127,ACACTO,13.2,M,M,136.78,0.5,3.84,3.34,4.54,4.5,4.52,16.04,16.04,0,5.1075,35.7,35.73,602.8
L1,L127,ACACTO,5.2,M,M,21.23,0.6,2.71,2.11,3.46,4.29,3.88,11.79,11.65,0.14,3.71085,16.4,16.42,174.8
L1,L127,ACACTO,1.5,,b,1.77,0.6,2.71,2.11,3.46,4.29,3.88,11.79,11.65,0.14,3.71085,16.4,16.42,-23.2
L1,L127,ACACTO,2.7,,b,5.72,0.6,2.71,2.11,3.46,4.29,3.88,11.79,11.65,0.14,3.71085,16.4,16.42,41.0
L1,L127,ACACTO,2.6,,b,5.31,0.6,2.71,2.11,3.46,4.29,3.88,11.79,11.65,0.14,3.71085,16.4,16.42,35.6
L1,L127,ACACTO,2.4,,b,4.52,0.6,2.71,2.11,3.46,4.29,3.88,11.79,11.65,0.14,3.71085,16.4,16.42,24.9
L1,L127,ACACTO,4,,b,12.56,0.6,2.71,2.11,3.46,4.29,3.88,11.79,11.65,0.14,3.71085,16.4,16.42,110.6
L1,L127,ACACTO,4.4,,b,15.20,0.6,2.71,2.11,3.46,4.29,3.88,11.79,11.65,0.14,3.71085,16.4,16.42,132.0
L1,L127,ACACTO,13.3,M,M,138.86,1.22,2.93,1.71,6.2,5.37,5.79,26.27,26.14,0.14,8.3235,29.8,29.74,608.2
L1,L127,ACACTO,10.4,,b,84.91,1.22,2.93,1.71,6.2,5.37,5.79,26.27,26.14,0.14,8.3235,29.8,29.74,453.0
L1,L127,ACACTO,7.3,,b,41.83,1.22,2.93,1.71,6.2,5.37,5.79,26.27,26.14,0.14,8.3235,29.8,29.74,287.1
L1,L127,ACACTO,9.8,,b,75.39,1.22,2.93,1.71,6.2,5.37,5.79,26.27,26.14,0.14,8.3235,29.8,29.74,420.9
L1,L127,ACACTO,6.7,,b,35.24,1.22,2.93,1.71,6.2,5.37,5.79,26.27,26.14,0.14,8.3235,29.8,29.74,255.0
