PCORD CCA Data (Main),,,,,,,,,,,,,,,
217,plots,,,,,,,,,,,,,,
15,variables,,,,,,,,,,,,,,
,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q
Plot,ACACME,ACACET,ACACTO,ACACRE,COMMSP,LECIEU,ACACEL,ACACDR,ACACNI,ACACSE,CADAFA,BALAGL,Sansvo,Ipomki,OpunSt
L101,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0
L102,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0
L103,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
L104,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0
L105,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
L106,2,0,4,0,0,0,0,0,0,0,0,0,0,2,0
L107,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0
L109,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
L110,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
L111,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0
L112,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
L113,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
L114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L115,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1
L116,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
L117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L118,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L119,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L120,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L121,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L123,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1
L124,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
L125,4,8,0,0,0,0,0,0,0,0,0,0,4,0,0
L126,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
L127,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
L128,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L129,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0
L130,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
L131,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
L132,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
L133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L134,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0
L135,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0
L136,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
L137,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L138,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L139,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L140,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L141,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L142,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L143,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L145,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L146,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L147,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
L148,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0
L149,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L150,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
L151,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L152,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L153,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L154,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
L155,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
L156,12,1,2,0,0,0,0,0,1,0,0,1,0,0,0
L157,4,1,2,0,0,0,0,0,1,0,0,0,0,0,0
L158,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0
L159,6,1,1,0,0,0,0,0,0,0,0,1,0,0,0
L160,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L161,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
L162,4,3,1,0,0,0,0,0,0,0,0,0,1,0,1
L163,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0
L164,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0
L165,2,6,0,0,0,0,0,0,0,0,0,0,2,0,0
L166,5,1,2,0,0,0,0,0,0,0,0,0,4,0,0
L167,2,0,2,0,0,0,0,0,0,0,0,0,3,0,0
L168,4,2,2,0,0,0,0,0,0,0,0,0,4,0,0
L169,3,0,3,0,0,0,0,0,0,0,0,0,4,0,0
L170,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
L172,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
L173,3,1,4,0,0,0,0,0,0,0,0,0,2,0,0
L174,0,3,2,0,0,0,0,0,0,0,0,0,2,0,0
L175,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0
L201,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0
L202,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
L203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L204,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1
L205,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L206,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L207,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L208,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L209,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L210,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L211,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L212,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L213,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L214,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L215,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
L216,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L217,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L218,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L219,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
L220,1,1,4,0,0,0,0,0,0,0,0,0,1,1,0
L221,5,5,0,0,0,0,0,0,0,0,0,0,4,1,0
L222,11,0,0,0,0,0,0,0,0,0,0,0,4,1,0
L223,1,0,0,0,1,0,0,0,0,0,0,0,4,1,0
L224,3,0,0,0,0,0,0,0,0,0,0,0,4,1,0
L225,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0
L226,6,0,1,0,0,1,0,0,0,0,0,0,2,0,0
L227,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0
L228,6,2,0,0,0,0,0,0,0,0,0,0,2,0,0
L229,7,4,0,0,0,0,0,0,0,0,0,0,4,0,0
L230,13,4,0,0,0,0,0,0,0,0,0,0,4,0,0
L231,2,13,0,0,0,0,0,0,0,0,0,0,4,0,0
L232,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0
L233,15,1,1,0,0,0,0,0,0,0,0,0,2,0,0
L234,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
L235,3,0,2,0,0,0,0,0,0,0,0,0,3,0,0
L236,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0
L238,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
L239,2,0,5,0,0,0,0,0,0,0,0,0,0,0,1
L240,2,0,5,0,0,0,0,0,0,0,0,0,4,1,0
L241,0,1,4,0,0,0,0,0,0,0,0,0,2,0,0
L242,0,0,4,0,0,0,0,0,0,0,0,0,3,0,1
L243,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
L244,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0
L245,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0
L246,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0
L247,0,8,2,0,0,0,0,0,0,0,0,0,2,0,0
L248,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0
L249,2,4,0,0,0,0,0,0,0,0,0,1,2,0,0
L250,17,0,0,0,0,0,0,0,0,0,0,0,4,0,0
L251,12,6,0,0,0,0,0,0,0,0,0,0,4,0,0
L252,13,0,0,0,0,0,0,0,0,0,0,0,4,0,0
L253,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L254,4,4,1,0,0,0,0,0,0,0,0,0,4,0,0
L255,9,4,0,0,0,0,0,0,0,0,0,0,4,0,0
L256,7,3,0,0,0,0,0,0,0,0,0,0,4,0,0
L257,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0
L258,7,1,0,0,0,0,0,0,0,0,0,0,4,0,0
L259,15,3,0,0,0,0,0,0,0,0,0,0,4,0,0
L260,21,1,0,0,0,0,0,0,0,0,0,0,4,0,0
L261,11,3,0,1,0,0,0,0,0,0,0,0,2,0,0
L262,6,8,0,0,0,0,0,0,0,0,0,0,4,0,0
L263,5,0,0,0,0,4,0,0,0,0,0,0,2,0,0
L264,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0
L265,1,4,0,0,0,0,0,0,0,0,0,0,4,0,0
L266,2,3,2,0,0,0,0,0,0,0,0,0,4,0,1
L267,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0
L268,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0
L269,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0
L270,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
L271,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0
L272,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0
L273,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0
L274,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0
L301,6,0,0,0,0,1,0,1,0,0,0,0,4,0,0
L302,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0
L303,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0
L304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L305,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L306,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0
L307,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L308,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L309,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
L310,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L311,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L312,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
L313,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
L314,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
L315,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L316,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0
L317,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0
L318,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0
L319,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L320,1,3,0,0,0,0,0,0,0,0,0,0,4,0,0
L321,1,6,0,0,0,0,0,0,0,0,0,0,4,0,0
L322,4,4,1,0,0,0,0,0,0,0,0,0,2,0,0
L323,18,2,0,0,0,0,0,0,0,0,0,0,2,0,0
L324,16,1,0,0,0,0,0,0,0,0,0,0,4,0,0
L325,1,9,0,0,0,0,0,0,0,0,0,0,4,0,0
L326,1,7,1,0,0,0,0,0,0,0,0,0,3,0,0
L327,1,4,3,0,0,0,0,0,0,0,0,0,4,0,0
L328,2,1,7,0,0,0,0,0,0,0,0,0,4,0,0
L329,0,1,4,0,0,0,0,0,0,0,0,0,3,0,0
L330,2,1,2,0,0,0,0,0,0,0,0,0,4,0,0
L331,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
L332,3,2,0,0,0,0,0,0,0,0,0,0,3,0,0
L333,18,1,0,0,0,0,0,0,0,0,0,0,2,0,0
L334,6,1,0,0,0,0,0,0,0,0,0,0,3,0,0
L335,7,2,0,0,0,0,0,0,0,0,0,0,2,0,0
L336,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
L337,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0
L338,2,4,0,0,0,0,0,0,0,0,0,0,2,0,0
L339,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0
L340,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0
L341,11,0,0,0,0,0,0,0,0,0,1,0,3,0,0
L342,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
L343,17,1,0,0,0,0,0,0,0,0,0,0,1,0,0
L344,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0
L345,8,0,0,1,0,0,0,0,0,0,0,0,2,0,0
L346,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
L347,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0
L348,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0
L349,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0
L350,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0
L351,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L352,7,1,0,0,0,0,0,0,0,0,0,0,3,0,0
L353,6,1,0,0,0,0,0,0,0,0,0,0,3,0,0
L354,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0
L355,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
L356,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0
L357,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0
L358,12,6,1,0,0,0,0,0,0,0,0,0,3,0,0
L360,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
L361,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
L362,6,1,0,0,0,0,0,0,0,0,1,0,2,0,0
L363,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0
L364,5,0,5,0,0,0,0,0,0,0,0,0,2,0,0
L365,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
L366,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0
L367,6,6,5,0,0,0,0,0,0,0,0,0,2,0,0
L368,3,3,1,0,0,0,0,0,0,0,0,0,2,0,0
L369,0,0,16,0,0,0,0,0,0,0,0,1,2,0,0
L370,1,1,18,1,0,0,0,0,0,0,0,0,1,0,0
L371,1,0,6,0,0,0,0,0,0,0,0,2,1,0,0
L372,1,0,2,0,0,0,0,0,0,0,0,2,3,0,0
L373,0,9,1,0,0,0,0,0,0,0,0,2,0,0,0
L375,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
