CCA Data Second - Il Motiok,,,,,,,,,,,,,,
217,plots,,,,,,,,,,,,,
14,variables,,,,,,,,,,,,,
,q,q,q,q,q,q,q,q,q,q,q,q,q,q
Plot,soil text,Slope,Alt,Soil  pH,Tot. N,Tot. C,K,Ca,Mg,Mn,Co,Fe,Zn,Na
L101,4,2,1693,6.03,0.07,0.63,0.4,1.4,1.33,0.15,1,25.9,2.14,0.12
L102,4,3,1685,0,0,0,0,0,0,0,0,0,0,0
L103,4,3,1682,0,0,0,0,0,0,0,0,0,0,0
L104,4,3,1681,0,0,0,0,0,0,0,0,0,0,0
L105,4,3,1683,0,0,0,0,0,0,0,0,0,0,0
L106,4,3,1686,7.54,0.16,1.59,1.8,5.5,6.37,0.29,0.88,48.8,8.4,0.38
L107,5,2,1683,0,0,0,0,0,0,0,0,0,0,0
L109,1,1,1679,0,0,0,0,0,0,0,0,0,0,0
L110,5,1,1680,0,0,0,0,0,0,0,0,0,0,0
L111,1,1,1681,8.17,0.12,1.12,0.58,13.5,4.69,0.28,1.24,29.4,3.08,1.49
L112,4,2,1678,0,0,0,0,0,0,0,0,0,0,0
L113,5,2,1681,0,0,0,0,0,0,0,0,0,0,0
L114,1,3,1677,0,0,0,0,0,0,0,0,0,0,0
L115,1,2,1675,0,0,0,0,0,0,0,0,0,0,0
L116,1,3,1675,8.51,0.07,0.62,0.32,15.5,3.82,0.33,1.42,31.1,2.74,1.63
L117,1,3,1687,0,0,0,0,0,0,0,0,0,0,0
L118,1,3,1672,0,0,0,0,0,0,0,0,0,0,0
L119,1,3,1678,0,0,0,0,0,0,0,0,0,0,0
L120,1,2,1672,0,0,0,0,0,0,0,0,0,0,0
L121,1,2,1680,8.31,0.12,1.17,0.34,15.9,3.75,0.16,1.19,19.9,3.18,1.71
L123,4,2,1679,0,0,0,0,0,0,0,0,0,0,0
L124,4,2,1681,0,0,0,0,0,0,0,0,0,0,0
L125,4,2,1681,0,0,0,0,0,0,0,0,0,0,0
L126,4,1,1670,6.24,0.09,0.91,0.84,5.7,5.37,0.25,1.52,37.6,1.91,0.5
L127,1,1,1682,0,0,0,0,0,0,0,0,0,0,0
L128,4,2,1687,0,0,0,0,0,0,0,0,0,0,0
L129,4,2,1681,0,0,0,0,0,0,0,0,0,0,0
L130,4,2,1680,0,0,0,0,0,0,0,0,0,0,0
L131,1,2,1678,7.87,0.11,1.04,0.58,7.7,4.72,0.3,1.44,34.4,2.42,0.72
L132,1,2,1675,0,0,0,0,0,0,0,0,0,0,0
L133,5,2,1671,0,0,0,0,0,0,0,0,0,0,0
L134,4,2,1672,0,0,0,0,0,0,0,0,0,0,0
L135,1,2,1675,0,0,0,0,0,0,0,0,0,0,0
L136,5,2,1674,8.49,0.1,0.95,0.32,13.3,4.04,0.06,1.33,30.6,2.97,1.41
L137,1,2,1681,0,0,0,0,0,0,0,0,0,0,0
L138,1,2,1678,0,0,0,0,0,0,0,0,0,0,0
L139,5,2,1677,0,0,0,0,0,0,0,0,0,0,0
L140,1,1,1679,0,0,0,0,0,0,0,0,0,0,0
L141,4,2,1675,6.13,0.09,0.85,0.48,3.9,3.36,0.34,1.63,27.6,1.5,0.38
L142,4,3,1670,0,0,0,0,0,0,0,0,0,0,0
L143,4,3,1666,0,0,0,0,0,0,0,0,0,0,0
L145,4,3,1669,0,0,0,0,0,0,0,0,0,0,0
