S/Transect,Quadra,SpCode,DKH,code,Base stems,Basal area (sq cm),Hmin,Hmax,CanDepth,Crwn D1,Crwn D2,CrwnDiam,slope,Soiltex,Elev (m),Trcov (%),Shcov (%),Hcov (%),Bare (%),CanArea =  ?r² ,CanArea     = ?D1D2/4 ,Diff,CanVol 
L1,L101,ACACME,10.6,M,M,88.20,1.22,1.43,0.21,6.7,6.2,6.45,2,4,1693,3,85,40,60,32.66,32.61,0.05,4.63
L1,L101,ACACME,9.9,,b,76.94,1.22,1.43,0.21,6.7,6.2,6.45,2,4,1693,3,85,40,60,32.66,32.61,0.05,4.63
L1,L101,ACACME,5.7,,b,25.50,1.22,1.43,0.21,6.7,6.2,6.45,2,4,1693,3,85,40,60,32.66,32.61,0.05,4.63
L1,L101,ACACME,6.3,,b,31.16,1.22,1.43,0.21,6.7,6.2,6.45,2,4,1693,3,85,40,60,32.66,32.61,0.05,4.63
L1,L101,ACACME,4.3,,b,14.51,1.22,1.43,0.21,6.7,6.2,6.45,2,4,1693,3,85,40,60,32.66,32.61,0.05,4.63
L1,L101,ACACME,7.2,,b,40.69,1.22,1.43,0.21,6.7,6.2,6.45,2,4,1693,3,85,40,60,32.66,32.61,0.05,4.63
L1,L101,ACACME,4.2,,b,13.85,1.22,1.43,0.21,6.7,6.2,6.45,2,4,1693,3,85,40,60,32.66,32.61,0.05,4.63
L1,L101,ACACME,10.2,,b,81.67,1.22,1.43,0.21,6.7,6.2,6.45,2,4,1693,3,85,40,60,32.66,32.61,0.05,4.63
L1,L101,ACACME,4.2,,b,13.85,1.22,1.43,0.21,6.7,6.2,6.45,2,4,1693,3,85,40,60,32.66,32.61,0.05,4.63
L1,L101,ACACME,5.5,,b,23.75,1.22,1.43,0.21,6.7,6.2,6.45,2,4,1693,3,85,40,60,32.66,32.61,0.05,4.63
L1,L101,ACACME,6.5,,b,33.17,1.22,1.43,0.21,6.7,6.2,6.45,2,4,1693,3,85,40,60,32.66,32.61,0.05,4.63
L1,L101,ACACME,9.7,M,M,73.86,0.82,1,0.18,2.9,2.3,2.6,2,4,1693,3,85,40,60,5.31,5.24,0.07,0.62
L1,L101,ACACME,8.3,,b,54.08,0.82,1,0.18,2.9,2.3,2.6,2,4,1693,3,85,40,60,5.31,5.24,0.07,0.62
L1,L101,ACACME,6.7,,b,35.24,0.82,1,0.18,2.9,2.3,2.6,2,4,1693,3,85,40,60,5.31,5.24,0.07,0.62
L1,L101,ACACET,3.5,M,M,9.62,0.52,1,0.48,1.7,1.3,1.5,2,4,1693,3,85,40,60,1.77,1.73,0.03,0.56
L1,L102,ACACME,11.3,M,M,100.24,1.4,2.1,0.7,0.9,1.6,1.25,3,4,1685,3,49,15,75,1.23,1.13,0.1,0.53
L1,L102,ACACME,5,,b,19.63,1.4,2.1,0.7,0.9,1.6,1.25,3,4,1685,3,49,15,75,1.23,1.13,0.1,0.53
L1,L102,ACACME,8.6,M,M,58.06,1.15,3.57,2.42,4.11,3.4,3.76,3,4,1685,3,49,15,75,11.07,10.97,0.1,17.68
L1,L102,ACACME,5,,b,19.63,1.15,3.57,2.42,4.11,3.4,3.76,3,4,1685,3,49,15,75,11.07,10.97,0.1,17.68
L1,L102,ACACME,7,,b,38.47,1.15,3.57,2.42,4.11,3.4,3.76,3,4,1685,3,49,15,75,11.07,10.97,0.1,17.68
L1,L102,ACACME,8.3,,b,54.08,1.15,3.57,2.42,4.11,3.4,3.76,3,4,1685,3,49,15,75,11.07,10.97,0.1,17.68
L1,L102,ACACET,10.5,M,M,86.55,0.99,2.53,1.54,3.1,2.3,2.7,3,4,1685,3,49,15,75,5.72,5.6,0.13,5.75
L1,L102,ACACET,6.3,,b,31.16,0.99,2.53,1.54,3.1,2.3,2.7,3,4,1685,3,49,15,75,5.72,5.6,0.13,5.75
L1,L102,ACACET,5.5,,b,23.75,0.99,2.53,1.54,3.1,2.3,2.7,3,4,1685,3,49,15,75,5.72,5.6,0.13,5.75
L1,L103,ACACME,8,M,M,50.24,1.06,4.33,3.27,7.9,6.3,7.1,3,4,1682,2,18,5,95,39.57,39.07,0.5,85.15
L1,L103,ACACME,5,,b,19.63,1.06,4.33,3.27,7.9,6.3,7.1,3,4,1682,2,18,5,95,39.57,39.07,0.5,85.15
L1,L103,ACACME,7.2,,b,40.69,1.06,4.33,3.27,7.9,6.3,7.1,3,4,1682,2,18,5,95,39.57,39.07,0.5,85.15
L1,L103,ACACME,7,,b,38.47,1.06,4.33,3.27,7.9,6.3,7.1,3,4,1682,2,18,5,95,39.57,39.07,0.5,85.15
L1,L103,ACACME,7.2,,b,40.69,1.06,4.33,3.27,7.9,6.3,7.1,3,4,1682,2,18,5,95,39.57,39.07,0.5,85.15
L1,L103,ACACME,5.5,,b,23.75,1.06,4.33,3.27,7.9,6.3,7.1,3,4,1682,2,18,5,95,39.57,39.07,0.5,85.15
L1,L103,ACACME,5.4,,b,22.89,1.06,4.33,3.27,7.9,6.3,7.1,3,4,1682,2,18,5,95,39.57,39.07,0.5,85.15
L1,L103,ACACME,5.2,,b,21.23,1.06,4.33,3.27,7.9,6.3,7.1,3,4,1682,2,18,5,95,39.57,39.07,0.5,85.15
L1,L103,ACACME,6.8,,b,36.30,1.06,4.33,3.27,7.9,6.3,7.1,3,4,1682,2,18,5,95,39.57,39.07,0.5,85.15
L1,L103,ACACME,5.6,,b,24.62,1.06,4.33,3.27,7.9,6.3,7.1,3,4,1682,2,18,5,95,39.57,39.07,0.5,85.15
L1,L103,ACACME,4,,b,12.56,1.06,4.33,3.27,7.9,6.3,7.1,3,4,1682,2,18,5,95,39.57,39.07,0.5,85.15
L1,L103,ACACME,6.3,,b,31.16,1.06,4.33,3.27,7.9,6.3,7.1,3,4,1682,2,18,5,95,39.57,39.07,0.5,85.15
L1,L103,ACACME,4.6,,b,16.61,1.06,4.33,3.27,7.9,6.3,7.1,3,4,1682,2,18,5,95,39.57,39.07,0.5,85.15
L1,L103,ACACET,12.5,M,M,122.66,1.06,4.48,3.42,5.8,6,5.9,3,4,1682,2,18,5,95,27.33,27.32,0.01,62.32
L1,L103,ACACET,11,,b,94.99,1.06,4.48,3.42,5.8,6,5.9,3,4,1682,2,18,5,95,27.33,27.32,0.01,62.32
L1,L104,ACACME,3.3,M,M,8.55,1.1,1.8,0.7,1.7,1.66,1.68,3,4,1681,3,50,60,40,2.22,2.22,0,1.03
L1,L104,ACACME,7.2,M,M,40.69,0.91,3.14,2.23,3.5,3.4,3.45,3,4,1681,3,50,60,40,9.34,9.34,0,13.89
L1,L104,ACACME,4.7,,b,17.34,0.91,3.14,2.23,3.5,3.4,3.45,3,4,1681,3,50,60,40,9.34,9.34,0,13.89
L1,L104,ACACME,2.6,,b,5.31,0.91,3.14,2.23,3.5,3.4,3.45,3,4,1681,3,50,60,40,9.34,9.34,0,13.89
L1,L104,ACACET,13.9,M,M,151.67,0.95,2.59,1.64,2.9,1.67,2.29,3,4,1681,3,50,60,40,4.1,3.8,0.3,4.16
L1,L104,ACACET,12.6,,b,124.63,0.95,2.59,1.64,2.9,1.67,2.29,3,4,1681,3,50,60,40,4.1,3.8,0.3,4.16
L1,L105,ACACTO,8,M,M,50.24,1.09,2.87,1.78,3.56,3.36,3.46,3,4,1683,1,8,50,50,9.4,9.39,0.01,11.12
L1,L105,ACACTO,5,,b,19.63,1.09,2.87,1.78,3.56,3.36,3.46,3,4,1683,1,8,50,50,9.4,9.39,0.01,11.12
L1,L105,ACACTO,6.5,,b,33.17,1.09,2.87,1.78,3.56,3.36,3.46,3,4,1683,1,8,50,50,9.4,9.39,0.01,11.12
L1,L105,ACACTO,4.3,,b,14.51,1.09,2.87,1.78,3.56,3.36,3.46,3,4,1683,1,8,50,50,9.4,9.39,0.01,11.12
L1,L106,ACACTO,5,M,M,19.63,1.06,2.41,1.35,2.36,1.74,2.05,3,4,1686,6,22,60,40,3.3,3.22,0.08,2.9
L1,L106,ACACTO,4,,b,12.56,1.06,2.41,1.35,2.36,1.74,2.05,3,4,1686,6,22,60,40,3.3,3.22,0.08,2.9
L1,L106,ACACTO,3.6,,b,10.17,1.06,2.41,1.35,2.36,1.74,2.05,3,4,1686,6,22,60,40,3.3,3.22,0.08,2.9
L1,L106,ACACTO,6.5,M,M,33.17,1.15,2.04,0.89,2.35,2.54,2.45,3,4,1686,6,22,60,40,4.69,4.69,0.01,2.79
L1,L106,ACACTO,3.5,,b,9.62,1.15,2.04,0.89,2.35,2.54,2.45,3,4,1686,6,22,60,40,4.69,4.69,0.01,2.79
L1,L106,ACACME,8.4,M,M,55.39,1.55,3.51,1.96,3.9,3.1,3.5,3,4,1686,6,22,60,40,9.62,9.49,0.13,12.38
L1,L106,ACACME,8,,b,50.24,1.55,3.51,1.96,3.9,3.1,3.5,3,4,1686,6,22,60,40,9.62,9.49,0.13,12.38
L1,L106,ACACME,3.6,,b,10.17,1.55,3.51,1.96,3.9,3.1,3.5,3,4,1686,6,22,60,40,9.62,9.49,0.13,12.38
L1,L106,ACACME,3.5,M,M,9.62,1.06,2.62,1.56,2.46,1.56,2.01,3,4,1686,6,22,60,40,3.17,3.01,0.16,3.14
L1,L106,ACACTO,6.4,M,M,32.15,1.06,2.78,1.72,3.51,3.69,3.6,3,4,1686,6,22,60,40,10.17,10.17,0.01,11.64
L1,L106,ACACTO,5,,b,19.63,1.06,2.78,1.72,3.51,3.69,3.6,3,4,1686,6,22,60,40,10.17,10.17,0.01,11.64
L1,L106,ACACTO,4.9,,b,18.85,1.06,2.78,1.72,3.51,3.69,3.6,3,4,1686,6,22,60,40,10.17,10.17,0.01,11.64
L1,L106,ACACTO,3,,b,7.07,1.06,2.78,1.72,3.51,3.69,3.6,3,4,1686,6,22,60,40,10.17,10.17,0.01,11.64
L1,L106,ACACTO,12.4,M,M,120.70,1.52,3.38,1.86,5.11,5.45,5.28,3,4,1686,6,22,60,40,21.88,21.86,0.02,27.17
L1,L106,ACACTO,6.4,,b,32.15,1.52,3.38,1.86,5.11,5.45,5.28,3,4,1686,6,22,60,40,21.88,21.86,0.02,27.17
L1,L107,ACACTO,15.4,M,M,186.17,1.07,2.53,1.46,2.43,2,2.22,3,4,1686,6,22,60,40,3.85,3.82,0.04,3.71
L1,L107,ACACTO,9.9,,b,76.94,1.07,2.53,1.46,2.43,2,2.22,3,4,1686,6,22,60,40,3.85,3.82,0.04,3.71
L1,L107,ACACTO,10.5,M,M,86.55,1.05,2.96,1.91,3.98,4.28,4.13,3,4,1686,6,22,60,40,13.39,13.37,0.02,17
L1,L107,ACACTO,9.8,,b,75.39,1.05,2.96,1.91,3.98,4.28,4.13,3,4,1686,6,22,60,40,13.39,13.37,0.02,17
L1,L107,ACACTO,4.3,M,M,14.51,1.04,2.13,1.09,2.9,1.89,2.4,3,4,1686,6,22,60,40,4.5,4.3,0.2,3.14
L1,L107,ACACTO,4,,b,12.56,1.04,2.13,1.09,2.9,1.89,2.4,3,4,1686,6,22,60,40,4.5,4.3,0.2,3.14
L1,L109,ACACTO,4.3,M,M,14.51,0.86,1.8,0.94,1.6,1.79,1.7,1,1,1679,1,6,80,20,2.26,2.25,0.01,1.41
L1,L109,ACACTO,2.9,,b,6.60,0.86,1.8,0.94,1.6,1.79,1.7,1,1,1679,1,6,80,20,2.26,2.25,0.01,1.41
L1,L110,ACACTO,11.9,M,M,111.16,1.09,3.29,2.2,4.27,4.6,4.44,1,5,1680,3,0,60,40,15.44,15.42,0.02,22.64
L1,L110,ACACTO,8.9,,b,62.18,1.09,3.29,2.2,4.27,4.6,4.44,1,5,1680,3,0,60,40,15.44,15.42,0.02,22.64
L1,L110,ACACTO,9.6,,b,72.35,1.09,3.29,2.2,4.27,4.6,4.44,1,5,1680,3,0,60,40,15.44,15.42,0.02,22.64
L1,L110,ACACTO,7.4,M,M,42.99,1.06,3.35,2.29,3.4,3.1,3.25,1,5,1680,3,0,60,40,8.29,8.27,0.02,12.65
L1,L110,ACACTO,5,,b,19.63,1.06,3.35,2.29,3.4,3.1,3.25,1,5,1680,3,0,60,40,8.29,8.27,0.02,12.65
L1,L110,ACACTO,20,M,M,314.00,1.52,3.54,2.02,5.6,6.3,5.95,1,5,1680,3,0,60,40,27.79,27.69,0.1,37.23
L1,L110,ACACTO,9.8,,b,75.39,1.52,3.54,2.02,5.6,6.3,5.95,1,5,1680,3,0,60,40,27.79,27.69,0.1,37.23
L1,L110,ACACTO,9.5,,b,70.85,1.52,3.54,2.02,5.6,6.3,5.95,1,5,1680,3,0,60,40,27.79,27.69,0.1,37.23
L1,L111,ACACTO,8,M,M,50.24,0.95,2.32,1.37,4.79,4.1,4.45,1,5,1680,3,0,60,40,15.51,15.42,0.09,14.05
L1,L111,ACACTO,5.3,,b,22.05,0.95,2.32,1.37,4.79,4.1,4.45,1,5,1680,3,0,60,40,15.51,15.42,0.09,14.05
L1,L111,ACACTO,3.7,M,M,10.75,0.89,1.52,0.63,1.45,2.11,1.78,1,5,1680,3,0,60,40,2.49,2.4,0.09,1.02
L1,L111,ACACTO,3.5,,b,9.62,0.89,1.52,0.63,1.45,2.11,1.78,1,5,1680,3,0,60,40,2.49,2.4,0.09,1.02
L1,L111,ACACTO,3.3,,b,8.55,0.89,1.52,0.63,1.45,2.11,1.78,1,5,1680,3,0,60,40,2.49,2.4,0.09,1.02
L1,L112,0,0,0,0,0.00,0,0,0,0,0,0,,5,1680,0,0,60,40,0,0,0,0
