Piospheric effect: Tree density against distance away from homestead,,,,,,,,,
,Dis (Km),TR1,TR2,TR3,AV,,,,
1,0.04,3,2,8,4,,,,
2,0.08,3,1,6,3,,,,
3,0.12,2,1,7,3,,,,
4,0.16,3,4,10,6,,,,
5,0.2,1,5,6,4,,,,
6,0.24,6,5,16,9,,,,
7,0.28,3,4,7,5,,,,
8,0.32,1,5,7,4,,,,
9,0.36,1,3,3,2,,,,
10,0.4,3,1,6,3,,,,
11,0.44,2,2,5,3,,,,
12,0.48,0,5,6,4,,,,
13,0.52,1,2,2,2,,,,
14,0.56,1,1,5,2,,,,
15,0.6,4,2,4,3,,,,
16,0.64,4,1,15,7,,,,
17,0.68,1,3,32,12,,,,
18,0.72,4,7,10,7,,,,
19,0.76,5,3,19,9,,,,
20,0.8,6,9,13,9,,,,
21,0.84,5,10,7,7,,,,
22,0.88,0,11,9,7,,,,
23,0.92,10,2,20,11,,,,
24,0.96,22,3,17,14,,,,
25,1,12,7,10,10,,,,
26,1.04,4,13,9,9,,,,
27,1.08,3,8,8,6,,,,
28,1.12,5,8,10,8,,,,
29,1.16,4,11,5,7,,,,
30,1.2,4,17,5,9,,,,
31,1.24,3,15,0,6,,,,
32,1.28,4,13,5,7,,,,
33,1.32,1,28,19,16,,,,
34,1.36,8,0,7,5,,,,
35,1.4,8,5,9,7,,,,
36,1.44,6,9,5,7,,,,
37,1.48,13,0,5,6,,,,
38,1.52,9,2,6,6,,,,
39,1.56,6,7,14,9,,,,
40,1.6,8,7,9,8,,,,
41,1.64,6,5,12,8,,,,
42,1.68,5,5,4,5,,,,
43,1.72,9,1,18,9,,,,
44,1.76,8,2,12,7,,,,
45,1.8,7,2,9,6,,,,
46,1.84,6,11,5,7,,,,
47,1.88,7,10,9,9,,,,
48,1.92,5,11,9,8,,,,
49,1.96,3,7,14,8,,,,
50,2,5,17,6,9,,,,
51,2.04,5,18,4,9,,,,
52,2.08,5,13,8,9,,,,
53,2.12,6,14,7,9,,,,
54,2.16,4,9,4,6,,,,
55,2.2,12,13,0,8,,,,
56,2.24,18,10,7,12,,,,
57,2.28,8,6,9,8,,,,
58,2.32,7,8,19,11,,,,
59,2.36,9,18,0,9,,,,
60,2.4,6,22,1,10,,,,
61,2.44,6,15,2,8,,,,
62,2.48,8,14,8,10,,,,
63,2.52,6,10,13,10,,,,
64,2.56,13,2,10,8,,,,
65,2.6,8,5,6,6,,,,
66,2.64,8,7,10,8,,,,
67,2.68,4,3,17,8,,,,
68,2.72,8,10,7,8,,,,
69,2.76,6,9,17,11,,,,
70,2.8,0,10,21,10,,,,
71,2.84,5,7,9,7,,,,
72,2.88,6,8,5,6,,,,
73,2.92,8,8,12,9,,,,
74,2.96,5,10,0,5,,,,
75,3,0,0,2,1,,,,
