Piospheric effect - Percent bare ground against distance away from homesteads and towards the watering point,,,,,
Quadrats,Dis,TR1,TR2,TR3,AV
1,0.04,60,40,20,40.0
2,0.08,75,30,20,41.7
3,0.12,95,20,20,45.0
4,0.16,40,30,30,33.3
5,0.2,50,40,40,43.3
6,0.24,40,40,60,46.7
7,0.28,10,60,15,28.3
8,0.32,5,30,20,18.3
9,0.36,20,60,80,53.3
10,0.4,40,40,20,33.3
11,0.44,20,30,20,23.3
12,0.48,30,20,30,26.7
13,0.52,20,30,80,43.3
14,0.56,10,60,80,50.0
15,0.6,10,20,70,33.3
16,0.64,30,30,80,46.7
17,0.68,10,20,80,36.7
18,0.72,10,30,10,16.7
19,0.76,5,40,20,21.7
20,0.8,20,60,60,46.7
21,0.84,10,60,30,33.3
22,0.88,30,30,20,26.7
23,0.92,60,20,30,36.7
24,0.96,40,30,20,30.0
25,1,30,40,15,28.3
26,1.04,10,20,30,20.0
27,1.08,5,10,60,25.0
28,1.12,20,50,30,33.3
29,1.16,10,40,30,26.7
30,1.2,60,70,20,50.0
31,1.24,60,20,40,40.0
32,1.28,20,30,10,20.0
33,1.32,10,20,10,13.3
34,1.36,20,20,40,26.7
35,1.4,5,15,20,13.3
36,1.44,40,5,30,25.0
37,1.48,0,5,30,11.7
38,1.52,5,5,70,26.7
39,1.56,25,5,70,33.3
40,1.6,5,5,25,11.7
41,1.64,5,5,40,16.7
42,1.68,20,20,15,18.3
43,1.72,10,10,60,26.7
44,1.76,10,5,35,16.7
45,1.8,10,20,25,18.3
46,1.84,5,5,60,23.3
47,1.88,5,15,40,20.0
48,1.92,5,5,60,23.3
49,1.96,5,15,40,20.0
50,2,5,50,30,28.3
51,2.04,20,0,60,26.7
52,2.08,10,0,20,10.0
53,2.12,10,20,25,18.3
54,2.16,30,5,30,21.7
55,2.2,5,0,40,15.0
56,2.24,5,5,20,10.0
57,2.28,25,10,70,35.0
58,2.32,10,40,20,23.3
59,2.36,15,20,10,15.0
60,2.4,5,30,30,21.7
61,2.44,10,80,10,33.3
62,2.48,5,20,30,18.3
63,2.52,5,20,30,18.3
64,2.56,10,20,20,16.7
65,2.6,20,20,40,26.7
66,2.64,5,20,40,21.7
67,2.68,5,20,40,21.7
68,2.72,10,10,70,30.0
69,2.76,5,60,40,35.0
70,2.8,0,70,40,36.7
71,2.84,5,10,80,31.7
72,2.88,70,20,40,43.3
73,2.92,40,70,10,40.0
74,2.96,10,70,0,26.7
75,3,50,70,0,40.0
