Il Motiok Group Ranch,,,,,,,,,,,,,,,,Mpala Group Ranch,,,,,,,,,,,,,,
Plot,Soil  pH,Tot. N,Tot. C,P(Meh) ,P (Ols),K,Ca,Mg,Mn,Co,Fe,Zn,Na,CEC,,Plot,Soil  pH,Tot. N,Tot. C,P(Meh) ,P (Ols),K,Ca,Mg,Mn,Co,Fe,Zn,Na,CEC
LT101,6.03,0.07,0.63,75,,0.40,1.4,1.33,0.15,1.00,25.9,2.14,0.12,,,MT101,6.43,0.07,1.51,65,,1.96,6.1,4.59,0.24,1.64,60.1,4.05,0.42,
LT102,7.54,0.16,1.59,,2,1.80,5.5,6.37,0.29,0.88,48.8,8.40,0.38,0.69,,MT102,6.02,0.16,1.53,20,,0.98,4.3,4.63,0.37,1.64,24.9,3.17,0.38,
LT103,8.17,0.12,1.12,,0.1,0.58,13.5,4.69,0.28,1.24,29.4,3.08,1.49,0.82,,MT103,5.80,0.12,0.79,15,,0.86,2.7,4.28,0.47,1.37,23.0,2.67,0.20,
LT104,8.51,0.07,0.62,,0.2,0.32,15.5,3.82,0.33,1.42,31.1,2.74,1.63,0.73,,MT104,5.88,0.07,0.66,15,,0.60,2.0,3.44,0.39,1.41,33.0,3.66,0.18,
LT105,8.31,0.12,1.17,,0.1,0.34,15.9,3.75,0.16,1.19,19.9,3.18,1.71,0.69,,MT105,6.15,0.12,1.14,30,,1.00,2.7,4.50,0.48,1.51,122.0,3.86,0.18,
LT106,6.24,0.09,0.91,30,,0.84,5.7,5.37,0.25,1.52,37.6,1.91,0.50,,,MT106,5.99,0.09,0.77,10,,0.48,5.5,3.36,0.18,1.47,22.2,1.80,0.54,
LT107,7.87,0.11,1.04,,0.1,0.58,7.7,4.72,0.30,1.44,34.4,2.42,0.72,0.44,,MT107,5.92,0.11,0.84,10,,0.66,2.2,3.57,0.29,1.44,28.7,2.96,0.20,
LT108,8.49,0.10,0.95,,0.1,0.32,13.3,4.04,0.06,1.33,30.6,2.97,1.41,0.72,,MT108,6.15,0.10,0.73,15,,0.48,2.0,3.04,0.29,1.48,27.7,2.58,0.12,
LT109,6.13,0.09,0.85,30,,0.48,3.9,3.36,0.34,1.63,27.6,1.50,0.38,,,MT109,6.01,0.09,0.86,35,,0.62,2.0,3.77,0.38,1.48,31.1,3.34,0.12,
LT110,6.38,0.10,0.93,20,,0.56,2.9,4.00,0.30,1.87,37.9,1.56,0.26,,,MT110,7.34,0.10,1.40,,0.1,1.20,3.5,5.73,0.50,1.54,36.1,3.84,0.22,0.29
LT111,7.70,0.07,0.70,,0.2,0.42,9.7,4.71,0.37,1.56,49.2,1.71,1.00,0.35,,MT111,6.84,0.07,0.77,15,,0.66,2.2,6.24,0.51,1.75,43.3,2.20,0.18,
LT112,7.56,0.09,0.83,,0.1,0.50,4.5,4.99,0.20,1.53,33.1,2.05,0.44,0.43,,MT112,6.21,0.09,1.72,15,,1.04,2.7,5.92,0.69,1.54,51.1,3.16,0.20,
LT113,6.52,0.11,1.05,30,,0.50,2.0,3.77,0.19,1.37,31.2,1.95,0.18,,,MT113,7.35,0.11,1.18,,0.1,0.68,17.1,7.19,0.41,1.25,57.8,2.06,1.79,0.08
LT114,6.65,0.08,0.78,50,,0.80,2.4,3.44,0.19,1.34,33.5,3.15,0.16,,,MT114,6.53,0.08,1.30,40,,0.96,12.9,7.49,0.37,1.67,60.1,3.07,1.35,
LT115,6.08,0.11,1.08,35,,0.68,2.2,3.11,0.20,1.46,28.9,2.39,0.16,,,MT115,6.78,0.11,1.54,35,,0.90,12.9,7.49,0.36,3.93,13.3,18.2,1.31,
LT201,7.20,0.12,1.12,,0.2,0.52,5.3,5.50,0.32,1.78,14.2,7.25,0.54,0.15,,MT201,6.09,0.12,0.97,20,,0.92,2.7,3.84,0.29,6.53,124,5.73,0.20,
LT202,8.22,0.18,1.80,,0.5,0.46,8.9,3.73,0.12,1.57,54.4,15.4,0.90,0.77,,MT202,5.69,0.18,0.95,10,,0.60,2.0,3.71,0.21,1.54,23.8,3.28,0.16,
LT203,8.58,0.11,1.11,,0.3,0.24,16.9,2.07,0.06,1.63,112,6.31,1.82,0.54,,MT203,6.24,0.11,0.88,60,,0.42,2.2,2.80,0.48,1.31,31.9,2.69,0.12,
LT204,8.22,0.12,1.16,,0.3,1.14,9.7,3.99,0.06,4.33,59.4,5.00,0.98,0.71,,MT204,5.44,0.12,0.77,35,,0.56,1.2,3.44,0.46,1.70,20.9,2.66,0.12,
LT205,6.87,0.10,0.93,40,,0.78,3.9,2.77,0.47,1.81,48.6,5.91,0.38,,,MT205,6.85,0.10,1.57,30,,0.84,4.1,5.49,0.36,1.60,28.8,3.67,0.40,
LT206,5.76,0.11,1.06,25,,0.56,2.4,2.46,0.37,1.92,56.8,13.3,0.20,,,MT206,6.41,0.11,1.25,60,,0.62,3.3,5.53,0.75,2.00,49.9,3.65,0.28,
LT207,5.82,0.08,0.81,30,,0.90,2.7,1.38,0.35,1.92,51.1,11.1,0.22,,,MT207,5.21,0.08,0.69,65,,0.38,1.4,3.67,0.44,1.53,34.1,2.44,0.08,
LT208,5.70,0.06,0.54,25,,0.60,2.0,1.21,0.37,1.80,21.7,11.2,0.18,,,MT208,5.44,0.06,0.62,15,,0.60,2.0,3.47,0.33,1.94,24.4,2.60,0.12,
LT209,5.55,0.07,0.67,20,,0.80,2.9,1.99,0.52,1.76,17.4,7.24,0.24,,,MT209,5.59,0.07,0.90,10,,0.46,1.6,3.83,0.36,1.00,13.4,1.51,0.10,
LT210,5.67,0.10,0.95,15,,0.74,2.9,1.78,0.28,1.84,13.9,2.97,0.26,,,MT210,5.58,0.10,0.86,10,,0.32,1.2,2.63,0.51,1.57,34.9,2.34,0.08,
LT211,6.17,0.08,0.80,15,,0.64,2.5,2.69,0.30,2.41,20.1,23.3,0.20,,,MT211,7.92,0.08,1.31,,0.1,0.38,2.9,6.43,0.52,1.54,23.4,2.75,0.24,0.13
LT212,5.82,0.05,0.43,15,,0.62,2.2,1.90,0.26,1.88,21.3,21.8,0.19,,,MT212,6.54,0.05,1.46,20,,0.78,11.3,8.42,0.45,1.31,48.5,2.31,1.14,
LT213,5.50,0.07,0.69,20,,0.44,2.0,1.66,0.62,1.53,129,21.1,0.16,,,MT213,6.68,0.07,0.99,30,,0.80,11.9,7.98,0.50,1.48,58.7,3.12,1.18,
LT214,6.03,0.08,0.76,20,,0.58,3.7,3.90,0.43,1.93,115,22.7,0.38,,,MT214,7.20,0.08,1.10,,0.1,0.76,15.1,7.95,0.71,1.47,26.3,2.81,1.53,0.52
LT215,8.37,0.05,0.49,,0.2,0.48,2.9,3.02,0.41,1.88,54.8,6.46,0.30,0.63,,MT215,7.11,0.05,1.05,,0.1,0.68,15.4,7.64,0.42,1.43,41.0,2.12,1.57,0.11
LT301,NA,,,,,,,,,,,,,,,MT301,5.43,0.04,0.79,20,,0.60,2.2,4.42,0.53,1.65,31.5,2.40,0.16,
LT302,NA,,,,,,,,,,,,,,,MT302,5.95,0.10,1.01,20,,0.64,2.2,5.13,0.38,1.75,32.3,4.11,0.14,
LT303,NA,,,,,,,,,,,,,,,MT303,5.76,0.09,0.75,15,,0.52,3.7,3.36,0.31,1.55,23.9,2.14,0.10,
LT304,NA,,,,,,,,,,,,,,,MT304,6.29,0.06,0.90,25,,0.46,2.0,4.14,0.48,1.77,21.1,2.41,0.12,
LT305,NA,,,,,,,,,,,,,,,MT305,6.03,0.07,0.51,15,,0.46,2.0,3.78,0.47,1.59,24.1,1.94,0.12,
LT306,5.94,0.04,0.39,150,,0.78,2.9,1.15,0.38,2.91,55.8,28.0,0.26,,,MT306,5.81,0.06,0.62,15,,0.26,1.4,4.24,0.30,1.97,30.1,2.21,0.10,
LT307,5.69,0.10,0.96,45,,0.78,2.7,1.48,0.32,1.85,61.1,20.6,0.26,,,MT307,6.21,0.06,0.75,85,,0.56,2.0,5.76,0.59,2.08,32.2,2.84,0.14,
LT308,5.75,0.09,0.83,20,,0.62,2.4,1.85,0.42,1.64,90.5,20.8,0.20,,,MT308,5.77,0.10,0.67,10,,0.80,2.2,3.48,0.53,2.12,26.5,3.64,0.16,
LT309,5.55,0.06,0.60,25,,0.46,3.1,1.14,0.29,2.72,102,16.7,0.30,,,MT309,6.20,0.05,0.45,10,,0.82,2.4,3.75,0.47,3.23,23.7,2.74,0.16,
LT310,6.15,0.07,0.63,55,,0.74,3.5,1.61,0.32,2.16,51.6,22.6,0.32,,,MT310,4.83,0.06,0.38,15,,0.44,1.4,2.40,0.43,1.41,40.2,2.02,0.10,
LT311,6.37,0.06,0.58,30,,0.90,2.7,1.03,0.46,1.90,39.5,11.5,0.28,,,MT311,5.26,0.09,0.83,15,,0.16,2.0,4.55,0.61,1.81,161,3.37,0.20,
LT312,6.20,0.06,0.61,25,,0.50,2.5,3.19,0.43,2.22,34.8,3.32,0.26,,,MT312,7.97,0.15,1.45,,0.1,0.52,2.7,6.51,0.18,1.93,58.7,25.1,0.22,0.40
LT313,5.92,0.10,1.01,20,,0.66,3.3,2.93,0.63,5.11,61.9,12.2,0.32,,,MT313,6.88,0.14,1.41,25,,0.76,13.1,7.66,0.30,1.65,41.4,23.8,1.37,
LT314,7.09,0.05,0.50,,1,0.90,2.9,3.13,0.33,2.26,43.8,3.75,0.28,0.14,,MT314,6.85,0.15,1.44,20,,0.76,15.9,7.38,0.50,4.76,24.8,17.5,1.67,
LT315,7.89,0.06,0.53,,1,1.32,5.1,4.65,0.43,2.40,42.5,3.52,0.44,0.34,,MT315,6.72,0.11,1.09,30,,0.80,18.9,7.08,0.56,1.60,79.6,2.95,1.95,
