Mpala structural data,,,,,,,,,,,,,Ilmotiok structural data,,,,,,,,
S/Transect,ALL,SpCode,DKH,Basal area (sq cm),Hmin,Hmax,CanDepth,CrwnDiam,CanArea     = ?D1D2/4 ,CanVol ,,,SpCode,DKH,Basal area (sq cm),Hmin,Hmax,CanDepth,CrwnDiam,CanArea     = ?D1D2/4 ,CanVol 
M1,M102,ACACBR,3,7.07,0.3,1.7,1.4,0.95,0.7,0.65,,,ACACME,10.6,88.20,1.22,1.43,0.21,6.45,32.61,4.63
M1,M102,ACACBR,1.6,2.01,0.55,1.02,0.47,0.26,0.05,0.01,,,ACACME,9.7,73.86,0.82,1,0.18,2.6,5.24,0.62
M1,M102,ACACBR,1.4,1.54,0.14,0.88,0.74,0.8,0.48,0.24,,,ACACET,3.5,9.62,0.52,1,0.48,1.5,1.73,0.56
M1,M102,ACACBR,1.3,1.33,0.12,1,0.88,0.28,0.06,0.04,,,ACACME,11.3,100.24,1.4,2.1,0.7,1.25,1.13,0.53
M1,M102,ACACBR,1.1,0.95,0.55,0.9,0.35,0.31,0.08,0.02,,,ACACME,8.6,58.06,1.15,3.57,2.42,3.76,10.97,17.68
M1,M102,ACACBR,1.9,2.83,0.32,0.81,0.49,0.37,0.1,0.03,,,ACACET,10.5,86.55,0.99,2.53,1.54,2.7,5.6,5.75
M1,M102,ACACBR,1.2,1.13,0.46,1.3,0.84,0.52,0.21,0.12,,,ACACME,8,50.24,1.06,4.33,3.27,7.1,39.07,85.15
M1,M102,ACACBR,4.2,13.85,0.7,3.1,2.4,1.67,2.12,3.39,,,ACACET,12.5,122.66,1.06,4.48,3.42,5.9,27.32,62.32
M1,M102,ACACBR,2,3.14,1.1,1.3,0.2,0.9,0.57,0.08,,,ACACME,3.3,8.55,1.1,1.8,0.7,1.68,2.22,1.03
M1,M102,ACACBR,1.9,2.83,0.6,1.1,0.5,0.7,0.35,0.12,,,ACACME,7.2,40.69,0.91,3.14,2.23,3.45,9.34,13.89
M1,M102,ACACBR,2.1,3.46,0.4,1.5,1.1,1.45,1.65,1.21,,,ACACET,13.9,151.67,0.95,2.59,1.64,2.29,3.8,4.16
M1,M102,ACACBR,2.2,3.80,0.6,2.1,1.5,1.15,1.02,1.02,,,ACACTO,8,50.24,1.09,2.87,1.78,3.46,9.39,11.12
M1,M102,ACACBR,3.4,9.07,0.72,1.6,0.88,1.55,1.87,1.1,,,ACACTO,5,19.63,1.06,2.41,1.35,2.05,3.22,2.9
M1,M102,ACACME,6.7,35.24,0.9,3.3,2.4,2.9,6.59,10.55,,,ACACTO,6.5,33.17,1.15,2.04,0.89,2.45,4.69,2.79
M1,M103,ACACBR,2.6,5.31,0.5,2.42,1.92,1.35,1.41,1.81,,,ACACME,8.4,55.39,1.55,3.51,1.96,3.5,9.49,12.38
M1,M103,ACACBR,1.7,2.27,0.7,1.9,1.2,0.6,0.28,0.23,,,ACACME,3.5,9.62,1.06,2.62,1.56,2.01,3.01,3.14
M1,M103,ACACBR,3.1,7.54,0.84,2.16,1.32,1.05,0.82,0.72,,,ACACTO,6.4,32.15,1.06,2.78,1.72,3.6,10.17,11.64
M1,M103,ACACBR,2,3.14,0.52,2.83,2.31,1.05,0.69,1.07,,,ACACTO,12.4,120.70,1.52,3.38,1.86,5.28,21.86,27.17
M1,M103,ACACBR,1.8,2.54,0.52,2.83,2.31,1.05,0.69,1.07,,,ACACTO,15.4,186.17,1.07,2.53,1.46,2.22,3.82,3.71
M1,M103,ACACBR,2,3.14,0.63,2.41,1.78,1.1,0.88,1.04,,,ACACTO,10.5,86.55,1.05,2.96,1.91,4.13,13.37,17
M1,M103,ACACBR,3.2,8.04,0.65,4.2,3.55,2.4,4.45,10.53,,,ACACTO,4.3,14.51,1.04,2.13,1.09,2.4,4.3,3.14
M1,M103,ACACBR,2,3.14,0.6,2.14,1.54,1.25,1.22,1.26,,,ACACTO,4.3,14.51,0.86,1.8,0.94,1.7,2.25,1.41
M1,M103,ACACBR,2.6,5.31,0.49,2.21,1.72,1.18,1.08,1.24,,,ACACTO,11.9,111.16,1.09,3.29,2.2,4.44,15.42,22.64
M1,M103,ACACBR,1.6,2.01,0.5,2.1,1.6,1.15,0.94,1,,,ACACTO,7.4,42.99,1.06,3.35,2.29,3.25,8.27,12.65
M1,M103,ACACBR,1.8,2.54,0.7,2.78,2.08,2.3,4.14,5.75,,,ACACTO,20,314.00,1.52,3.54,2.02,5.95,27.69,37.23
M1,M103,ACACBR,2.7,5.72,0.75,2.23,1.48,0.75,0.42,0.42,,,ACACTO,8,50.24,0.95,2.32,1.37,4.45,15.42,14.05
M1,M103,ACACBR,2,3.14,0.5,2.23,1.73,0.85,0.55,0.63,,,ACACTO,3.7,10.75,0.89,1.52,0.63,1.78,2.4,1.02
M1,M103,ACACBR,2.2,3.80,0.6,1.88,1.28,0.9,0.63,0.54,,,ACACTO,5.8,26.41,1.03,2.17,1.14,3.03,7.2,5.47
M1,M103,ACACBR,2.2,3.80,0.5,2.43,1.93,1.65,2.12,2.73,,,ACACME,15.1,178.99,1.6,5.15,3.55,8.55,56.68,134.23
M1,M103,ACACBR,3,7.07,0.6,2.37,1.77,1.8,2.47,2.92,,,ACACME,5.6,24.62,1.01,2.62,1.61,3.3,8.45,9.09
M1,M103,ACACBR,2.9,6.60,0.65,2.39,1.74,1.75,2.36,2.73,,,ACACME,14.1,156.07,1.22,5.15,3.93,5.73,25.72,67.42
