"","plot.ID","veg_type","treatment","species","phen","doy","PFT","snowmelt_doy","day_difference"
"1","1","heath","control","Empetrum_hermaphroditum",1,143,"dwarf_shrub",150,-7
"2","1","heath","control","Empetrum_hermaphroditum",2,161,"dwarf_shrub",150,11
"3","1","heath","control","Linnea_borealis",1,143,"dwarf_shrub",150,-7
"4","1","heath","control","Linnea_borealis",2,153,"dwarf_shrub",150,3
"5","1","heath","control","Vaccinium_myrtillus",1,143,"dwarf_shrub",150,-7
"6","1","heath","control","Vaccinium_myrtillus",2,157,"dwarf_shrub",150,7
"7","1","heath","control","Vaccinium_myrtillus",3,168,"dwarf_shrub",150,18
"8","1","heath","control","Vaccinium_myrtillus",4,182,"dwarf_shrub",150,32
"9","1","heath","control","Vaccinium_vitis-idaea",1,143,"dwarf_shrub",150,-7
"10","1","heath","control","Vaccinium_vitis-idaea",2,153,"dwarf_shrub",150,3
"11","1","heath","control","Vaccinium_vitis-idaea",3,182,"dwarf_shrub",150,32
"12","1","heath","removal","Empetrum_hermaphroditum",1,143,"dwarf_shrub",146,-3
"13","1","heath","removal","Empetrum_hermaphroditum",2,161,"dwarf_shrub",146,15
"14","1","heath","removal","Vaccinium_myrtillus",1,143,"dwarf_shrub",146,-3
"15","1","heath","removal","Vaccinium_myrtillus",2,153,"dwarf_shrub",146,7
"16","1","heath","removal","Vaccinium_myrtillus",3,161,"dwarf_shrub",146,15
"17","1","heath","removal","Vaccinium_myrtillus",4,171,"dwarf_shrub",146,25
"18","1","heath","removal","Vaccinium_vitis-idaea",1,143,"dwarf_shrub",146,-3
"19","1","heath","removal","Vaccinium_vitis-idaea",2,150,"dwarf_shrub",146,4
"20","1","heath","removal","Vaccinium_vitis-idaea",3,178,"dwarf_shrub",146,32
"21","3","heath","control","Empetrum_hermaphroditum",1,143,"dwarf_shrub",146,-3
"22","3","heath","control","Empetrum_hermaphroditum",2,161,"dwarf_shrub",146,15
"23","3","heath","control","Trientalis_europaea",1,143,"forb",146,-3
"24","3","heath","control","Trientalis_europaea",2,164,"forb",146,18
"25","3","heath","control","Trientalis_europaea",3,175,"forb",146,29
"26","3","heath","control","Trientalis_europaea",4,188,"forb",146,42
"27","3","heath","control","Vaccinium_myrtillus",1,143,"dwarf_shrub",146,-3
"28","3","heath","control","Vaccinium_myrtillus",2,153,"dwarf_shrub",146,7
"29","3","heath","control","Vaccinium_vitis-idaea",1,143,"dwarf_shrub",146,-3
"30","3","heath","control","Vaccinium_vitis-idaea",2,153,"dwarf_shrub",146,7
"31","3","heath","control","Vaccinium_vitis-idaea",3,188,"dwarf_shrub",146,42
"32","3","heath","removal","Empetrum_hermaphroditum",1,143,"dwarf_shrub",139,4
"33","3","heath","removal","Empetrum_hermaphroditum",2,157,"dwarf_shrub",139,18
"34","3","heath","removal","Trientalis_europaea",1,143,"forb",139,4
"35","3","heath","removal","Trientalis_europaea",2,164,"forb",139,25
"36","3","heath","removal","Trientalis_europaea",3,168,"forb",139,29
"37","3","heath","removal","Trientalis_europaea",4,188,"forb",139,49
"38","3","heath","removal","Vaccinium_myrtillus",1,143,"dwarf_shrub",139,4
"39","3","heath","removal","Vaccinium_myrtillus",2,153,"dwarf_shrub",139,14
"40","3","heath","removal","Vaccinium_vitis-idaea",1,143,"dwarf_shrub",139,4
"41","3","heath","removal","Vaccinium_vitis-idaea",2,153,"dwarf_shrub",139,14
"42","3","heath","removal","Vaccinium_vitis-idaea",3,188,"dwarf_shrub",139,49
"43","4","heath","control","Empetrum_hermaphroditum",1,143,"dwarf_shrub",146,-3
"44","4","heath","control","Empetrum_hermaphroditum",2,161,"dwarf_shrub",146,15
"45","4","heath","control","Vaccinium_myrtillus",1,143,"dwarf_shrub",146,-3
"46","4","heath","control","Vaccinium_myrtillus",2,157,"dwarf_shrub",146,11
"47","4","heath","control","Vaccinium_myrtillus",3,164,"dwarf_shrub",146,18
"48","4","heath","control","Vaccinium_myrtillus",4,175,"dwarf_shrub",146,29
"49","4","heath","control","Vaccinium_vitis-idaea",1,143,"dwarf_shrub",146,-3
"50","4","heath","control","Vaccinium_vitis-idaea",2,150,"dwarf_shrub",146,4
"51","4","heath","control","Vaccinium_vitis-idaea",3,182,"dwarf_shrub",146,36
"52","4","heath","removal","Empetrum_hermaphroditum",1,143,"dwarf_shrub",133,10
"53","4","heath","removal","Empetrum_hermaphroditum",2,157,"dwarf_shrub",133,24
"54","4","heath","removal","Vaccinium_myrtillus",1,143,"dwarf_shrub",133,10
"55","4","heath","removal","Vaccinium_myrtillus",2,150,"dwarf_shrub",133,17
"56","4","heath","removal","Vaccinium_myrtillus",3,164,"dwarf_shrub",133,31
"57","4","heath","removal","Vaccinium_myrtillus",4,182,"dwarf_shrub",133,49
"58","4","heath","removal","Vaccinium_vitis-idaea",1,143,"dwarf_shrub",133,10
"59","4","heath","removal","Vaccinium_vitis-idaea",2,150,"dwarf_shrub",133,17
"60","4","heath","removal","Vaccinium_vitis-idaea",3,178,"dwarf_shrub",133,45
"61","5","heath","control","Empetrum_hermaphroditum",1,143,"dwarf_shrub",143,0
"62","5","heath","control","Empetrum_hermaphroditum",2,161,"dwarf_shrub",143,18
"63","5","heath","control","Vaccinium_myrtillus",1,143,"dwarf_shrub",143,0
"64","5","heath","control","Vaccinium_myrtillus",2,150,"dwarf_shrub",143,7
"65","5","heath","control","Vaccinium_uliginosum",1,143,"dwarf_shrub",143,0
"66","5","heath","control","Vaccinium_uliginosum",2,153,"dwarf_shrub",143,10
"67","5","heath","control","Vaccinium_uliginosum",3,171,"dwarf_shrub",143,28
"68","5","heath","control","Vaccinium_uliginosum",4,188,"dwarf_shrub",143,45
"69","5","heath","control","Vaccinium_vitis-idaea",1,143,"dwarf_shrub",143,0
"70","5","heath","control","Vaccinium_vitis-idaea",2,157,"dwarf_shrub",143,14
"71","5","heath","removal","Empetrum_hermaphroditum",1,143,"dwarf_shrub",133,10
"72","5","heath","removal","Empetrum_hermaphroditum",2,157,"dwarf_shrub",133,24
"73","5","heath","removal","Vaccinium_myrtillus",1,143,"dwarf_shrub",133,10
"74","5","heath","removal","Vaccinium_myrtillus",2,150,"dwarf_shrub",133,17
"75","5","heath","removal","Vaccinium_uliginosum",1,143,"dwarf_shrub",133,10
"76","5","heath","removal","Vaccinium_uliginosum",2,157,"dwarf_shrub",133,24
