"","Tube","plotnr","vegtype","treatment","growth","sampling","doy","snowmelt_doy","growth_area","day_difference","growth.cumulative.Sum"
"1",33,"1","heath","early",NA,2,128,146,NA,-18,NA
"2",33,"1","heath","early",NA,3,133,146,NA,-13,NA
"3",33,"1","heath","early",NA,4,139,146,NA,-7,NA
"4",33,"1","heath","early",NA,5,146,146,NA,0,NA
"5",33,"1","heath","early",5.861924,6,153,146,0.0528672799422799,7,0.0528672799422799
"6",33,"1","heath","early",3.753426,7,162,146,0.0338512445887446,16,0.0867185245310245
"7",33,"1","heath","early",11.532901,8,169,146,0.104012454906205,23,0.190730979437229
"8",33,"1","heath","early",25.368159,9,176,146,0.228789312770563,30,0.419520292207792
"9",33,"1","heath","early",35.096197,10,183,146,0.316524143217893,37,0.736044435425685
"10",34,"1","heath","control",NA,2,128,150,NA,-22,NA
"11",34,"1","heath","control",NA,3,133,150,NA,-17,NA
"12",34,"1","heath","control",NA,4,139,150,NA,-11,NA
"13",34,"1","heath","control",NA,5,146,150,NA,-4,NA
"14",34,"1","heath","control",5.488274,6,153,150,0.0494974206349206,3,0.0494974206349206
"15",34,"1","heath","control",4.536341,7,162,150,0.0409121663059163,12,0.090409586940837
"16",34,"1","heath","control",9.596537,8,169,150,0.0865488546176046,19,0.176958441558442
"17",34,"1","heath","control",12.61287,9,176,150,0.113752435064935,26,0.290710876623377
"18",34,"1","heath","control",39.540556,10,183,150,0.356606746031746,33,0.647317622655123
"19",37,"3","heath","early",NA,2,128,139,NA,-11,NA
"20",37,"3","heath","early",NA,3,133,139,NA,-6,NA
"21",37,"3","heath","early",NA,4,139,139,NA,0,NA
"22",37,"3","heath","early",16.57872,5,146,139,0.149519480519481,7,0.149519480519481
"23",37,"3","heath","early",4.147276,6,153,139,0.0374032828282828,14,0.186922763347763
"24",37,"3","heath","early",24.115454,7,162,139,0.217491468253968,23,0.404414231601732
"25",37,"3","heath","early",12.768131,8,169,139,0.115152696608947,30,0.519566928210678
"26",37,"3","heath","early",36.909495,9,176,139,0.332877840909091,37,0.852444769119769
"27",37,"3","heath","early",33.365657,10,183,139,0.30091681998557,44,1.15336158910534
"28",38,"3","heath","control",NA,2,128,146,NA,-18,NA
"29",38,"3","heath","control",NA,3,133,146,NA,-13,NA
"30",38,"3","heath","control",NA,4,139,146,NA,-7,NA
"31",38,"3","heath","control",0,5,146,146,0,0,0
"32",38,"3","heath","control",4.173831,6,153,146,0.037642775974026,7,0.037642775974026
"33",38,"3","heath","control",43.743585,7,162,146,0.394512851731602,16,0.432155627705628
"34",38,"3","heath","control",22.591045,8,169,146,0.203743190836941,23,0.635898818542569
"35",38,"3","heath","control",34.285484,9,176,146,0.309212518037518,30,0.945111336580087
"36",38,"3","heath","control",84.509125,10,183,146,0.762167433261183,37,1.70727876984127
"37",39,"4","heath","control",NA,2,128,146,NA,-18,NA
"38",39,"4","heath","control",NA,3,133,146,NA,-13,NA
"39",39,"4","heath","control",NA,4,139,146,NA,-7,NA
"40",39,"4","heath","control",9.114656,5,146,146,0.082202886002886,0,0.082202886002886
"41",39,"4","heath","control",4.509004,6,153,146,0.0406656204906205,7,0.122868506493507
"42",39,"4","heath","control",1.430628,7,162,146,0.0129024891774892,16,0.135770995670996
"43",39,"4","heath","control",6.920534,8,169,146,0.0624146284271284,23,0.198185624098124
"44",39,"4","heath","control",13.805695,9,176,146,0.124510236291486,30,0.32269586038961
"45",39,"4","heath","control",15.831462,10,183,146,0.142780140692641,37,0.465476001082251
"46",40,"4","heath","early",NA,2,128,133,NA,-5,NA
"47",40,"4","heath","early",NA,3,133,133,NA,0,NA
"48",40,"4","heath","early",0,4,139,133,0,6,0
