"","Tube","Length","plotnr","vegtype","treatment","length_per_area"
"1",33,347.373247,"1","heath","early",13.7846526587302
"2",34,1792.577502,"1","heath","control",71.1340278571429
"3",37,2152.026105,"3","heath","early",85.3978613095238
"4",38,1613.25559,"3","heath","control",64.018078968254
"5",39,524.29563,"4","heath","control",20.8053821428571
"6",40,1420.551352,"4","heath","early",56.3710853968254
"7",41,519.017677,"5","heath","control",20.5959395634921
"8",42,637.246868,"5","heath","early",25.2875741269841
"9",43,1405.554826,"6","heath","control",55.7759851587302
"10",44,678.637363,"6","heath","early",26.9300540873016
"11",45,1405.427511,"7","heath","control",55.7709329761905
"12",46,1719.181426,"7","heath","early",68.2214851587302
"13",47,2433.487376,"8","heath","control",96.5669593650794
"14",48,1070.212259,"8","heath","early",42.4687404365079
"15",51,2716.326142,"B","meadow","control",24.4978908910534
"16",52,478.199158,"B","meadow","early",4.31276296897547
"17",53,2693.435855,"C","meadow","control",24.2914489087302
"18",54,1949.109335,"C","meadow","early",17.5785473935786
"19",55,2131.700458,"D","meadow","control",19.2252927308802
"20",56,1673.554718,"D","meadow","early",15.0933867063492
"21",57,2018.132057,"E","meadow","control",18.2010466901154
"22",58,2127.059162,"E","meadow","early",19.1834340007215
"23",59,1572.457854,"F","meadow","control",14.181618452381
"24",60,3547.642055,"F","meadow","early",31.99532877886
"25",61,1377.341473,"G","meadow","control",12.4219108315296
"26",62,2223.067749,"G","meadow","early",20.0493123106061
"27",63,1096.949768,"H","meadow","control",9.89312561327561
"28",64,2246.356117,"H","meadow","early",20.2593444895382
