plot;type;snow_depth;treatment;doy;;comb;comments,
1;heath;105;control;97;;heathcontrol;if plot melted out between snowdepth measurements and aboveground phenoloy was recorded before the next snowdepth measurement, the snowmet doy in the 'snowmelt_doy' sheet is adapted
3;heath;95;control;97;;heathcontrol;,
4;heath;105;control;97;;heathcontrol;,
5;heath;90;control;97;;heathcontrol;,
6;heath;90;control;97;;heathcontrol;,
7;heath;80;control;97;;heathcontrol;,
8;heath;115;control;97;;heathcontrol;,
F;meadow;85;control;97;;meadowcontrol;,
E;meadow;90;control;97;;meadowcontrol;,
C;meadow;90;control;97;;meadowcontrol;,
B;meadow;80;control;97;;meadowcontrol;,
D;meadow;92;control;97;;meadowcontrol;,
G;meadow;70;control;97;;meadowcontrol;,
H;meadow;85;control;97;;meadowcontrol;,
1;heath;105;removal;97;;heathremoval;,
3;heath;95;removal;97;;heathremoval;,
4;heath;80;control;105;;heathcontrol;,
5;heath;90;control;105;;heathcontrol;,
6;heath;70;control;105;;heathcontrol;,
7;heath;80;control;105;;heathcontrol;,
8;heath;95;control;105;;heathcontrol;,
F;meadow;90;control;105;;meadowcontrol;,
E;meadow;90;removal;97;;meadowremoval;,
C;meadow;80;control;105;;meadowcontrol;,
B;meadow;80;removal;97;;meadowremoval;,
D;meadow;90;control;105;;meadowcontrol;,
G;meadow;70;removal;97;;meadowremoval;,
H;meadow;90;control;105;;meadowcontrol;,
1;heath;80;control;105;;heathcontrol;,
3;heath;95;control;105;;heathcontrol;,
4;heath;90;control;112;;heathcontrol;,
5;heath;85;control;112;;heathcontrol;,
6;heath;65;control;112;;heathcontrol;,
7;heath;75;control;112;;heathcontrol;,
8;heath;90;control;112;;heathcontrol;,
F;meadow;90;control;112;;meadowcontrol;,
E;meadow;87;control;105;;meadowcontrol;,
C;meadow;70;control;112;;meadowcontrol;,
B;meadow;70;control;105;;meadowcontrol;,
D;meadow;90;control;112;;meadowcontrol;,
G;meadow;70;control;105;;meadowcontrol;,
H;meadow;95;control;112;;meadowcontrol;,
1;heath;80;removal;105;;heathremoval;,
3;heath;95;removal;105;;heathremoval;,
4;heath;50;control;119;;heathcontrol;,
5;heath;70;control;119;;heathcontrol;,
6;heath;60;control;119;;heathcontrol;,
7;heath;65;control;119;;heathcontrol;,
8;heath;70;control;119;;heathcontrol;,
F;meadow;65;control;119;;meadowcontrol;,
E;meadow;87;removal;105;;meadowremoval;,
C;meadow;50;control;119;;meadowcontrol;,
B;meadow;70;removal;105;;meadowremoval;,
D;meadow;70;control;119;;meadowcontrol;,
G;meadow;70;removal;105;;meadowremoval;,
H;meadow;70;control;119;;meadowcontrol;,
1;heath;65;control;112;;heathcontrol;,
3;heath;110;control;112;;heathcontrol;,
4;heath;50;control;121;;heathcontrol;,
5;heath;65;control;121;;heathcontrol;,
6;heath;60;control;121;;heathcontrol;,
7;heath;60;control;121;;heathcontrol;,
8;heath;70;control;121;;heathcontrol;,
F;meadow;60;control;121;;meadowcontrol;,
E;meadow;85;control;112;;meadowcontrol;,
C;meadow;60;control;121;;meadowcontrol;,
B;meadow;65;control;112;;meadowcontrol;,
D;meadow;70;control;121;;meadowcontrol;,
G;meadow;65;control;112;;meadowcontrol;,
H;meadow;70;control;121;;meadowcontrol;,
1;heath;65;removal;112;;heathremoval;,
3;heath;110;removal;112;;heathremoval;,
4;heath;65;control;128;;heathcontrol;,
5;heath;55;control;128;;heathcontrol;,
6;heath;60;control;128;;heathcontrol;,
7;heath;55;control;128;;heathcontrol;,
8;heath;70;control;128;;heathcontrol;,
