plot;Tube;type;treatment;snow_doy;comb;;;;mean;median;;;;;;;;;;;;;;;;
1;33;heath;early;146;heathearly;;136;;;;;;;;;;;;;;;;;;;
1;34;heath;control;150;heathcontrol;;145;4;9;8.5;;;;;;;;;;;;;;;;
3;37;heath;early;139;heathearly;;;;;;;;;;;;;;;;;;;;;
3;38;heath;control;146;heathcontrol;;;7;;;;;;;;;;;;;;;;;;
4;40;heath;early;133;heathearly;;;;;;;;;;;;;;;;;;;;;
4;39;heath;control;146;heathcontrol;;;13;;;;;;;;;;;;;;;;;;
5;42;heath;early;133;heathearly;;;;;;;;;;;;;;;;;;;;;
5;41;heath;control;143;heathcontrol;;;10;;;;;;;;;;;;;;;;;;
6;44;heath;early;129;heathearly;;;;;;;;;;;;;;;;;;;;;
6;43;heath;control;143;heathcontrol;;;14;;;;;;;;;;;;;;;;;;
7;46;heath;early;136;heathearly;;;;;;;;;;;;;;;;;;;;;
7;45;heath;control;143;heathcontrol;;;7;;;;;;;;;;;;;;;;;;
8;48;heath;early;139;heathearly;;;;;;;;;;;;;;;;;;;;;
8;47;heath;control;146;heathcontrol;;;7;;;;;;;;;;;;;;;;;;
B;51;meadow;control;140;meadowcontrol;;143;;;;;;;;;;;;;;;;;;;
B;52;meadow;early;129;meadowearly;;134;11;;;;;;;;;;;;;;;;;;
C;53;meadow;control;143;meadowcontrol;;;;;;;;;;;;;;;;;;;;;
C;54;meadow;early;132;meadowearly;;;11;;;;;;;;;;;;;;;;;;
D;55;meadow;control;143;meadowcontrol;;;;;;;;;;;;;;;;;;;;;
D;56;meadow;early;140;meadowearly;;;3;;;;;;;;;;;;;;;;;;
E;57;meadow;control;147;meadowcontrol;;;;;;;;;;;;;;;;;;;;;
E;58;meadow;early;129;meadowearly;;;18;;;;;;;;;;;;;;;;;;
F;59;meadow;control;143;meadowcontrol;;;;;;;;;;;;;;;;;;;;;
F;60;meadow;early;140;meadowearly;;;3;;;;;;;;;;;;;;;;;;
G;61;meadow;control;140;meadowcontrol;;;;;;;;;;;;;;;;;;;;;
G;62;meadow;early;129;meadowearly;;;11;;;;;;;;;;;;;;;;;;
H;63;meadow;control;143;meadowcontrol;;;;;;;;;;;;;;;;;;;;;
H;64;meadow;early;136;meadowearly;;;7;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
