"","Unit","plot","treatment","veg_type","tube","temp","Date","Time","doy"
"17","C","H","control","meadow","63",0.536,"2013-10-31","00:35:00",304
"18","C","H","control","meadow","63",0.536,"2013-10-31","01:35:00",304
"19","C","H","control","meadow","63",0.536,"2013-10-31","02:35:00",304
"20","C","H","control","meadow","63",0.536,"2013-10-31","03:35:00",304
"21","C","H","control","meadow","63",0.536,"2013-10-31","04:35:00",304
"22","C","H","control","meadow","63",0.536,"2013-10-31","05:35:00",304
"23","C","H","control","meadow","63",0.536,"2013-10-31","06:35:00",304
"24","C","H","control","meadow","63",0.536,"2013-10-31","07:35:00",304
"25","C","H","control","meadow","63",0.536,"2013-10-31","08:35:00",304
"26","C","H","control","meadow","63",0.536,"2013-10-31","09:35:00",304
"27","C","H","control","meadow","63",0.536,"2013-10-31","10:35:00",304
"28","C","H","control","meadow","63",0.536,"2013-10-31","11:35:00",304
"29","C","H","control","meadow","63",0.536,"2013-10-31","12:35:00",304
"30","C","H","control","meadow","63",0.536,"2013-10-31","13:35:00",304
"31","C","H","control","meadow","63",0.536,"2013-10-31","14:35:00",304
"32","C","H","control","meadow","63",0.536,"2013-10-31","15:35:00",304
"33","C","H","control","meadow","63",0.536,"2013-10-31","16:35:00",304
"34","C","H","control","meadow","63",0.536,"2013-10-31","17:35:00",304
"35","C","H","control","meadow","63",0.536,"2013-10-31","18:35:00",304
"36","C","H","control","meadow","63",0.536,"2013-10-31","19:35:00",304
"37","C","H","control","meadow","63",0.536,"2013-10-31","20:35:00",304
"38","C","H","control","meadow","63",0.536,"2013-10-31","21:35:00",304
"39","C","H","control","meadow","63",0.536,"2013-10-31","22:35:00",304
"40","C","H","control","meadow","63",0.536,"2013-10-31","23:35:00",304
"41","C","H","control","meadow","63",0.536,"2013-11-01","00:35:00",305
"42","C","H","control","meadow","63",0.536,"2013-11-01","01:35:00",305
"43","C","H","control","meadow","63",0.536,"2013-11-01","02:35:00",305
"44","C","H","control","meadow","63",0.536,"2013-11-01","03:35:00",305
"45","C","H","control","meadow","63",0.536,"2013-11-01","04:35:00",305
