Strongyloides sp.outlying,Strongylus.outlying.FEC,Nema.outlying.FEC,Marsha.outlying.FEC,Trichuris.outlying.FEC,Moniezia.outlying.FEC,Dicrocoelium sp.outlying.FEC,Strongylus.saiga.FEC,Nematodirus.saiga.FEC,Marshallagia.saiga.FEC,Moniezia.saiga.FEC,Strongylus.village.FEC,Nematodirus.village.FEC,Trichuris.village.FEC,Moniezia.village.FEC,Dicrocoelium sp.village.FEC
0,20,0,0,5,0,0,20,0,0,15,5,5,0,45,0
0,10,5,0,0,0,0,10,5,0,0,20,0,10,0,5
0,0,10,5,0,35,0,15,0,0,0,5,0,0,25,0
0,15,10,20,0,0,0,10,5,0,0,0,5,5,0,0
0,0,0,0,0,25,0,0,10,0,10,5,5,5,25,0
0,20,0,0,0,40,0,15,10,0,0,0,0,10,20,0
0,0,10,5,0,0,0,0,0,0,0,0,15,0,155,0
0,10,0,0,0,55,5,0,10,0,25,10,5,20,55,10
0,10,0,5,5,0,0,5,10,0,0,10,25,15,0,0
0,0,0,0,0,0,0,0,0,0,0,20,0,0,70,0
0,0,0,5,0,0,0,20,0,0,10,15,10,10,35,0
0,0,0,0,0,0,0,0,10,0,0,25,0,0,20,0
0,0,0,10,0,0,0,10,0,0,0,45,5,5,10,25
0,35,0,0,0,15,5,10,0,0,10,0,0,5,40,0
0,0,25,5,5,10,0,5,0,0,0,35,0,0,15,0
0,0,0,0,0,0,0,20,0,0,10,10,0,0,15,0
0,0,0,0,0,0,0,0,10,0,0,15,15,0,30,0
0,20,0,0,0,0,10,10,0,0,0,10,0,0,55,0
0,0,5,0,0,15,0,10,0,0,0,20,0,10,0,0
0,0,10,0,5,15,0,0,0,0,0,0,0,0,105,0
0,0,0,0,0,0,5,0,0,0,0,0,0,20,0,0
0,0,10,0,0,0,0,5,0,0,5,10,15,5,15,10
0,0,10,25,0,0,0,0,0,0,0,10,0,10,45,0
0,0,0,0,0,15,0,0,0,0,20,0,15,0,155,0
0,10,0,0,0,0,0,0,0,0,0,0,0,20,55,0
0,5,10,15,5,0,0,0,0,0,0,10,25,15,0,0
0,0,10,30,0,0,5,25,0,0,15,20,0,0,70,0
0,10,0,0,0,5,0,0,25,0,0,15,10,10,35,10
0,0,0,0,0,0,0,45,0,0,15,25,0,0,20,0
0,0,0,5,0,35,0,0,25,0,0,45,5,5,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,5,40,0
0,0,0,0,5,40,0,0,0,0,0,35,0,0,15,0
0,0,0,0,0,110,0,5,0,0,0,10,0,0,15,0
0,0,0,0,0,0,0,0,0,0,0,15,15,0,30,5
0,5,5,5,0,0,0,20,0,0,0,10,0,0,15,0
0,0,0,0,0,0,0,0,5,0,20,25,15,0,20,0
0,0,0,0,0,0,0,0,10,0,15,0,0,0,0,0
0,5,0,0,0,10,0,5,0,0,0,5,15,0,55,5
NA,NA,NA,NA,NA,NA,NA,0,5,0,15,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,10,0,15,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,10,0,0,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,10,0,5,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,10,0,10,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,10,0,0,NA,NA,NA,NA,NA
