Order_,Year,NestID,dN15,dC13,Group
1,2013,4182,10.496951,-21.5498441,1
2,2013,4182,10.585862,-21.2809511,1
3,2013,4152,12.01643,-20.7760298,2
4,2013,4152,11.90654,-20.6814193,2
5,2013,4317,10.496951,-22.4551172,3
6,2013,4317,10.081367,-22.6413505,3
13,2013,4209,9.47897,-22.2539454,4
14,2013,4209,10.603844,-20.933382,4
15,2013,4154,8.944505,-20.6485546,5
16,2013,4154,8.435015,-20.5977637,5
17,2013,3932,9.755693,-20.9811852,6
18,2013,3932,9.582866,-20.5210794,6
19,2013,3930,10.061387,-21.2958896,7
20,2013,3930,10.046402,-21.4163935,7
21,2013,4185,10.260188,-22.1155153,8
22,2013,3971,11.592854,-20.4882147,9
23,2013,3971,11.785661,-20.714284,9
24,2013,4337,10.45799,-19.9424615,10
25,2013,4337,10.573874,-19.887687,10
26,2013,4333,11.517929,-20.4941901,11
27,2013,4333,11.73671,-20.6206694,11
28,2013,4302,10.473974,-20.7561118,12
29,2013,4302,10.379069,-20.9244189,12
30,2013,4158,10.891556,-20.8885665,13
31,2013,4158,10.96748,-20.8168617,13
32,2013,82,9.812636,-20.3517764,14
33,2013,82,9.669779,-20.1904406,14
34,2013,4193,9.236213,-19.8737444,15
35,2013,4193,10.075373,-18.742402,15
36,2013,3967,10.18826,-22.1493759,16
37,2013,3967,10.165283,-21.8107699,16
38,2013,4184,10.114334,-21.9611508,17
39,2013,4184,9.939509,-22.0019827,17
40,2013,3883,9.148301,-22.0746834,18
41,2013,3883,9.26918,-21.7271143,18
42,2013,3943,11.288159,-20.2571659,19
43,2013,3943,11.184263,-20.196416,19
44,2013,3976,10.473974,-21.8147535,20
45,2013,3976,10.643804,-21.5886842,20
46,2013,3957,11.439008,-21.6424628,21
47,2013,3957,11.428019,-21.9252984,21
48,2013,4307,10.265183,-21.1534759,22
49,2013,4307,10.149299,-21.2441028,22
50,2013,4207,8.937512,-20.7232471,23
51,2013,4191,10.350098,-19.4584541,24
52,2013,4191,10.515932,-19.4285771,24
53,2013,4227,10.471976,-20.5917883,25
54,2013,4227,10.751696,-20.8198494,25
55,2013,4316,11.773673,-21.5279343,26
56,2013,4316,11.603843,-21.3885083,26
57,2013,4298,10.715732,-20.6863988,27
58,2013,4298,10.820627,-20.4633172,27
59,2013,4303,12.290156,-20.6694685,28
60,2013,4303,12.277169,-20.1934283,28
61,2013,4314,11.36708,-21.9979991,29
62,2013,4189,10.38806,-21.6962414,30
63,2013,4189,10.211237,-21.9541795,30
64,2013,4183,10.733714,-21.242111,31
65,2013,3964,10.116332,-21.9053804,32
66,2013,3964,10.179269,-21.8904419,32
67,2013,3934,9.557891,-21.7330897,33
68,2013,3934,9.851597,-22.1543554,33
69,2013,3929,9.652796,-19.9484369,34
70,2013,4327,10.534913,-21.3088363,35
1,2014,4180,10.5,-21.1,36
2,2014,4180,10.1,-20.7,36
3,2014,4402,11,-22.8,37
4,2014,4402,11.4,-22,37
5,2014,3964,10.4,-23.9,38
6,2014,3964,10.5,-24.3,38
7,2014,3988,12.5,-23.3,39
8,2014,3988,12.1,-23.3,39
9,2014,4418,13.9,-22.1,40
10,2014,4418,14.3,-22.5,40
11,2014,4017,14.6,-21.1,41
12,2014,4017,15,-21.1,41
13,2014,3981,11.4,-23.5,42
14,2014,3981,11.1,-23.7,42
15,2014,4307,10.7,-23.2,43
16,2014,4307,10.8,-23,43
17,2014,4401,11.8,-21.6,44
18,2014,4401,11.7,-21.3,44
19,2014,4408,11,-23.8,45
20,2014,4408,11.2,-23.4,45
21,2014,4410,9.8,-19.9,46
22,2014,4410,10.4,-20.2,46
23,2014,3976,11.4,-23.7,47
24,2014,3976,11.8,-23.4,47
25,2014,4434,11.9,-22.4,48
26,2014,4434,11.9,-22.5,48
27,2014,4436,10.6,-22.4,49
28,2014,4436,10.3,-22.2,49
29,2014,4328,11.2,-23.4,50
30,2014,4328,11.1,-23.6,50
31,2014,4422,11.3,-23.1,51
32,2014,4422,11.5,-23.3,51
33,2014,4420,10.6,-23.7,52
34,2014,4420,10.5,-23.8,52
35,2014,4209,11.3,-22.4,53
36,2014,4209,11.7,-22.7,53
37,2014,4400,11,-21.9,54
38,2014,4400,10.4,-22.2,54
39,2014,4301,12.6,-22.3,55
40,2014,4301,12.8,-22.5,55
41,2014,3971,13.2,-22.5,56
42,2014,3971,13.2,-22.4,56
43,2014,4330,12.7,-22.2,57
44,2014,4330,12.6,-22,57
45,2014,4158,12.4,-22.2,58
46,2014,4158,12.6,-22.3,58
47,2014,4447,13.9,-21.4,59
48,2014,4447,13.2,-21.7,59
49,2014,3931,10.3,-21.9,60
50,2014,3931,10.2,-21.8,60
51,2014,3929,9.1,-23.1,61
52,2014,3929,9.5,-22.9,61
53,2014,4426,12.2,-22.6,62
54,2014,4426,12.1,-22.5,62
55,2014,4425,11.6,-23.2,63
56,2014,4425,12,-23.6,63
57,2014,3520,9.4,-23.5,64
58,2014,3520,9.3,-23.5,64
59,2014,3978,11,-23.1,65
60,2014,3978,11,-22.7,65
61,2014,4398,11,-23.4,66
62,2014,4398,11.2,-23.2,66
63,2014,4409,10.6,-23.4,67
64,2014,4409,10.8,-22.4,67
65,2014,4407,11.7,-22.6,68
66,2014,4407,11.9,-22.2,68
67,2014,82,10.3,-22.6,69
68,2014,82,10.4,-23.1,69
69,2014,4331,10.1,-22.8,70
70,2014,4331,10.2,-22.9,70
71,2014,4423,11.2,-22.2,71
72,2014,4423,11.2,-22.1,71
73,2014,4433,11.4,-21.7,72
74,2014,4433,13.2,-21.1,72
75,2014,4444,11,-21.5,73
76,2014,4444,11.2,-22.2,73
77,2014,4341,12.2,-23.4,74
78,2014,4341,12.3,-23,74
79,2014,4207,9.5,-22.9,75
80,2014,3934,10,-22.9,76
81,2014,3934,10.1,-22.4,76
82,2014,3932,11.6,-22.5,77
83,2014,3932,11.6,-22.6,77
84,2014,4456,11.1,-23.1,78
85,2014,4456,11.5,-22.9,78
86,2014,4446,13.5,-21.9,79
87,2014,4404,10.9,-22.5,80
88,2014,4193,9.4,-22.9,81
89,2014,4193,9.4,-22.9,81
90,2014,4415,13.5,-21.6,82
91,2014,4415,13.5,-22.2,82
92,2014,4445,11.2,-21.9,83
93,2014,4445,11.3,-22.2,83
94,2014,4335,14.2,-21.6,84
95,2014,4335,14.2,-21.5,84
96,2014,4417,12.1,-22.2,85
97,2014,4417,12.5,-21.9,85
98,2014,4430,11.5,-23.4,86
99,2014,4430,11.6,-23.3,86
100,2014,4412,11.9,-22.6,87
101,2014,4412,12.1,-23.2,87
102,2014,3974,11.8,-22.4,88
103,2014,3974,11.9,-21.9,88
104,2014,4150,10.8,-23,89
105,2014,4150,10.7,-23.1,89
106,2014,4441,12.7,-22.4,90
107,2014,4441,13.3,-21.7,90
108,2014,4440,10.5,-23.6,91
109,2014,3958,13.1,-23.1,92
