herd size,month,day of the week,monitoring time,sex of the herd,num of people feeding,centre timepoint for observation,num of people present,management stage
191,6,Friday,62,F,0,10.76666667,9,1
142,6,Friday,95,F,0,9.366666667,20,1
41,6,Friday,252,M,25,15.35,72,1
124,6,Friday,40,F,0,11.66666667,8,1
1,6,Friday,15,M,0,12.61666667,5,1
249,6,Saturday,207,F,9,10.88333333,100,1
23,6,Saturday,40,M,0,17,60,1
1,6,Saturday,18,M,0,13.6,16,1
4,6,Saturday,83,M,7,15.3,41,1
8,6,Sunday,45,F,0,8.783333333,0,1
120,6,Sunday,32,F,0,10.01666667,17,1
9,6,Sunday,10,F,6,10.41666667,16,1
174,6,Sunday,150,F,20,11.75,146,1
70,6,Sunday,227,M,38,16.05,108,1
45,6,Saturday,48,M,32,14.73333333,7,1
197,6,Saturday,61,F,22,12.5,19,1
9,6,Saturday,16,M,15,15.36666667,23,1
13,6,Saturday,33,M,40,15.85,37,1
2,6,Saturday,12,F,0,9.066666667,0,1
84,6,Saturday,96,F,0,10.3,3,1
134,6,Saturday,38,F,0,11.56666667,8,1
70,6,Sunday,38,F,12,14.05,35,1
208,6,Sunday,43,F,24,13.31666667,6,1
69,6,Sunday,56,F,25,15.06666667,66,1
153,6,Sunday,102,F,38,16.4,120,1
6,6,Sunday,46,M,0,8.8,0,1
4,6,Sunday,31,M,0,9.616666667,1,1
93,6,Friday,84,F,0,8.883333333,6,1
150,6,Friday,37,F,2,11.53333333,8,1
181,6,Friday,61,F,0,12.51666667,12,1
110,6,Friday,77,F,0,10.4,6,1
13,6,Friday,137,M,0,15.35,178,1
20,6,Sunday,107,M,141,13.5,251,1
8,6,Sunday,19,M,0,14.68333333,30,1
6,6,Sunday,62,M,0,15.41666667,70,1
13,6,Sunday,116,M,34,16.95,167,1
97,6,Sunday,18,F,0,9.5,8,1
129,6,Sunday,79,F,0,10.33333333,12,1
3,6,Sunday,24,F,0,8.533333333,0,1
17,6,Friday,191,M,0,9.4,25,1
2,6,Friday,12,F,0,12.48333333,0,1
116,6,Friday,270,F,18,15.66666667,92,1
63,6,Saturday,70,F,18,16.16666667,116,1
116,6,Saturday,11,F,4,16.98333333,50,1
31,6,Saturday,186,M,4,9.133333333,74,1
39,6,Saturday,50,M,0,11.13333333,14,1
72,6,Saturday,132,M,23,12.73333333,101,1
46,7,Friday,62,F,0,8.583333333,7,1
6,7,Friday,295,M,7,15.03333333,108,1
16,7,Friday,25,F,0,9.416666667,5,1
25,7,Friday,81,F,5,10.33333333,14,1
203,7,Saturday,159,F,22,9.533333333,60,1
29,7,Saturday,110,M,4,16.66666667,48,1
87,7,Saturday,65,M,76,13.53333333,111,1
7,7,Saturday,63,M,6,14.9,52,1
7,7,Saturday,22,F,0,16.43333333,85,1
10,7,Saturday,7,F,2,16.15,21,1
23,7,Sunday,350,M,60,11.01666667,167,1
22,7,Saturday,22,F,44,16.81666667,91,1
5,7,Saturday,60,F,2,15.6,91,1
8,7,Sunday,35,F,0,9.116666667,6,1
216,7,Sunday,47,F,12,11.68333333,59,1
65,7,Sunday,5,F,2,12.28333333,36,1
142,7,Sunday,65,F,16,13.11666667,77,1
137,7,Sunday,87,F,4,10.46666667,24,1
60,7,Sunday,40,M,17,16.83333333,25,1
21,7,Sunday,72,M,73,15.85,106,1
68,7,Friday,315,M,5,11.41666667,54,1
7,7,Friday,13,F,0,16.98333333,3,1
2,7,Friday,62,F,4,16.3,15,1
15,7,Friday,7,F,0,15.63333333,7,1
209,7,Saturday,239,F,20,14.76666667,24,1
21,7,Saturday,22,F,0,8.966666667,2,1
95,7,Saturday,70,F,5,10.93333333,3,1
16,7,Saturday,50,M,0,16.61666667,2,1
42,7,Saturday,22,M,14,15.61666667,14,1
18,7,Saturday,11,M,0,15.96666667,6,1
242,6,Saturday,103,F,13,12.16666667,47,2
3,6,Saturday,38,F,0,8.583333333,1,2
11,6,Saturday,167,M,15,16.4,145,2
94,6,Saturday,30,M,20,11.76666667,57,2
43,6,Saturday,195,M,3,9.783333333,36,2
39,6,Saturday,33,F,0,13.9,67,2
29,6,Saturday,48,F,24,14.65,171,2
158,6,Saturday,26,F,13,15.45,72,2
198,6,Saturday,65,F,55,16.5,225,2
205,6,Sunday,227,F,37,11.08333333,293,2
41,6,Sunday,13,M,8,15,37,2
52,6,Sunday,126,M,21,16.23333333,371,2
49,6,Sunday,7,M,13,14.73333333,26,2
46,6,Saturday,136,M,11,16.68333333,228,2
163,6,Saturday,100,F,6,11.31666667,51,2
27,6,Saturday,49,M,13,14.9,96,2
181,6,Sunday,91,F,10,13.71666667,132,2
9,6,Sunday,17,M,0,8.7,3,2
38,6,Sunday,15,F,1,16.75,29,2
44,6,Sunday,102,F,7,15.63333333,224,2
109,6,Sunday,105,M,12,9.866666667,110,2
27,6,Friday,46,M,0,16.56666667,95,2
149,6,Friday,51,F,2,11.15,41,2
68,6,Friday,15,F,0,10.36666667,3,2
16,6,Friday,37,F,0,9.533333333,5,2
9,6,Friday,45,M,0,15.65,56,2
82,6,Friday,42,F,0,12.1,28,2
110,6,Sunday,51,M,28,14.18333333,149,2
45,6,Sunday,83,M,0,16.88333333,15,2
61,6,Sunday,30,M,12,13.08333333,139,2
53,6,Sunday,35,M,0,15.73333333,38,2
95,6,Sunday,45,F,0,10.61666667,14,2
180,6,Friday,180,F,10,14.35,197,2
20,6,Friday,20,F,0,16.33333333,42,2
25,6,Friday,21,F,0,16.76666667,40,2
11,6,Friday,180,M,0,9.5,36,2
82,6,Saturday,129,M,2,9.916666667,225,2
87,6,Saturday,12,F,0,13.41666667,15,2
12,6,Saturday,72,F,2,15.81666667,111,2
66,6,Saturday,36,F,0,14.53333333,85,2
34,7,Friday,37,M,0,13.8,41,2
69,7,Friday,185,M,42,15.93333333,214,2
19,7,Friday,15,M,0,13.2,6,2
66,7,Friday,137,F,0,9.85,38,2
22,7,Saturday,128,M,0,16.56666667,70,2
11,7,Saturday,23,M,0,15.2,6,2
151,7,Saturday,39,F,11,10.7,39,2
130,7,Saturday,75,F,0,9.7,12,2
95,7,Saturday,48,M,26,13.48333333,80,2
22,7,Saturday,48,M,0,14.45,26,2
33,7,Sunday,14,M,24,13.8,55,2
5,7,Sunday,70,M,0,8.5,28,2
7,7,Sunday,113,M,9,10.3,62,2
30,7,Sunday,122,M,45,12.38333333,128,2
5,7,Sunday,3,M,0,13.56666667,17,2
