plot;n_ind;cgl
1;1;31
1;2;32
1;3;29
1;4;56
2;5;26
2;6;29
2;7;27
2;8;46
3;9;34
3;10;37
4;11;31
4;12;36
4;13;43
4;14;26
5;15;31
5;16;36
5;17;31
6;18;39
6;19;32
6;20;29
7;21;36
8;22;53
9;23;44
9;24;55
9;25;31
9;26;44
9;27;26
10;28;47
10;29;42
10;30;48
10;31;42
10;32;31
11;33;200
12;34;150
13;35;48
13;36;57
13;37;44
13;38;60
13;39;58
13;40;57
13;41;34
13;42;73
13;43;85
13;44;84
13;45;54
13;46;32
14;47;61
14;48;52
14;49;35
14;50;100
14;51;50
14;52;82
14;53;43
14;54;100
14;55;57
14;56;93
15;57;105
15;58;100
15;59;47
15;60;36
16;61;67
16;62;57
16;63;68
16;64;122
17;65;66
17;66;70
17;67;59
18;68;57
18;69;42
18;70;75
18;71;25
19;72;52
19;73;71
20;74;81
21;75;90
22;76;105
22;77;72
23;78;120
23;79;120
24;80;45
24;81;40
24;82;110
24;83;25
24;84;50
24;85;30
24;86;33
24;87;30
24;88;40
24;89;95
24;90;45
24;91;35
24;92;30
24;93;38
24;94;50
24;95;30
24;96;80
24;97;50
24;98;40
24;99;133
25;100;35
25;101;95
25;102;58
25;103;70
25;104;48
25;105;95
26;106;70
26;107;26
26;108;90
26;109;35
26;110;38
26;111;40
26;112;68
27;113;41
27;114;99
27;115;82
28;116;136
28;117;74
29;118;32
29;119;160
29;120;110
29;121;53
29;122;54
30;123;90
