cond;plot;subplot;bare_soil;cov_woody;cov_n_woody
non-invaded;1;1;20;62.5;20
non-invaded;1;2;62.5;20;10
non-invaded;1;3;10;62.5;37.5
non-invaded;1;4;2.5;87.5;10
non-invaded;2;1;10;20;62.5
non-invaded;2;2;10;20;62.5
non-invaded;2;3;20;10;62.5
non-invaded;2;4;62.5;2.5;37.5
non-invaded;3;1;2.5;87.5;62.5
non-invaded;3;2;2.5;87.5;37.5
non-invaded;3;3;2.5;87.5;37.5
non-invaded;3;4;20;10;62.5
non-invaded;4;1;62.5;10;20
non-invaded;4;2;37.5;62.5;20
non-invaded;4;3;37.5;62.5;37.5
non-invaded;4;4;10;62.5;62.5
non-invaded;5;1;20;20;37.5
non-invaded;5;2;37.5;62.5;37.5
non-invaded;5;3;37.5;37.5;37.5
non-invaded;5;4;37.5;37.5;37.5
non-invaded;6;1;2.5;37.5;20
non-invaded;6;2;2.5;62.5;37.5
non-invaded;6;3;20;62.5;62.5
non-invaded;6;4;10;37.5;62.5
non-invaded;7;1;2.5;37.5;62.5
non-invaded;7;2;2.5;37.5;37.5
non-invaded;7;3;2.5;37.5;87.5
non-invaded;7;4;10;2.5;37.5
non-invaded;8;1;10;37.5;20
non-invaded;8;2;2.5;87.5;2.5
non-invaded;8;3;10;87.5;2.5
non-invaded;8;4;10;37.5;37.5
non-invaded;9;1;2.5;62.5;62.5
non-invaded;9;2;2.5;2.5;87.5
non-invaded;9;3;2.5;87.5;2.5
non-invaded;9;4;2.5;87.5;20
non-invaded;10;1;37.5;10;37.5
non-invaded;10;2;20;20;37.5
non-invaded;10;3;2.5;87.5;2.5
non-invaded;10;4;20;62.5;10
non-invaded;11;1;10;87.5;37.5
non-invaded;11;2;62.5;10;20
non-invaded;11;3;37.5;10;62.5
non-invaded;11;4;20;37.5;62.5
non-invaded;12;1;2.5;62.5;37.5
non-invaded;12;2;10;20;62.5
non-invaded;12;3;37.5;2.5;37.5
non-invaded;12;4;62.5;2.5;62.5
non-invaded;13;1;2.5;87.5;37.5
non-invaded;13;2;62.5;37.5;37.5
non-invaded;13;3;2.5;2.5;87.5
non-invaded;13;4;2.5;37.5;87.5
