Species;Avg_height;Shade_tolerance;Fruit_type;Disp_synd
Aba_lang*;800;no;dry dehiscent;autochory
Alc_gland;140;no;dry dehiscent;zoochory
Alc_trip;175;no;dry dehiscent;zoochory
And_frax*;107.33;no;fleshy indehiscent;zoochory
Bac_drac;141.6;no;dry dehiscent;anemochory
Clu_criu*;255.95;no;dry dehiscent;zoochory
Cou_hexa;115;no;dry dehiscent;anemochory
Dod_visc;163.99;no;dry dehiscent;anemochory
Ery_ampl;205;no;fleshy indehiscent;zoochory
Eug_cath*;164.06;no;fleshy indehiscent;zoochory
Gay_bras;129.01;no;fleshy indehiscent;zoochory
Geo_scho;124;yes;fleshy indehiscent;zoochory
Gua_oppo;197.18;no;fleshy indehiscent;zoochory
Ile_dumo;214.77;no;fleshy indehiscent;zoochory
Ile_para;173;yes;fleshy indehiscent;zoochory
Ile_pseu;312.5;no;fleshy indehiscent;zoochory
Ile_thez;224.43;yes;fleshy indehiscent;zoochory
Lap_fruti*;333.3;yes;dry dehiscent;anemochory
Lit_bras;135;no;fleshy indehiscent;zoochory
Mic_cine*;168;no;fleshy indehiscent;zoochory
Mic_cinn*;405;no;fleshy indehiscent;zoochory
Mic_ling*;230;no;fleshy indehiscent;zoochory
Myr_mult;286.42;no;fleshy indehiscent;zoochory
Myr_palu;153.9;no;fleshy indehiscent;zoochory
Myr_sple;187.62;no;fleshy indehiscent;zoochory
Myr_veno*;176;no;fleshy indehiscent;zoochory
Oco_pulc;265.97;no;fleshy indehiscent;zoochory
Our_Sali*;127.05;no;fleshy indehiscent;zoochory
Pau_trig;135;no;dry dehiscent;zoochory
Per_glab*;160;no;dry dehiscent;zoochory
Pis_amb;170;yes;fleshy indehiscent;zoochory
Psi_catt;199.25;no;fleshy indehiscent;zoochory
Psy_cart;129.8;no;fleshy indehiscent;zoochory
Psy_offi;221.66;yes;fleshy indehiscent;zoochory
Smi_camp*;114.38;no;fleshy indehiscent;zoochory
Ter_bras*;126.27;no;fleshy indehiscent;zoochory
Tib_urve*;115.88;yes;dry dehiscent;anemochory
Vit_mont*;142.61;no;fleshy indehiscent;zoochory
Wei_disc;503.63;no;dry dehiscent;anemochory
