cond;plot;n_adults;n_reg
invaded;1;4;0
invaded;2;4;26
invaded;3;2;80
invaded;4;4;37
invaded;5;3;1
invaded;6;3;0
invaded;7;1;0
invaded;8;1;0
invaded;9;5;2
invaded;10;5;0
invaded;11;1;0
invaded;12;1;0
invaded;13;12;4
invaded;14;10;2
invaded;15;4;4
invaded;16;4;5
invaded;17;3;6
invaded;18;4;32
invaded;19;2;11
invaded;20;1;1
invaded;21;1;0
invaded;22;2;1
invaded;23;2;6
invaded;24;20;5
invaded;25;6;3
invaded;26;7;14
invaded;27;3;0
invaded;28;2;0
invaded;29;5;3
invaded;30;1;0
managed;1;0;2
managed;2;0;1
managed;3;0;1
managed;4;5;1
managed;5;4;8
managed;6;12;4
managed;7;3;28
managed;8;5;26
managed;9;0;3
managed;10;2;4
managed;11;1;0
managed;12;3;2
managed;13;1;0
managed;14;2;17
managed;15;2;3
managed;16;1;0
managed;17;1;0
managed;18;1;3
managed;19;1;1
managed;20;2;3
managed;21;1;0
managed;22;1;1
managed;23;4;9
managed;24;1;4
managed;25;3;3
managed;26;3;0
managed;27;2;1
managed;28;1;1
managed;29;1;1
managed;30;1;0
