cond;plot;subplot;species;n_ind;caract
non-invaded;1;1;Gay_bras;14;len
non-invaded;1;1;Smi_camp ;2;len
non-invaded;1;1;Bac_drac ;1;len
non-invaded;1;1;Dio_radu;0;nlen
non-invaded;1;1;Ple_lepi;0;nlen
non-invaded;1;1;Cyr_flav;0;nlen
non-invaded;1;1;rynchospora ;0;nlen
non-invaded;1;2;Gay_bras;4;len
non-invaded;1;2;Ouratea;2;len
non-invaded;1;2;Smi_camp ;4;len
non-invaded;1;2;rynchospora ;0;nlen
non-invaded;1;3;Gay_bras;8;len
non-invaded;1;3;Smi_camp ;2;len
non-invaded;1;3;Myr_palu;1;len
non-invaded;1;3;Epi_fulg;0;nlen
non-invaded;1;3;Ple_lepi;0;nlen
non-invaded;1;3;Dio_radu;0;nlen
non-invaded;1;3;Dyc_ench;0;nlen
non-invaded;1;3;Vri_frib;0;nlen
non-invaded;1;4;Myr_palu;2;len
non-invaded;1;4;Gay_bras;2;len
non-invaded;1;4;Ouratea;2;len
non-invaded;1;4;Smi_camp ;1;len
non-invaded;1;4;Ple_lepi;0;nlen
non-invaded;1;4;Vri_frib;0;nlen
non-invaded;1;4;Epi_fulg;0;nlen
non-invaded;1;4;Rum_adia;0;nlen
non-invaded;1;4;rynchospora ;0;nlen
non-invaded;1;4;Dio_radu;0;nlen
non-invaded;2;1;Smi_camp ;1;len
non-invaded;2;1;Dod_visc;1;len
non-invaded;2;1;Tib_urvi;1;len
non-invaded;2;1;Clu_criu;1;len
non-invaded;2;1;Vri_frib;0;nlen
non-invaded;2;1;Epi_fulg;0;nlen
non-invaded;2;1;Dyc_ench;0;nlen
non-invaded;2;1;Coc_lanc;0;nlen
non-invaded;2;1;Cyr_flav;0;nlen
non-invaded;2;1;Rum_adia;0;nlen
non-invaded;2;1;Dio_radu;0;nlen
non-invaded;2;1;Tillandsia sp. ;0;nlen
non-invaded;2;1;C8;0;nlen
non-invaded;2;1;C1;0;nlen
non-invaded;2;2;Gay_bras;2;len
non-invaded;2;2;Smi_camp ;1;len
non-invaded;2;2;Ouratea;1;len
non-invaded;2;2;C3;1;len
non-invaded;2;2;C4;1;len
non-invaded;2;2;Act_poly;0;nlen
non-invaded;2;2;Rum_adia;0;nlen
non-invaded;2;2;Ser_lati;0;nlen
non-invaded;2;2;C5;0;nlen
non-invaded;2;2;C6;0;nlen
non-invaded;2;2;Seb_corn;0;nlen
non-invaded;2;2;Dio_radu;0;nlen
non-invaded;2;2;Epi_fulg;0;nlen
non-invaded;2;2;Cup_hyss;0;nlen
non-invaded;2;3;Gay_bras;8;len
non-invaded;2;3;Tib_urvi;2;len
non-invaded;2;3;Ter_bras;1;len
non-invaded;2;3;Act_poly;0;nlen
non-invaded;2;3;Dyc_ench;0;nlen
non-invaded;2;3;Epi_fulg;0;nlen
non-invaded;2;3;C6;0;nlen
non-invaded;2;3;C8;0;nlen
non-invaded;2;3;Vri_frib;0;nlen
non-invaded;2;3;C1;0;nlen
non-invaded;2;4;Smi_camp ;1;len
non-invaded;2;4;Epi_fulg;0;nlen
non-invaded;2;4;Dyc_ench;0;nlen
non-invaded;2;4;Act_poly;0;nlen
non-invaded;2;4;C10;0;nlen
non-invaded;2;4;C11;0;nlen
non-invaded;2;4;C12;0;nlen
non-invaded;3;1;Ouratea;4;len
non-invaded;3;1;Gay_bras;10;len
non-invaded;3;1;Gua_oppo;2;len
non-invaded;3;1;Vit_mont;1;len
non-invaded;3;1;Smi_camp ;2;len
non-invaded;3;1;Cyr_flav;0;nlen
non-invaded;3;1;Dio_radu;0;nlen
non-invaded;3;1;Ple_lepi;0;nlen
non-invaded;3;1;Rum_adia;0;nlen
non-invaded;3;1;Vri_frib;0;nlen
non-invaded;3;1;Rha_madi ;0;nlen
non-invaded;3;1;C16;0;nlen
non-invaded;3;2;Smi_camp ;2;len
non-invaded;3;2;Eug_cath;3;len
non-invaded;3;2;Gay_bras;2;len
non-invaded;3;2;Bac_drac ;2;len
non-invaded;3;2;Rum_adia;0;nlen
non-invaded;3;2;Vri_frib;0;nlen
non-invaded;3;2;Dio_radu;0;nlen
non-invaded;3;2;Pep_glab;0;nlen
non-invaded;3;2;Act_poly;0;nlen
