cond;plot;n_ind;species;height_cm
non-invaded;1;1;Gay_bras;140
non-invaded;1;2;Dod_visc;140
non-invaded;1;3;Gay_bras;120
non-invaded;1;4;Gay_bras;128
non-invaded;1;5;Dod_visc;150
non-invaded;1;6;Gay_bras;122
non-invaded;1;7;Eug_subt;102
non-invaded;1;8;Gay_bras;160
non-invaded;1;9;Dod_visc;160
non-invaded;1;10;Gay_bras;130
non-invaded;1;11;Gay_bras;120
non-invaded;1;12;Gay_bras;110
non-invaded;1;13;Gay_bras;165
non-invaded;1;14;Ouratea;145
non-invaded;1;15;Vit_mont;145
non-invaded;1;16;Myr_palu;140
non-invaded;1;17;Ouratea;145
non-invaded;1;18;Gay_bras;170
non-invaded;1;19;Gay_bras;150
non-invaded;1;20;Ouratea;160
non-invaded;1;21;Myr_palu;165
non-invaded;1;22;Gay_bras;170
non-invaded;1;23;Gay_bras;155
non-invaded;1;24;Gay_bras;150
non-invaded;1;25;Ouratea;135
non-invaded;1;26;Gua_oppo;120
non-invaded;1;27;Gua_oppo;130
non-invaded;1;28;Psy_cart;122
non-invaded;1;29;Myr_palu;110
non-invaded;1;30;Myr_palu;130
non-invaded;1;31;Myr_palu;110
non-invaded;1;32;Dod_visc;180
non-invaded;1;33;Gay_bras;120
non-invaded;1;34;Vit_mont;115
non-invaded;1;35;Dod_visc;130
non-invaded;1;36;Gay_bras;120
non-invaded;1;37;Gay_bras;120
non-invaded;1;38;Gay_bras;120
non-invaded;1;39;Gay_bras;110
non-invaded;1;40;Gay_bras;130
non-invaded;1;41;Dod_visc;165
non-invaded;1;42;Dod_visc;140
non-invaded;2;43;Psy_cart;135
non-invaded;2;44;Gay_bras;150
non-invaded;2;45;Gay_bras;138
non-invaded;2;46;Ouratea ;120
non-invaded;2;47;Ouratea ;170
non-invaded;2;48;Ile_dumo;170
non-invaded;2;49;Gay_bras;130
non-invaded;2;50;Gay_bras;120
non-invaded;2;51;Gay_bras;135
non-invaded;2;52;Smi_camp;110
non-invaded;2;53;Gay_bras;150
non-invaded;2;54;Gay_bras;150
non-invaded;2;55;Gay_bras;110
non-invaded;2;56;Gay_bras;130
non-invaded;2;57;Gay_bras;110
non-invaded;2;58;Gay_bras;115
non-invaded;2;59;Gay_bras;150
non-invaded;2;60;Eug_cath;240
non-invaded;2;61;Eug_cath;115
non-invaded;3;62;Vit_mont;150
non-invaded;3;63;Psi_catt;135
non-invaded;3;64;Dod_visc;115
non-invaded;3;65;Dod_visc;160
non-invaded;3;66;Eug_cath;190
non-invaded;3;67;Gay_bras;109
non-invaded;3;68;Bac_drac ;105
non-invaded;3;69;Eug_cath;210
non-invaded;3;70;Gay_bras;115
non-invaded;3;71;Gay_bras;125
non-invaded;3;72;Gay_bras;130
non-invaded;3;73;Gay_bras;140
non-invaded;3;74;Gay_bras;120
non-invaded;3;75;Ouratea;115
non-invaded;3;76;Bac_drac ;310
non-invaded;4;77;Eug_cath;120
non-invaded;4;78;Eug_cath;135
non-invaded;4;79;Oco_pulc;138
non-invaded;4;80;Gua_oppo;240
non-invaded;4;81;Eug_cath;178
non-invaded;4;82;Gay_bras;110
non-invaded;4;83;Gua_oppo;145
non-invaded;4;84;Dod_visc;187
non-invaded;4;85;Gay_bras;130
non-invaded;4;86;Ouratea;105
non-invaded;4;87;Dod_visc;190
non-invaded;4;88;Gua_oppo;205
non-invaded;4;89;Gua_oppo;150
non-invaded;4;90;Gua_oppo;250
non-invaded;4;91;Dod_visc;200
non-invaded;4;92;Gay_bras;195
non-invaded;4;93;Gua_oppo;190
non-invaded;4;94;Gua_oppo;280
non-invaded;4;95;Gua_oppo;247
non-invaded;4;96;Gua_oppo;240
non-invaded;4;97;C25;130
non-invaded;5;98;Eug_cath;195
non-invaded;5;99;Eug_cath;250
non-invaded;5;100;Psy_cart;110
non-invaded;5;101;Gay_bras;110
non-invaded;5;102;Ouratea;120
non-invaded;5;103;Gua_oppo;210
non-invaded;5;104;Lit_bras;135
non-invaded;5;105;Ouratea;110
non-invaded;5;106;Ouratea;110
non-invaded;5;107;Ouratea;110
non-invaded;5;108;Bac_drac ;180
non-invaded;5;109;Eug_cath;150
non-invaded;5;110;Gay_bras;200
non-invaded;5;111;Gay_bras;160
non-invaded;5;112;Ouratea;120
non-invaded;5;113;Eug_cath;200
non-invaded;6;114;Pau_trig;135
non-invaded;6;115;Ouratea;125
non-invaded;6;116;Ouratea;120
non-invaded;6;117;Gay_bras;150
non-invaded;6;118;Eug_cath;180
non-invaded;6;119;Ouratea;150
non-invaded;6;120;Ouratea;120
non-invaded;6;121;Ouratea;110
non-invaded;6;122;Ouratea;140
non-invaded;6;123;Myr_palu;110
non-invaded;6;124;Dod_visc;170
non-invaded;6;125;Bac_drac ;210
