Site,Species,Treatment,Bat.count,FB.count,Buzz Ratio,Temp,Wind,Humidity,Rainfall
1,P.pip,Control ,114,13,0.114035088,15.36666667,1.933333333,80.66666667,0
2,P.pip,Control ,2,0,0,16.46666667,0.8,78,0
3,P.pip,Control ,46,1,0.02173913,16.23333333,3.333333333,72,0
4,P.pip,Control ,24,3,0.125,16.33333333,1.9,79.33333333,0
5,P.pip,Control ,14,0,0,16.5,0.533333333,88.66666667,0
6,P.pip,Control ,0,0,0,16.73333333,0,94,0
7,P.pip,Control ,9,2,0.222222222,21.2,0.133333333,78.66666667,0
8,P.pip,Control ,4,1,0.25,17.66666667,0,78.33333333,0
9,P.pip,Control ,301,34,0.112956811,15.9,0.666666667,86,0
10,P.pip,Control ,133,10,0.07518797,19.4,0.3,89.66666667,0
1,P.pip,Music,112,12,0.107142857,16.23333333,3.6,90.33333333,0
2,P.pip,Music,2,0,0,17.43333333,1.1,87.33333333,0
3,P.pip,Music,12,5,0.416666667,14.53333333,0.933333333,84,0
4,P.pip,Music,20,3,0.15,15.5,1.133333333,87,0
5,P.pip,Music,46,7,0.152173913,24,1.366666667,56,0
6,P.pip,Music,0,0,0,17.96666667,1.1,90.66666667,0
7,P.pip,Music,0,0,0,14.93333333,0,68.33333333,0
8,P.pip,Music,1,0,0,17.43333333,1.733333333,78.33333333,0
9,P.pip,Music,288,10,0.034722222,18.96666667,0.666666667,90.66666667,0
10,P.pip,Music,79,5,0.063291139,19.6,2,83.66666667,0
1,P.pyg,Control ,9,0,0,15.36666667,1.933333333,80.66666667,0
2,P.pyg,Control ,3,0,0,16.46666667,0.8,78,0
3,P.pyg,Control ,33,3,0.090909091,16.23333333,3.333333333,72,0
4,P.pyg,Control ,3,0,0,16.33333333,1.9,79.33333333,0
5,P.pyg,Control ,0,0,0,16.5,0.533333333,88.66666667,0
6,P.pyg,Control ,3,0,0,16.73333333,0,94,0
7,P.pyg,Control ,14,2,0.142857143,21.2,0.133333333,78.66666667,0
8,P.pyg,Control ,7,0,0,17.66666667,0,78.33333333,0
9,P.pyg,Control ,31,6,0.193548387,15.9,0.666666667,86,0
10,P.pyg,Control ,17,2,0.117647059,19.4,0.3,89.66666667,0
1,P.pyg,Music,6,0,0,16.23333333,3.6,90.33333333,0
2,P.pyg,Music,2,0,0,17.43333333,1.1,87.33333333,0
3,P.pyg,Music,5,0,0,14.53333333,0.933333333,84,0
4,P.pyg,Music,5,3,0.6,15.5,1.133333333,87,0
5,P.pyg,Music,13,0,0,24,1.366666667,56,0
6,P.pyg,Music,0,0,0,17.96666667,1.1,90.66666667,0
7,P.pyg,Music,3,0,0,14.93333333,0,68.33333333,0
8,P.pyg,Music,5,1,0.2,17.43333333,1.733333333,78.33333333,0
9,P.pyg,Music,21,0,0,18.96666667,0.666666667,90.66666667,0
10,P.pyg,Music,63,4,0.063492063,19.6,2,83.66666667,0
1,Nyct.Ept.sp,Control ,2,0,0,15.36666667,1.933333333,80.66666667,0
2,Nyct.Ept.sp,Control ,3,0,0,16.46666667,0.8,78,0
3,Nyct.Ept.sp,Control ,17,4,0.235294118,16.23333333,3.333333333,72,0
4,Nyct.Ept.sp,Control ,2,0,0,16.33333333,1.9,79.33333333,0
5,Nyct.Ept.sp,Control ,31,1,0.032258065,16.5,0.533333333,88.66666667,0
6,Nyct.Ept.sp,Control ,2,0,0,16.73333333,0,94,0
7,Nyct.Ept.sp,Control ,3,0,0,21.2,0.133333333,78.66666667,0
8,Nyct.Ept.sp,Control ,13,3,0.230769231,17.66666667,0,78.33333333,0
9,Nyct.Ept.sp,Control ,4,0,0,15.9,0.666666667,86,0
10,Nyct.Ept.sp,Control ,12,0,0,19.4,0.3,89.66666667,0
1,Nyct.Ept.sp,Music,0,0,0,16.23333333,3.6,90.33333333,0
2,Nyct.Ept.sp,Music,6,0,0,17.43333333,1.1,87.33333333,0
3,Nyct.Ept.sp,Music,18,1,0.055555556,14.53333333,0.933333333,84,0
4,Nyct.Ept.sp,Music,4,0,0,15.5,1.133333333,87,0
5,Nyct.Ept.sp,Music,12,0,0,24,1.366666667,56,0
6,Nyct.Ept.sp,Music,0,0,0,17.96666667,1.1,90.66666667,0
7,Nyct.Ept.sp,Music,1,0,0,14.93333333,0,68.33333333,0
8,Nyct.Ept.sp,Music,9,2,0.222222222,17.43333333,1.733333333,78.33333333,0
9,Nyct.Ept.sp,Music,2,0,0,18.96666667,0.666666667,90.66666667,0
10,Nyct.Ept.sp,Music,3,0,0,19.6,2,83.66666667,0
1,Myotis.sp,Control ,0,0,0,15.36666667,1.933333333,80.66666667,0
2,Myotis.sp,Control ,5,0,0,16.46666667,0.8,78,0
3,Myotis.sp,Control ,3,0,0,16.23333333,3.333333333,72,0
4,Myotis.sp,Control ,3,0,0,16.33333333,1.9,79.33333333,0
5,Myotis.sp,Control ,0,0,0,16.5,0.533333333,88.66666667,0
6,Myotis.sp,Control ,2,0,0,16.73333333,0,94,0
7,Myotis.sp,Control ,2,0,0,21.2,0.133333333,78.66666667,0
8,Myotis.sp,Control ,1,0,0,17.66666667,0,78.33333333,0
9,Myotis.sp,Control ,4,0,0,15.9,0.666666667,86,0
10,Myotis.sp,Control ,136,3,0.022058824,19.4,0.3,89.66666667,0
1,Myotis.sp,Music,1,0,0,16.23333333,3.6,90.33333333,0
2,Myotis.sp,Music,5,0,0,17.43333333,1.1,87.33333333,0
3,Myotis.sp,Music,5,0,0,14.53333333,0.933333333,84,0
4,Myotis.sp,Music,5,0,0,15.5,1.133333333,87,0
5,Myotis.sp,Music,1,0,0,24,1.366666667,56,0
6,Myotis.sp,Music,0,0,0,17.96666667,1.1,90.66666667,0
7,Myotis.sp,Music,0,0,0,14.93333333,0,68.33333333,0
8,Myotis.sp,Music,0,0,0,17.43333333,1.733333333,78.33333333,0
9,Myotis.sp,Music,7,0,0,18.96666667,0.666666667,90.66666667,0
10,Myotis.sp,Music,9,1,0.111111111,19.6,2,83.66666667,0
