species,genus,family
Euterpe_oleracea,Euterpe,Arecaceae
Paspalum_conjugatum ,Paspalum,Poaceae
Cymbopogon_citratus ,Cymbopogon,Poaceae
Cyperus_sp2.,Cyperus,Cyperaceae
Cyperus_sp3.,Cyperus,Cyperaceae
Cyperus_sp. ,Cyperus,Cyperaceae
Zingiber_officinale,Zingiber,Zingiberaceae
Xanthosoma_sagittifolium ,Xanthosoma,Araceae
Dracontium_spruceanum,Dracontium,Araceae
Lippia_alba,Lippia,Verbenaceae
Verbena_litoralis ,Verbena,Verbenaceae
Mansoa_alliacea ,Mansoa,Bignoniaceae
Ocimum_campechianum ,Ocimum,Lamiaceae
Brunfelsia_grandiflora,Brunfelsia,Solanaceae
Nicotiana_rustica ,Nicotiana,Solanaceae
Brugmansia_suaveolens ,Brugmansia,Solanaceae
Physalis_angulata ,Physalis,Solanaceae
Uncaria_tomentosa,Uncaria,Rubiaceae
Capirona_decorticans,Capirona,Rubiaceae
Genipa_americana,Genipa,Rubiaceae
Tabernaemontana_sananho,Tabernaemontana,Apocynaceae
Tagetes_erecta,Tagetes,Asteraceae
Couroupita_guianensis ,Couroupita,Lecythidaceae
Dysphania_ambrosioides,Dysphania,Amaranthaceae
Gomphrena_elegans ,Gomphrena,Amaranthaceae
Petiveria_alliacea ,Petiveria,Phylotaccaceae
Gallesia_integrifolia ,Gallesia,Phylotaccaceae
Phthirusa_pyrifolia ,Phthirusa,Loranthaceae
Dipteryx_odorata ,Dipteryx,Fabaceae
Swartzia_brachyrachis ,Swartzia,Fabaceae
Calliandra_angustifolia ,Calliandra,Fabaceae
Hymenaea_courbaril ,Hymenaea,Fabaceae
Copaifera_langsdorffii,Copaifera,Fabaceae
Campsiandra_angustifolia ,Campsiandra,Fabaceae
Ficus_schultesii ,Ficus,Moraceae
Ficus_sp.,Ficus,Moraceae
Ficus_insipida,Ficus,Moraceae
Brosimum_utile ,Brosimum,Moraceae
Artocarpus_altilis ,Artocarpus,Moraceae
Cecropia_sciadophylla ,Cecropia,Urticaceae
Gouania_lupuloides ,Gouania,Rhamnaceae
Momordica_charantia ,Momordica,Curcubitaceae
Banisteriopsis_caapi,Banisteriopsis,Malpighiaceae
Croton_lechleri ,Croton,Euphorbiaceae
Alchornea_castaneifolia,Alchornea,Euphorbiaceae
Jatropha_gossypifiolia,Jatropha,Euphorbiaceae
Jatropha_curcas,Jatropha,Euphorbiaceae
Hura_crepitans,Hura,Euphorbiaceae
Clusia_rosea ,Clusia,Clusiaceae
Maytenus_krukovii,Maytenus,Celastraceae
Carica_papaya ,Carica,Caricaceae
Bixa_orellana ,Bixa,Bixaceae
Ceiba_pentandra ,Ceiba,Malvaceae
Malachra_alceifolia ,Malachra,Malvaceae
Gossypium_barbadensevarsp.,Gossypium,Malvaceae
Muntingia_calabura,Muntingia,Mutingaceae
Tapirira_guianensis,Tapirira,Anacardiaceae
Spondias_mombin,Spondias,Anacardiaceae
Mangifera_indica,Mangifera,Anacardiaceae
Psidium_guajava,Psidium,Myrtaceae
Abuta_grandifolia ,Abuta,Menispermaceae
Unonopsis_floribunda ,Unonopsis,Annonaceae
