Species,tip_taxa,uv_total,redundancy,use_pressure,preference
Dracontium_spruceanum,Dracontium_spruceanum,0.166666667,3.225806452,5,0
Xanthosoma_sagittifolium_,Xanthosoma_sagittifolium_,0.133333333,0.838709677,20,0
Zingiber_officinale,Zingiber_officinale,0.3,2.967741935,30,0
Euterpe_oleracea,Euterpe_oleracea,0.133333333,0.709677419,5,0
Cyperus_sp._,Cyperus_sp._,0.033333333,0.048387097,0.5,1
Cyperus_sp3.,Cyperus_sp3.,0.033333333,0.080645161,0.5,0
Cyperus_sp2.,Cyperus_sp2.,0.066666667,0.241935484,0.5,0
Cymbopogon_citratus_,Cymbopogon_citratus_,0.233333333,2,40,0
Paspalum_conjugatum_,Paspalum_conjugatum_,0.1,0.032258065,1,1
Unonopsis_floribunda_,Unonopsis_floribunda_,0.166666667,2.838709677,20,1
Abuta_grandifolia_,Abuta_grandifolia_,0.033333333,0.032258065,1,0
Psidium_guajava,Psidium_guajava,0.166666667,0.274193548,10,0
Carica_papaya_,Carica_papaya_,0.133333333,0.774193548,12,0
Bixa_orellana_,Bixa_orellana_,0.066666667,0.080645161,0.1,0
Muntingia_calabura,Muntingia_calabura,0.1,0.274193548,5,0
Malachra_alceifolia_,Malachra_alceifolia_,0.1,1.419354839,40,1
Ceiba_pentandra_,Ceiba_pentandra_,0.066666667,0.080645161,30,0
Gossypium_barbadensevarsp.,Gossypium_barbadensevarsp.,0.2,0.612903226,20,0
Spondias_mombin,Spondias_mombin,0.266666667,2.838709677,50,1
Tapirira_guianensis,Tapirira_guianensis,0.133333333,0.322580645,15,1
Mangifera_indica,Mangifera_indica,0.166666667,0.274193548,15,0
Maytenus_krukovii,Maytenus_krukovii,0.266666667,5.483870968,30,1
Clusia_rosea_,Clusia_rosea_,0.1,1.403225806,10,1
Banisteriopsis_caapi,Banisteriopsis_caapi,0.266666667,0.451612903,110,1
Alchornea_castaneifolia,Alchornea_castaneifolia,0.066666667,0.274193548,5,0
Croton_lechleri_,Croton_lechleri_,0.233333333,1.258064516,1,0
Jatropha_gossypifiolia,Jatropha_gossypifiolia,0.466666667,5.080645161,10,1
Jatropha_curcas,Jatropha_curcas,0.433333333,8.129032258,10.5,1
Hura_crepitans,Hura_crepitans,0.3,3.838709677,70,1
Momordica_charantia_,Momordica_charantia_,0.1,0.919354839,25,1
Gouania_lupuloides_,Gouania_lupuloides_,0.1,0.709677419,5,0
Cecropia_sciadophylla_,Cecropia_sciadophylla_,0.1,0.080645161,1,0
Artocarpus_altilis_,Artocarpus_altilis_,0.1,0.241935484,0.5,0
Brosimum_utile_,Brosimum_utile_,0.2,1.209677419,1,1
Ficus_sp.,Ficus_sp.,0.066666667,0.080645161,0.25,0
Ficus_schultesii_,Ficus_schultesii_,0.1,0.241935484,1,0
Ficus_insipida,Ficus_insipida,0.233333333,2,10,1
Hymenaea_courbaril_,Hymenaea_courbaril_,0.1,1.306451613,5,0
Copaifera_langsdorffii,Copaifera_langsdorffii,0.2,1.677419355,0.5,1
Campsiandra_angustifolia_,Campsiandra_angustifolia_,0.066666667,0.774193548,5,0
Calliandra_angustifolia_,Calliandra_angustifolia_,0.133333333,0.967741935,1,0
Dipteryx_odorata_,Dipteryx_odorata_,0.066666667,0.080645161,5,0
Swartzia_brachyrachis_,Swartzia_brachyrachis_,0.066666667,0.209677419,5,0
Phthirusa_pyrifolia_,Phthirusa_pyrifolia_,0.1,0.080645161,30,0
Gallesia_integrifolia_,Gallesia_integrifolia_,0.133333333,1.258064516,10,0
Petiveria_alliacea_,Petiveria_alliacea_,0.466666667,2.983870968,60,1
Gomphrena_elegans_,Gomphrena_elegans_,0.266666667,2.774193548,40,0
Dysphania_ambrosioides,Dysphania_ambrosioides,0.333333333,2.709677419,10,1
Couroupita_guianensis_,Couroupita_guianensis_,0.3,5.032258065,55,1
Tagetes_erecta,Tagetes_erecta,0.166666667,1.870967742,30,1
Tabernaemontana_sananho,Tabernaemontana_sananho,0.233333333,3.225806452,5,0
Uncaria_tomentosa,Uncaria_tomentosa,0.233333333,4.838709677,10,1
Capirona_decorticans,Capirona_decorticans,0.4,3.870967742,20,1
Genipa_americana,Genipa_americana,0.266666667,2.016129032,55,1
Brunfelsia_grandiflora,Brunfelsia_grandiflora,0.3,2.580645161,10,1
Nicotiana_rustica_,Nicotiana_rustica_,0.266666667,1.870967742,30,1
Brugmansia_suaveolens_,Brugmansia_suaveolens_,0.1,0.209677419,0.1,0
Physalis_angulata_,Physalis_angulata_,0.1,0.64516129,10.5,0
Lippia_alba,Lippia_alba,0.133333333,0.64516129,15,1
Verbena_litoralis_,Verbena_litoralis_,0.066666667,0.080645161,0.5,1
Mansoa_alliacea_,Mansoa_alliacea_,0.266666667,4.161290323,70,1
Ocimum_campechianum_,Ocimum_campechianum_,0.3,5.870967742,15,1
