ID,Statement
s1,Grizzly bear reintroductions will negatively impact hunting opportunities.
s10,People will learn to recreate and coexist safely with bears in the NCE given proper education and tools.
s11,"Wherever grizzly bears thrive, so does wildness, clean water, and abundant fish and wildlife."
s12,We have a moral and ethical obligation to restore grizzly bears and other native species that we have wiped out in past generations.
s13,"I want to pass down a wild landscape that includes all native species, including the grizzly bear."
s14,I believe that reintroducing grizzly bears to the NCE would simply be another tool to try and keep people out of the wilderness.
s15,The risk of economic losses or damage to property outweighs the value of having wild predators in the ecosystem.
s16,Public meetings are just a requirement for agencies and do not allow for meaningful input and discussion. 
s17,The potential stress to individual bears during the translocation process is more important to me than establishing a new grizzly bear population in the NCE.
s18,"I would support grizzly bear reintroduction only if there is more management flexibility to deal with bears (i.e., if NCE grizzlies are designated as a “nonessential, experimental population” under 10(j))."
s19,"The reintroduction of formerly native wildlife should be prioritized only if there is a demonstrable, ecological need. "
s2,"Other grizzly populations are abundant enough to prevent the species from going extinct, so we do not need to reintroduce them to the NCE."
s20,Tourism is an important consideration for reintroducing grizzly bears to the NCE.
s21,The key to successful grizzly bear restoration lies in giving local citizens a larger and more meaningful role in bear management.
s22,Loss of crops to wildlife is an inherent challenge when farming near wilderness areas.
s23,The reintroduction of grizzly bears to the NCE would threaten my way of life.
s24,It would be unethical to reintroduce grizzly bears to the NCE because they may come into conflict with people and need to be heavily managed.
s25,I would not be able to relax and recreate in the North Cascades wilderness if grizzly bears returned to the ecosystem.
s26,"There are too many people, too few food resources, and inadequate habitat in the NCE for grizzly bears to be compatible with our society today."
s27,I feel like agencies do not care about the people living near proposed grizzly reintroduction areas.
s28,Any risk to human life is unacceptable.
s29,I should not have to fear for my safety from wildlife while working or recreating on my own land.
s3,Grizzly bear reintroductions and presence will hinder other critical land management activities such as fire prevention and road and trail maintenance.
s30,Grizzly bear reintroductions will negatively impact natural resource-based livelihoods.
s31,"I am concerned that grizzly bears reintroduced to the NCE would become used to human interaction and eventually lose their fear of people, making them more dangerous. "
s32,Agencies should focus their efforts and funding on the conservation of existing wildlife populations that are declining before reintroducing grizzly bears.
s33,There are not enough committed resources for the agencies to adequately manage a grizzly bear reintroduction.
s34,People should have a choice on whether grizzly bears are to be reintroduced in the NCE.
s35,Fears of grizzly attacks on livestock and people are overblown.
s36,"A thorough management plan for dealing with conflicts between grizzly bears, livestock, and people must be in place before reintroductions occur."
s37,Loss of livestock to predators is a risk ranchers must accept when grazing on public lands.
s38,Grizzly bears play important roles in seed and nutrient dispersal and in maintaining healthy prey populations.
s39,"I would be okay with short-term restrictions to wilderness access due to grizzly bear reintroductions or presence, when necessary, to prevent human-bear conflicts."
s4,The recovery of grizzly bears in the US since they were listed under the Endangered Species Act has become one of the greatest US conservation success stories.
s40,It is imperative that we help grizzlies flourish in areas of their native range that are still habitable for them.
s41,Supporting Tribes’ and First Nations’ cultural values and their treaty rights regarding grizzly bears is an important consideration for reintroduction.
s5,The only way to restore the grizzly bear population in the NCE is to translocate bears from other populations.
s6,"The status of grizzly bears in the NCE under the Endangered Species Act (i.e., federally threatened, experimental population, or delisted) influences my opinion about reintroduction."
s7,Grizzly bears are an iconic symbol of American wilderness.
s8,The main focus of the agencies must be on the health of the ecosystem.
s9,Restoring grizzly bears to the NCE is the conservation ethic that America should be demonstrating.
