Date,River,River Status,Time in,Time out,Pot,Male,Female,Male Carapace Length (cm),Male Carapace Length 2 (cm),Female Carapace Length (cm),Female Carapace Length 2 (cm),Comments
21/11/2018,Piyai Besar,Closed,0747,1359,1,,,,,,,
21/11/2018,Piyai Besar,Closed,0753,1410,2,,,,,,,
21/11/2018,Piyai Besar,Closed,0757,1412,3,,,,,,,
21/11/2018,Piyai Besar,Closed,0801,1414,4,1,,12.2,,,,
21/11/2018,Piyai Besar,Closed,0807,1422,5,,,,,,,
21/11/2018,Piyai Besar,Closed,0837,1401,6,,,,,,,
22/11/2018,Piyai Kecil,Closed,0740,1303,1,,,,,,,
22/11/2018,Piyai Kecil,Closed,0740,1303,2,,,,,,,
22/11/2018,Piyai Kecil,Closed,0746,1307,3,,,,,,,
22/11/2018,Piyai Kecil,Closed,0757,1314,4,,,,,,,
22/11/2018,Piyai Kecil,Closed,0800,1317,5,,,,,,,
22/11/2018,Piyai Kecil,Closed,0804,1321,6,,,,,,,
22/11/2018,Piyai Kecil,Closed,0807,1324,7,,,,,,,
23/11/2018,Panjang Kecil,Closed,0757,1405,1,,,,,,,
23/11/2018,Panjang Kecil,Closed,0759,1408,2,,,,,,,
23/11/2018,Panjang Kecil,Closed,0801,1410,3,1,,5.1,,,,
23/11/2018,Panjang Kecil,Closed,0803,1413,4,,,,,,,
23/11/2018,Panjang Kecil,Closed,0805,1416,5,1,,5,,,,
23/11/2018,Panjang Kecil,Closed,0805,1416,6,,,,,,,
23/11/2018,Panjang Kecil,Closed,0806,1419,7,,,,,,,
23/11/2018,Panjang Kecil,Closed,0811,1424,8,1,,6,,,,
24/11/2018,Panjang Besar,Open,0758,1124,1,,,,,,,
24/11/2018,Panjang Besar,Open,0804,1131,2,,,,,,,
24/11/2018,Panjang Besar,Open,0806,1134,3,1,,10,,,,
24/11/2018,Panjang Besar,Open,0808,1138,4,,,,,,,
24/11/2018,Panjang Besar,Open,0810,1141,5,,,,,,,
24/11/2018,Panjang Besar,Open,0810,1141,6,,,,,,,
24/11/2018,Panjang Besar,Open,0812,1144,7,,,,,,,
24/11/2018,Panjang Besar,Open,0817,1147,8,,,,,,,
25/11/2018,Gundi Besar,Open,0600,1100,1,,1,,,14,,
25/11/2018,Gundi Besar,Open,0600,1100,2,1,,14,,,,
25/11/2018,Gundi Besar,Open,0600,1100,3,1,,12.2,,,,
25/11/2018,Gundi Besar,Open,0600,1100,4,1,,13,,,,
25/11/2018,Gundi Besar,Open,0600,1100,5,,1,,,12.4,,
25/11/2018,Gundi Besar,Open,0600,1100,6,,1,,,13.2,,
25/11/2018,Gundi Besar,Open,0600,1100,7,,1,,,11.2,,
25/11/2018,Gundi Besar,Open,0600,1100,8,1,,11.4,,,,
25/11/2018,Gundi Besar,Open,0600,1100,9,1,,11,,,,
25/11/2018,Gundi Besar,Open,0600,1100,10,,1,,,13.4,,
25/11/2018,Gundi Besar,Open,0600,1100,11,,1,,,12.3,,
25/11/2018,Gundi Besar,Open,0600,1100,12,,,,,,,
25/11/2018,Gundi Besar,Open,0600,1100,13,,,,,,,
25/11/2018,Gundi Besar,Open,0600,1100,14,,,12,,,,
25/11/2018,Gundi Besar,Open,0600,1100,15,,,,,,,
25/11/2018,Gundi Besar,Open,0600,1100,16,,,,,,,
25/11/2018,Gundi Besar,Open,0600,1100,17,,,,,,,
25/11/2018,Gundi Besar,Open,0600,1100,18,,,,,,,
25/11/2018,Gundi Besar,Open,0600,1100,19,,,,,,,
25/11/2018,Gundi Besar,Open,0600,1100,20,,,,,,,
25/11/2018,Gundi Besar,Open,0600,1100,21,,,,,,,
25/11/2018,Gundi Besar,Open,0600,1100,22,,,8,,,,
25/11/2018,Gundi Besar,Open,0600,1100,23,,,,,,,
25/11/2018,Gundi Besar,Open,0600,1100,24,1,,13.8,,,,
