ident,web,state,trec3,noman2,protect2,restore2,wnoman2,wprotect2,wrestore2,women,spend2,polview2,seeind2,nepind2,gccind2
1,1,2,,3,3,3,3,3,3,,,,.5,2.4444444,1
2,1,1,3,2,3,3,2,3,3,0,1,4,3,3.1111112,3.5
3,1,2,2,4,5,5,4,5,5,0,1,2,2,4.5555553,2
4,1,1,5,2,4,4,3,4,5,0,0,2,2.5,2.5555556,1.5
5,1,1,4,3,4,4,3,4,4,1,.5,4,1.5,3.1111112,2.5
6,1,2,2,3,5,5,3,5,5,0,.5,3,1,4.2222223,5
7,1,1,5,1,5,5,1,5,5,0,.5,6,2.5,4.1111112,5
8,1,2,5,,5,,,,5,0,1,1,1,3.6666667,1.5
9,1,3,2,3,5,5,3,5,5,1,.5,2,3,,3
10,1,3,4,3,4,4,3,4,3,0,1,4,1,4.7777777,4.5
11,1,1,4,2,5,5,2,4,5,0,1,5,2,3.2222223,4.5
12,1,2,5,4,4,5,4,4,5,,.5,,2.5,2.3333333,
13,1,3,5,3,4,4,3,4,3,0,.5,2,2,3.4444444,2.5
14,1,1,4,3,3,3,3,3,3,1,.5,2,2,2.8888888,3.5
15,1,3,3,2,4,4,2,4,4,0,1,6,1,4.1111112,4.5
16,1,3,5,2,4,5,2,4,5,1,1,2,3,3,4
17,1,3,5,1,5,5,2,5,5,0,1,5,2,4.5555553,5
18,1,1,5,2,4,5,3,3,3,1,.5,6,2.5,3.2222223,5
19,1,1,1,2,5,5,2,5,5,0,.5,4,2,3.4444444,4
20,1,3,1,3,4,4,3,4,4,0,0,1,1.5,2.5555556,1.5
21,1,2,5,1,5,5,4,4,4,0,1,7,2,3.3333333,5
22,1,3,5,2,5,4,2,5,4,1,.5,1,1,3.8888888,2
23,1,1,5,2,4,5,2,4,4,0,1,4,2.5,3.3333333,4.5
24,1,1,5,2,5,5,3,4,4,0,1,5,2.5,3.7777777,3
25,1,1,2,1,4,4,2,4,4,1,.5,4,3,3.1111112,3.5
26,1,3,,3,3,3,3,3,3,1,0,5,0,3,2.5
27,1,3,5,2,4,5,2,4,4,0,.5,4,2.5,3,4
28,1,3,5,2,4,4,4,4,4,0,1,2,3,3.4444444,4.5
29,1,3,5,3,4,4,3,4,4,0,0,3,0,2.8888888,4.5
30,1,1,5,4,2,2,4,2,2,0,.5,4,2,3.2222223,4
31,1,2,5,1,5,5,2,4,4,0,.5,4,2.5,3.6666667,4
32,1,2,5,3,4,4,3,4,4,0,.5,4,2,3.2222223,3.5
33,1,1,5,3,3,5,4,4,4,0,0,2,,2.6666667,1.5
34,1,1,5,1,5,5,1,5,5,0,1,4,2.5,3,5
35,1,3,5,2,5,5,2,5,5,0,.5,4,2,3.7777777,4.5
36,1,2,5,3,4,3,3,3,3,1,0,4,2,3.1111112,2.5
37,1,2,5,,5,5,3,3,3,1,.5,4,2.5,2.4444444,4
38,1,1,5,5,3,4,5,2,4,0,.5,2,3,2.8888888,1.5
39,1,1,4,2,5,5,1,5,5,0,.5,3,2,3.3333333,4
40,1,1,4,2,2,5,4,2,2,0,1,4,2,4.2222223,3
41,1,1,5,2,4,4,3,4,4,0,0,4,2.5,3.4444444,4
42,1,1,3,2,4,5,3,3,3,0,.5,4,2,3.5555556,3.5
43,1,1,5,3,3,4,3,4,4,1,.5,4,3,3.3333333,2.5
44,1,1,4,2,4,4,2,4,4,0,.5,4,0,3.3333333,4
45,1,2,5,2,3,4,2,3,4,0,1,4,2.5,3.5555556,5
46,1,1,3,1,5,5,1,5,5,0,1,4,0,4,4.5
47,1,1,5,,4,4,,4,4,0,1,6,1.5,3.3333333,5
48,1,3,5,1,4,5,1,5,5,0,1,5,3,4.1111112,5
49,1,2,3,5,2,2,5,1,1,0,.5,7,2,3.6666667,5
50,1,2,5,1,4,5,1,4,4,0,.5,2,3,3.1111112,3
51,1,2,5,2,4,4,3,3,3,0,.5,4,2,3.7777777,3
52,1,2,,1,4,5,1,4,5,0,.5,2,2.5,3.5555556,3
53,1,3,3,3,4,4,3,4,4,0,.5,2,2.5,2.4444444,3
54,1,2,3,3,4,2,3,4,2,0,0,3,3,3,2
55,1,2,5,3,4,4,5,4,4,0,.5,4,3,4.2222223,4.5
56,1,1,5,3,5,3,3,3,3,0,.5,3,2,3.3333333,3
57,1,1,3,2,4,5,2,4,5,0,.5,4,3,3.5555556,4
58,1,1,3,5,4,4,4,4,4,0,.5,4,2,3.7777777,3
59,1,2,5,1,5,5,1,5,5,1,.5,4,2.5,4.3333335,3.5
60,1,1,5,3,3,4,3,3,4,0,.5,2,2.5,2.7777777,1
61,1,1,5,1,5,4,1,4,4,0,1,7,2,4.2222223,4.5
62,1,3,5,1,5,5,1,5,5,1,1,4,3,2.5555556,2.5
63,1,2,3,1,3,5,1,5,5,0,0,3,0,2.2222223,2
64,1,2,5,4,4,4,4,4,4,1,.5,3,2,3.8888888,4.5
65,1,1,3,4,2,4,5,2,4,1,.5,4,1,3.4444444,4
66,1,2,3,3,5,2,3,4,1,0,1,4,2,3.5555556,3
67,1,1,2,2,4,4,3,3,3,1,.5,4,2.5,,4
68,1,2,5,3,4,5,3,4,4,1,.5,6,2,3.8888888,5
69,1,3,2,2,4,4,2,4,4,1,.5,6,1.5,3.6666667,5
70,1,1,5,3,4,4,4,3,3,0,,,1.5,4.6666665,
71,1,2,5,3,4,4,1,4,4,0,0,2,3,2.5555556,1.5
72,1,3,5,3,3,3,3,3,3,0,1,4,2,3.8888888,2
73,1,3,5,4,4,5,4,4,5,1,.5,1,2.5,2.6666667,2
