site,name,area,ph,O2,Temp,TDS,Conductivity,Fluoride,Chloride,Nitrite,Bromide,Nitrate,Phosphate,Sulfate,TOC,fungus,month
impact1,Dorchester,downstream,6.6,8.8,12.2,300,570,0.052,19.4304,0.0342,0.0604,22.7717,0.0434,12.0441,2.92,224,November
impact1,Dorchester,downstream,6.8,8.6,12.3,301,560,0.0557,19.0537,0.026,0.0865,23.0568,0.0434,12.2972,2.8,177,November
impact1,Dorchester,downstream,7.1,8.01,12,305,569,0.049,18.3257,0.0209,0.0577,22.3621,0.0434,11.8387,2.98,200.5,November
impact3,Iwerne Minster,downstream,7,7.3,12.5,595,600,0.0634,22.2959,0.2464,0.065,33.3385,0.4633,21.8714,2.64,332,November
impact3,Iwerne Minster,downstream,6.9,7.44,12.4,596,580,0.0539,18.8935,0.1212,0.0614,29.9434,0.0557,20.6862,2.49,330,November
impact3,Iwerne Minster,downstream,7.11,7.5,12.6,595,581,0.0552,19.2477,0.0982,0.1064,29.8426,0.2595,21.1411,2.01,331,November
impact5,Wellington,downstream,7,7.9,11.3,300,520,0.0573,18.013,0.1846,0.0602,19.0788,0.0555,12.7569,3.74,350,November
impact5,Wellington,downstream,7,7.7,11.5,300,512,0.0629,16.8976,0.3665,0.0575,19.1914,0.1093,12.7553,3.01,268,November
impact5,Wellington,downstream,6.87,8.5,11,302,519,0.0617,16.4092,0.1155,0.0501,17.9686,0.0356,12.4457,2.81,309,November
impact6,Podimore,downstream,7.1,5.43,12,423,900,0.282,52.856,0.9039,0.0984,17.9001,0.4349,36.2662,5.13,360,November
impact6,Podimore,downstream,7.08,5.6,12.1,444,888,0.2847,52.8142,0.8659,0.0933,18.3647,0.3873,36.6797,5.31,400,November
impact6,Podimore,downstream,7.01,5.32,12.4,431,890,0.28,52.0334,1.0949,0.0959,18.0669,0.3506,36.2431,5.08,380,November
impact7,Bradford on Tone,downstream,7,5.9,12.5,534,540,0.0791,34.0478,1.2802,0.0553,48.5424,3.1687,33.2642,5.96,1053,November
