Site,Undamaged,Damaged,Spellet,Tpellet,Raps,Sforage,Tforage,Feeding_dist,Feeding_dist_km
1,76,24,1.6,1.272727273,0.6,0.013,0.062727273,188,0.188
1,97,3,0.3,0.6,0.8,0.024,0.0245,108,0.108
1,63,37,2.7,1.055555556,0.9,0.001,0.061111111,219,0.219
1,82,18,1.5,1.214285714,0.8,0.069,0.032857143,37,0.037
1,97,3,1.1,0.368421053,0.6,0.022,0.045789474,61,0.061
1,60,40,0.5,0.416666667,0.3,0,0.0475,79,0.079
1,91,9,1.2,0.476190476,0.7,0.006,0.03,72,0.072
1,100,0,1.1,0.45,1.5,0.029,0.022,0,0
1,100,0,0,0,1.3,0,0.076666666,105,0.105
2,71,29,1,0.291666667,0.8,0.01,0.037916667,33,0.033
2,93,7,0.1,0.157894737,0,0.016,0.045714286,53,0.053
2,82,18,0.4,0.181818182,0,0.004,0.033157895,35,0.035
2,50,50,1.4,0.166666667,0.5,0.036,0.048181818,212,0.212
2,84,16,0.1,0.363636364,0.12,0,0.019166667,285,0.285
2,66,34,0.5,0.307692308,0,0.024,0.036090909,18,0.018
3,96,4,0.1,0.307692308,0,0.096,0.051538461,140,0.14
3,92,8,0.1,0,0.1,0.045,0.033,241,0.241
3,94,6,0.6,0.3125,1.2,0.085,0.020625,20,0.02
3,27,73,1.1,0.066666667,0,0.006,0.064666666,211,0.211
3,91,9,1.2,0.083333333,0.8,0.004,0.026666667,499,0.499
3,76,24,1.2,0.357142857,1,0.029,0.024285715,159,0.159
4,96,4,0.1,0.7,2,0.005,0.0425,507,0.507
4,51,49,1.3,0.117647059,0.8,0.014,0.061176471,1180,1.18
4,72,28,0.7,1.181818182,0.8,0,0.067727273,241,0.241
4,71,29,1.2,0.541666667,0.8,0.002,0.062083334,242,0.242
4,76,24,0.8,0.625,0.6,0.029,0.038333334,148,0.148
4,85,15,0.4,0.142857143,0.6,0.024,0.044761905,234,0.234
4,81,19,0.7,0.111111111,0.5,0.007,0.003888889,234,0.234
4,90,10,0.9,0.173913043,2,0.013,0.027826087,434,0.434
4,71,29,1.4,0.458333333,2,0.004,0.0975,180,0.18
4,93,7,1.1,0.434782609,2,0.018,0.033478261,564,0.564
5,93,7,0.5,0.090909091,1.7,0.02,0.038181818,313,0.313
5,74,26,0.8,0.347826087,1.3,0.028,0.04,201,0.201
5,88,12,0.2,0.333333333,1.5,0.043,0.025032679,72,0.072
5,57,43,0.7,0.333333333,1.4,0.014,0.057333334,405,0.405
5,85,15,0.8,0.235294118,1.4,0.002,0.040588236,449,0.449
5,91,9,0.8,0.25,1.8,0.01,0.079,42,0.042
5,90,10,0.7,0.35,2.2,0.008,0.02,323,0.323
6,83,17,1.1,0.411764706,1.2,0,0.032352941,160,0.16
6,48,52,3,0.782608696,2.3,0,0.000869565,282,0.282
6,77,23,2.1,1.235294118,2.5,0,0.027647059,85,0.085
6,95,5,0.2,0.666666667,3,0,0.035333334,110,0.11
6,97,3,0.1,0.047619048,3,0,0.022857143,217,0.217
6,81,19,1.7,1.071428571,2.7,0,0.022142857,172,0.172
6,45,55,0.8,0.476190476,2.1,0.008,0.014285714,321,0.321
6,86,14,0.3,0.307692308,1.7,0,0.023846154,92,0.092
6,85,15,0.9,0.666666667,1.7,0,0.009047619,163,0.163
6,97,3,0.8,0.294117647,1.5,0.004,0.026691176,94,0.094
7,94,6,0.8,0.125,2.2,0.006,0.05125,1240,1.24
7,90,10,2.2,0,0.7,0.004,0.010833333,7000,7
8,70,30,1.4,0.4,0.5,0.004,0.034,34,0.034
8,96,4,0.5,0.136363636,1.7,0.019,0.027619048,28,0.028
8,87,13,1.5,0.3125,0.2,0.02,0.008125,76,0.076
8,99,1,0.6,0.208333333,1.9,0.03,0.04,116,0.116
8,95,5,2.1,0.411764706,0.7,0,0.162941177,3980,3.98
9,90,10,1.5,0.5,4,0.007,0.078431373,959,0.959
9,98,2,1.9,0.933333333,4.1,0,0.064666667,1340,1.34
9,100,0,0.6,0,4.1,0.014,0.069166667,2080,2.08
10,98,2,0.5,0,1.4,0.005,0.110714286,337,0.337
10,91,9,1.2,0.333333333,2.4,0,0.064166667,211,0.211
11,100,0,1.1,0.352941176,3,0.014,0.00882353,,0
11,88,12,1,0.391304348,1.3,0.009,0.039565218,254,0.254
11,78,22,2,0.227272727,1.6,0.009,0.020454546,889,0.889
11,94,6,1.3,0.1,1.3,0.009,0.0385,323,0.323
11,94,6,1.2,0.458333333,0.8,0.006,0.04625,165,0.165
11,43,57,3.7,0.263157895,0.14,0,0.042631579,95,0.095
11,92,8,1.1,0.285714286,0.2,0.008,0.045714286,12,0.012
11,85,15,2,0.384615385,1.2,0.009,0.006923077,1290,1.29
11,61,39,1.8,0,0,0.012,0.026111111,976,0.976
11,39,61,3.6,0.136363636,0,0.008,0.053181818,918,0.918
11,94,6,0,0.157894737,1.6,0.019,0.052105263,910,0.91
11,67,33,6.9,0.142857143,1,0.014,0.030714286,1240,1.24
