TRT;BLOCK;S_M2;C_F;C_AG;C_PEG;C_PNG;K_HOME;K_STD;N_MIN;N_MAY08;N_OCT08;N_APR09;HUM_MAY08;HUM_OCT08;HUM_APR09;DTEMP_MAY08;DTEMP_OCT08;DTEMP_APR09;ATEMP_MAY08;ATEMP_OCT08;ATEMP_APR09;SR_OCT08;SR_NOV08;SR_MAR09;SR_APR09
Forb Comm;1;13;80.05;3.38;8.13;2.53;1.851;0.872;0.24;4.50;9.97;10.74;12.36;26.63;10.80;2.70;1.50;2.60;9.30;11.75;14.03;0.41;NA;1.15;NA
;2;15.5;44.20;8.13;4.38;32.88;2.262;0.853;0.28;5.34;6.25;11.88;22.58;36.74;18.16;3.23;1.50;3.15;8.10;12.35;15.00;0.61;0.70;0.67;0.17
;3;13.5;94.78;3.40;3.75;2.50;3.154;0.961;0.37;6.75;10.50;9.85;14.67;29.12;16.99;3.70;4.50;3.60;9.03;12.60;12.87;0.63;0.53;1.31;0.45
;4;10;52.10;3.13;3.13;36.90;2.328;0.755;0.17;7.25;7.95;10.26;27.17;40.64;16.91;NA;3.45;5.50;NA;13.05;13.60;0.34;0.63;NA;0.16
;5;9.5;68.70;2.75;1.50;25.25;2.008;0.847;0.09;3.56;10.40;8.81;10.34;27.41;16.59;NA;3.65;NA;NA;10.95;NA;0.41;0.56;0.79;NA
;6;12.5;71.03;1.25;15.28;7.18;1.176;0.605;0.05;12.83;8.49;12.96;10.40;23.66;12.47;NA;NA;NA;NA;NA;NA;0.54;0.25;1.59;0.39
Annual grasses Comm;1;7;5.93;72.50;0.03;2.75;0.484;0.622;-0.08;5.02;13.69;16.00;16.36;28.60;10.90;6.07;8.80;8.03;11.47;18.80;18.20;0.57;0.61;0.78;NA
;2;7.5;5.08;76.13;0.25;2.63;0.704;1.172;0.02;6.45;13.16;12.75;22.81;41.74;20.26;5.40;4.00;11.15;9.10;13.95;20.25;0.49;0.65;0.56;0.28
;3;4.5;3.38;76.90;0.03;0.00;0.568;0.769;0.32;5.39;11.88;8.60;14.91;30.39;12.45;3.03;5.85;6.83;9.87;13.65;15.27;0.53;0.38;NA;0.24
;4;4;1.48;75.25;0.00;2.13;0.6;0.835;0.01;6.81;18.83;10.34;24.08;34.52;12.94;NA;2.95;4.10;NA;14.20;15.20;0.76;0.68;NA;0.18
;5;4;0.93;78.75;0.25;0.00;0.489;1.128;0.05;5.39;9.81;9.26;18.51;30.83;15.35;NA;4.45;4.67;NA;14.65;16.10;0.6;0.61;0.90;NA
;6;10.5;9.30;42.50;2.78;7.78;0.501;0.663;-0.06;6.38;11.28;10.04;11.09;24.27;11.99;NA;NA;NA;NA;NA;NA;0.31;0.57;0.73;0.23
Exotic perennial Comm;1;3;6.03;0.00;101.25;0.03;0.723;1.356;0.10;9.45;8.67;7.91;17.88;23.64;14.33;2.47;1.45;2.47;9.10;12.05;14.13;0.32;0.52;0.94;NA
;2;6.5;5.20;1.50;95.25;0.25;0.773;0.854;0.01;5.79;15.82;9.60;20.04;40.89;24.79;2.63;2.20;4.45;7.87;10.90;14.30;0.84;0.81;0.94;0.33
;3;4;4.63;0.25;95.00;0.00;0.884;1.197;0.46;6.19;10.67;15.46;11.88;30.54;10.84;3.97;3.05;3.93;9.40;11.85;13.20;0.64;1.09;1.04;0.36
;4;3;3.83;0.00;93.75;0.88;1.058;0.728;0.32;11.96;10.14;7.67;18.53;32.55;18.79;NA;3.45;5.73;NA;13.40;15.30;0.85;1.13;NA;0.48
;5;3.5;4.95;0.63;93.13;0.00;0.569;0.754;-0.06;5.88;11.99;16.71;13.18;26.82;13.69;NA;4.00;5.33;NA;12.95;15.23;0.48;0.70;0.87;0.42
;6;2.5;2.35;0.00;95.00;0.00;0.66;NA;-0.19;5.89;11.86;8.44;11.35;29.33;16.25;NA;NA;NA;NA;NA;NA;0.68;0.99;1.04;0.46
Native perennial Comm;1;10;5.90;3.40;5.00;49.80;0.316;0.832;-0.20;5.71;16.04;7.30;15.66;28.82;18.13;4.50;3.10;5.30;11.10;12.50;17.20;0.47;0.12;0.70;NA
;2;13.5;4.30;0.65;5.25;56.13;0.314;0.579;0.29;5.39;8.61;13.19;22.00;36.99;18.77;3.53;2.05;5.40;9.13;11.50;15.17;0.17;0.67;0.70;0.23
;3;9.5;1.58;0.88;5.88;60.18;0.176;0.293;0.78;4.51;10.03;8.49;11.00;22.23;13.42;4.30;7.75;9.37;9.73;16.45;17.27;0.31;0.77;0.68;0.23
;4;8.5;6.65;0.50;4.00;59.30;0.273;0.627;0.11;4.56;10.87;12.65;19.18;32.06;17.64;NA;4.85;5.27;;13.20;14.20;0.28;0.79;NA;0.31
;5;10.5;1.55;0.65;0.88;56.75;0.288;0.974;0.24;7.47;8.92;6.06;13.01;25.72;10.21;NA;NA;NA;NA;NA;NA;0.37;0.42;0.55;0.20
;6;6;1.13;3.13;50.63;7.18;0.256;NA;-0.08;5.73;10.93;7.87;11.51;-5.21;16.48;NA;NA;NA;NA;NA;NA;0.33;0.70;0.91;0.22
