date,UTC_time_day_location,satcount_day_location,hdop_day_location,speed_km_h,id_factor,UTC_time_night_location,lat_night_location,lon_night_location,used,lon_day_location,lat_day_location,species,crop_original_text,crop_category
14/08/2022,05:11:33,7,1,0,id_201845,00:11:36,59.17288,15.41714,0,15.33578285,59.20312734,crane,Korn (host),barley
12/08/2022,04:11:32,9,1,1,id_201845,00:11:46,59.17852,15.39367,0,15.22816669,59.17011232,crane,Korn (host),barley
16/08/2022,16:11:36,4,2,0,id_201845,00:11:30,59.17173,15.41666,0,15.24652663,59.2026968,crane,Korn (var),barley
05/08/2022,04:11:40,7,1,0,id_201845,00:11:44,59.16148,15.38565,0,15.38398578,59.14716585,crane,Korn (var),barley
16/08/2022,11:26:57,10,1,0,id_201845,00:11:30,59.17173,15.41666,0,15.34474731,59.14200723,crane,Korn (var),barley
05/08/2022,07:11:40,7,1,0,id_201845,00:11:44,59.16148,15.38565,0,15.24739307,59.17398262,crane,Korn (var),barley
05/08/2022,05:12:10,12,1,0,id_201845,00:11:44,59.16148,15.38565,1,15.42288,59.2082,crane,Korn (var),barley
05/08/2022,06:11:41,8,1,1,id_201845,00:11:44,59.16148,15.38565,1,15.42196,59.20842,crane,Korn (var),barley
02/08/2022,05:11:42,7,1,0,id_201845,00:11:42,59.17992,15.40398,1,15.42386,59.20758,crane,Korn (var),barley
14/08/2022,04:11:36,7,1,0,id_201845,00:11:36,59.17288,15.41714,0,15.34961949,59.21288129,crane,Korn (var),barley
22/07/2022,16:11:59,4,1,0,id_201845,00:11:59,59.1613,15.38629,0,15.29799362,59.14131261,crane,Korn (var),barley
07/08/2022,10:11:38,5,2,0,id_201845,00:11:39,59.16324,15.38835,0,15.31118842,59.18783259,crane,Korn (var),barley
07/08/2022,08:11:38,7,1,0,id_201845,00:11:39,59.16324,15.38835,0,15.3509208,59.16766226,crane,Korn (var),barley
22/07/2022,06:11:53,10,1,0,id_201845,00:11:59,59.1613,15.38629,1,15.42129,59.20878,crane,Korn (var),barley
22/07/2022,16:11:59,4,1,0,id_201845,00:11:59,59.1613,15.38629,1,15.42418,59.20779,crane,Korn (var),barley
02/08/2022,16:11:49,8,1,0,id_201845,00:11:42,59.17992,15.40398,0,15.35004006,59.16939015,crane,Korn (var),barley
12/05/2022,12:12:56,4,2,0,id_201845,00:12:52,59.1641,15.39193,0,15.35008688,59.16390226,crane,Korn (var),barley
24/07/2022,17:11:49,8,1,0,id_201845,00:11:51,59.16126,15.38583,0,15.31537368,59.18328083,crane,Korn (var),barley
05/08/2022,07:11:40,7,1,0,id_201845,00:11:44,59.16148,15.38565,1,15.42146,59.20855,crane,Korn (var),barley
