No;country;study_area;Gender;Owning_garden;agricultre;common_green;Kleingarden;Visit_agriculture;Visit_opengreen;Visit_forest;Visit_water;Length_agriculture;Length_opengreen;Length_forest;Length_water;distance;transport;F6_1;F6_2;F6_3;F6_4;F6_5;F6_6;F6_7;F6_8;F6_9;F6_10;F6_11;Wolfs;Bees;herbs;trees;F8_1;F8_2;F8_3;F8_4;F8_5;F8_6;F8_7;F8_8;F8_9;F8_10;F8_11;F8_12;firewood;decoration;water;fruits_vegetables;regionality_food;Regionality_clothes;F15_1;F15_2;F15_3;F15_4;F15_5;F15_6;F15_7;F15_8;F15_9;F15_10;F15_11;F15_12;F15_13;pics_rape;pics_mosaic;pics_forest;pics_lux;pics_city;pics_mine;organisation;passive_active;birthyr;since_here;prior_region;since;kids;migration_background;where;nationality;highest_school;highest_vocation;work_nature
1;1;1;2;1;1;1;999;3;0;1;1;3;999;3;3;2;1;2;5;5;5;5;6;5;5;3;6;6;1;4;1;4;3;2;5;2;6;2;5;6;5;5;5;999;4;1;4;1;3;2;1;5;4;5;2;5;5;5;5;2;6;6;5;5;6;6;6;4;3;2;999;1951;1;999;999;2;1;     999;Magyar;4; ;2
2;1;1;2;1;1;0;999;3;999;3;0;4;999;4;999;4;3;1;6;6;6;5;6;6;6;6;6;6;1;4;1;4;6;1;6;2;6;1;6;6;4;6;6;999;4;3;4;1;3;3;1;6;6;6;1;6;6;6;6;1;6;6;6;5;6;6;6;5;1;2;999;1955;1;999;999;2;1;     999;Magyar;5; ;2
3;1;1;2;1;0;1;999;0;2;2;1;999;2;3;2;3;3;5;3;4;2;2;6;6;3;4;4;6;1;4;3;3;2;2;6;2;6;2;6;6;4;6;6;999;4;2;4;1;3;3;1;6;4;5;1;6;6;5;6;1;6;6;6;2;6;6;6;2;1;1;999;1970;1;999;999;2;1;     999;Magyar;10; ;2
4;1;1;2;1;1;1;999;3;3;3;1;4;2;3;2;3;3;1;6;6;5;4;6;6;6;6;6;6;1;4;3;3;2;3;6;4;6;1;5;6;4;5;5;999;3;2;4;1;3;0;1;6;5;6;1;6;6;6;6;1;6;6;6;5;5;6;6;2;2;1;1;1969;1;999;999;1;1;     999;Magyar;9; ;1
5;1;1;1;1;0;1;999;999;3;4;1;999;2;4;4;3;3;1;6;6;6;5;6;6;6;3;6;6;2;4;3;4;3;3;6;1;6;1;3;6;5;6;5;999;4;3;4;1;3;2;1;6;5;5;1;6;6;6;6;1;6;6;6;1;3;6;6;2;1;1;1;1979;1;999;999;1;1;     999;Magyar;9; ;1
6;1;1;2;1;1;1;999;3;3;2;3;3;3;3;2;2;2;1;6;4;5;5;6;5;6;3;6;6;1;4;1;3;4;2;6;3;5;1;5;6;2;5;5;999;3;2;4;1;3;0;1;4;4;4;2;5;6;5;5;1;6;5;6;4;4;6;6;1;3;2;999;2002;1;999;999;1;1;     999;Magyar;1;999;2
7;1;1;1;1;1;0;999;3;1;0;0;3;1;999;999;1;1;4;5;4;4;5;6;5;5;1;6;6;1;3;1;1;2;2;6;2;6;2;6;6;5;6;6;999;4;2;4;1;3;3;1;5;5;6;5;5;5;5;5;2;6;5;5;6;6;6;6;6;4;1;999;1954;1;999;999;2;1;     999;Magyar;5; ;2
8;1;1;2;1;1;1;999;2;1;1;1;3;1;3;2;3;3;2;6;6;5;6;6;6;6;3;6;6;1;4;3;1;2;2;6;2;6;2;6;6;5;6;6;999;4;0;4;1;3;1;1;5;4;6;2;6;6;5;5;2;6;6;6;6;6;6;6;3;3;2;999;1972;1;999;999;2;1;     999;Magyar;6; ;2
9;1;1;2;1;1;1;999;2;3;2;1;1;1;3;3;3;1;2;5;5;4;5;6;5;5;3;6;6;2;3;3;3;2;1;6;2;6;2;5;6;5;6;6;999;4;2;4;1;3;0;1;5;5;6;3;5;5;5;5;2;5;5;5;5;6;6;6;4;4;2;999;2002;1;999;999;2;1;     999;Magyar;2;999;2
10;1;1;2;1;1;1;999;3;1;1;1;3;1;3;3;3;3;1;6;5;6;6;6;6;6;4;6;6;1;4;3;3;3;2;5;3;6;2;5;6;5;5;5;999;4;0;4;1;3;2;1;4;4;6;2;5;5;5;5;2;6;6;6;6;6;6;6;5;4;2;999;1970;1;999;999;2;1;     999;Magyar;5; ;2
