Scientific_Name,Sample_Day,Sample_Month,Sample_Year,Data_Collector,Transect,Unit,Quadrat,quadrat_size_m,cover_method,cover_value,C1994,C2016,native2016,duration2016,physiognomy2016
Abutilon theophrasti,5,8,2013,M.Jones,P08,W_Heinkel,Q13,1.0,presence_absence,0,0,0,non-native,annual,forb
Abutilon theophrasti,5,8,2013,M.Jones,P08,W_Heinkel,Q09,1.0,presence_absence,0,0,0,non-native,annual,forb
Abutilon theophrasti,5,8,2013,M.Jones,P08,W_Heinkel,Q01,1.0,presence_absence,0,0,0,non-native,annual,forb
Abutilon theophrasti,5,8,2013,M.Jones,P08,W_Heinkel,Q07,1.0,presence_absence,0,0,0,non-native,annual,forb
Abutilon theophrasti,5,8,2013,M.Jones,P08,W_Heinkel,Q15,1.0,presence_absence,0,0,0,non-native,annual,forb
Abutilon theophrasti,5,8,2013,M.Jones,P08,W_Heinkel,Q04,1.0,presence_absence,0,0,0,non-native,annual,forb
Abutilon theophrasti,5,8,2013,M.Jones,P08,W_Heinkel,Q12,1.0,presence_absence,0,0,0,non-native,annual,forb
Abutilon theophrasti,5,8,2013,M.Jones,P08,W_Heinkel,Q02,1.0,presence_absence,0,0,0,non-native,annual,forb
Abutilon theophrasti,5,8,2013,M.Jones,P08,W_Heinkel,Q11,1.0,presence_absence,0,0,0,non-native,annual,forb
Abutilon theophrasti,5,8,2013,M.Jones,P08,W_Heinkel,Q08,1.0,presence_absence,0,0,0,non-native,annual,forb
Abutilon theophrasti,5,8,2013,M.Jones,P08,W_Heinkel,Q06,1.0,presence_absence,0,0,0,non-native,annual,forb
Abutilon theophrasti,5,8,2013,M.Jones,P08,W_Heinkel,Q10,1.0,presence_absence,0,0,0,non-native,annual,forb
Abutilon theophrasti,5,8,2013,M.Jones,P08,W_Heinkel,Q03,1.0,presence_absence,0,0,0,non-native,annual,forb
Abutilon theophrasti,5,8,2013,M.Jones,P08,W_Heinkel,Q05,1.0,presence_absence,0,0,0,non-native,annual,forb
Abutilon theophrasti,5,8,2013,M.Jones,P08,W_Heinkel,Q14,1.0,presence_absence,0,0,0,non-native,annual,forb
Acer negundo,5,8,2013,M.Jones,P08,W_Heinkel,Q03,1.0,presence_absence,0,,0,native,perennial,tree
Acer negundo,5,8,2013,M.Jones,P08,W_Heinkel,Q08,1.0,presence_absence,0,,0,native,perennial,tree
Acer negundo,5,8,2013,M.Jones,P08,W_Heinkel,Q04,1.0,presence_absence,0,,0,native,perennial,tree
Acer negundo,5,8,2013,M.Jones,P08,W_Heinkel,Q02,1.0,presence_absence,0,,0,native,perennial,tree
Acer negundo,5,8,2013,M.Jones,P08,W_Heinkel,Q06,1.0,presence_absence,0,,0,native,perennial,tree
Acer negundo,5,8,2013,M.Jones,P08,W_Heinkel,Q09,1.0,presence_absence,0,,0,native,perennial,tree
Acer negundo,5,8,2013,M.Jones,P08,W_Heinkel,Q15,1.0,presence_absence,0,,0,native,perennial,tree
Acer negundo,5,8,2013,M.Jones,P08,W_Heinkel,Q14,1.0,presence_absence,0,,0,native,perennial,tree
Acer negundo,5,8,2013,M.Jones,P08,W_Heinkel,Q11,1.0,presence_absence,0,,0,native,perennial,tree
Acer negundo,5,8,2013,M.Jones,P08,W_Heinkel,Q01,1.0,presence_absence,0,,0,native,perennial,tree
Acer negundo,5,8,2013,M.Jones,P08,W_Heinkel,Q12,1.0,presence_absence,0,,0,native,perennial,tree
Acer negundo,5,8,2013,M.Jones,P08,W_Heinkel,Q13,1.0,presence_absence,0,,0,native,perennial,tree
Acer negundo,5,8,2013,M.Jones,P08,W_Heinkel,Q10,1.0,presence_absence,0,,0,native,perennial,tree
Acer negundo,5,8,2013,M.Jones,P08,W_Heinkel,Q07,1.0,presence_absence,0,,0,native,perennial,tree
Acer negundo,5,8,2013,M.Jones,P08,W_Heinkel,Q05,1.0,presence_absence,0,,0,native,perennial,tree
Achillea millefolium,5,8,2013,M.Jones,P08,W_Heinkel,Q05,1.0,presence_absence,0,0,0,native,perennial,forb
Achillea millefolium,5,8,2013,M.Jones,P08,W_Heinkel,Q08,1.0,presence_absence,0,0,0,native,perennial,forb
Achillea millefolium,5,8,2013,M.Jones,P08,W_Heinkel,Q07,1.0,presence_absence,0,0,0,native,perennial,forb
Achillea millefolium,5,8,2013,M.Jones,P08,W_Heinkel,Q09,1.0,presence_absence,0,0,0,native,perennial,forb
Achillea millefolium,5,8,2013,M.Jones,P08,W_Heinkel,Q04,1.0,presence_absence,0,0,0,native,perennial,forb
Achillea millefolium,5,8,2013,M.Jones,P08,W_Heinkel,Q14,1.0,presence_absence,0,0,0,native,perennial,forb
Achillea millefolium,5,8,2013,M.Jones,P08,W_Heinkel,Q11,1.0,presence_absence,0,0,0,native,perennial,forb
Achillea millefolium,5,8,2013,M.Jones,P08,W_Heinkel,Q01,1.0,presence_absence,0,0,0,native,perennial,forb
Achillea millefolium,5,8,2013,M.Jones,P08,W_Heinkel,Q15,1.0,presence_absence,0,0,0,native,perennial,forb
Achillea millefolium,5,8,2013,M.Jones,P08,W_Heinkel,Q04,1.0,presence_absence,0,0,0,native,perennial,forb
Achillea millefolium,5,8,2013,M.Jones,P08,W_Heinkel,Q12,1.0,presence_absence,0,0,0,native,perennial,forb
Achillea millefolium,5,8,2013,M.Jones,P08,W_Heinkel,Q13,1.0,presence_absence,0,0,0,native,perennial,forb
Achillea millefolium,5,8,2013,M.Jones,P08,W_Heinkel,Q06,1.0,presence_absence,0,0,0,native,perennial,forb
Achillea millefolium,5,8,2013,M.Jones,P08,W_Heinkel,Q10,1.0,presence_absence,0,0,0,native,perennial,forb
Achillea millefolium,5,8,2013,M.Jones,P08,W_Heinkel,Q05,1.0,presence_absence,0,0,0,native,perennial,forb
Achillea millefolium,5,8,2013,M.Jones,P08,W_Heinkel,Q03,1.0,presence_absence,0,0,0,native,perennial,forb
Achillea millefolium,5,8,2013,M.Jones,P08,W_Heinkel,Q06,1.0,presence_absence,0,0,0,native,perennial,forb
