Week,bienenfreundlich: (Deutschland) („bee-friendly“)
2016-01-03,7
2016-01-10,7
2016-01-17,0
2016-01-24,0
2016-01-31,0
2016-02-07,7
2016-02-14,0
2016-02-21,0
2016-02-28,0
2016-03-06,0
2016-03-13,0
2016-03-20,0
2016-03-27,8
2016-04-03,15
2016-04-10,0
2016-04-17,0
2016-04-24,0
2016-05-01,17
2016-05-08,0
2016-05-15,8
2016-05-22,0
2016-05-29,7
2016-06-05,0
2016-06-12,7
2016-06-19,0
2016-06-26,0
2016-07-03,0
2016-07-10,0
2016-07-17,0
2016-07-24,0
2016-07-31,0
2016-08-07,0
2016-08-14,0
2016-08-21,0
2016-08-28,0
2016-09-04,0
2016-09-11,0
2016-09-18,0
2016-09-25,0
2016-10-02,0
2016-10-09,0
2016-10-16,0
2016-10-23,0
2016-10-30,0
2016-11-06,0
2016-11-13,0
2016-11-20,0
2016-11-27,0
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,0
2017-01-15,0
2017-01-22,0
2017-01-29,0
2017-02-05,0
2017-02-12,0
2017-02-19,7
2017-02-26,14
2017-03-05,0
2017-03-12,7
2017-03-19,0
2017-03-26,15
2017-04-02,7
2017-04-09,15
2017-04-16,0
2017-04-23,0
2017-04-30,0
2017-05-07,7
2017-05-14,15
2017-05-21,16
2017-05-28,0
2017-06-04,7
2017-06-11,8
2017-06-18,0
2017-06-25,7
2017-07-02,0
2017-07-09,7
2017-07-16,0
2017-07-23,0
2017-07-30,7
2017-08-06,0
2017-08-13,0
2017-08-20,0
2017-08-27,0
2017-09-03,0
2017-09-10,7
2017-09-17,0
2017-09-24,0
2017-10-01,7
2017-10-08,0
2017-10-15,7
2017-10-22,13
2017-10-29,7
2017-11-05,0
2017-11-12,0
2017-11-19,0
2017-11-26,0
2017-12-03,0
2017-12-10,0
2017-12-17,0
2017-12-24,8
2017-12-31,0
2018-01-07,0
2018-01-14,0
2018-01-21,0
2018-01-28,0
2018-02-04,0
2018-02-11,7
2018-02-18,0
2018-02-25,6
2018-03-04,0
2018-03-11,0
2018-03-18,0
2018-03-25,7
2018-04-01,7
2018-04-08,34
2018-04-15,27
2018-04-22,20
2018-04-29,35
2018-05-06,21
2018-05-13,7
2018-05-20,21
2018-05-27,14
2018-06-03,20
2018-06-10,6
2018-06-17,6
2018-06-24,13
2018-07-01,27
2018-07-08,7
2018-07-15,0
2018-07-22,0
2018-07-29,7
2018-08-05,0
2018-08-12,7
2018-08-19,7
2018-08-26,0
2018-09-02,0
2018-09-09,13
2018-09-16,0
2018-09-23,0
2018-09-30,7
2018-10-07,0
2018-10-14,0
2018-10-21,0
2018-10-28,13
2018-11-04,0
2018-11-11,0
2018-11-18,6
2018-11-25,0
2018-12-02,0
2018-12-09,6
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,0
2019-01-13,6
2019-01-20,12
2019-01-27,6
2019-02-03,12
2019-02-10,6
2019-02-17,12
2019-02-24,13
2019-03-03,24
2019-03-10,25
2019-03-17,50
2019-03-24,70
2019-03-31,57
2019-04-07,57
2019-04-14,27
2019-04-21,73
2019-04-28,55
2019-05-05,30
2019-05-12,50
2019-05-19,100
2019-05-26,57
2019-06-02,50
2019-06-09,64
2019-06-16,26
2019-06-23,13
2019-06-30,32
2019-07-07,19
2019-07-14,39
2019-07-21,34
2019-07-28,33
2019-08-04,13
2019-08-11,38
2019-08-18,20
2019-08-25,26
2019-09-01,25
2019-09-08,12
2019-09-15,13
2019-09-22,12
2019-09-29,0
2019-10-06,12
2019-10-13,0
2019-10-20,0
2019-10-27,12
2019-11-03,6
2019-11-10,17
2019-11-17,0
2019-11-24,6
2019-12-01,6
2019-12-08,0
2019-12-15,0
2019-12-22,7
