ObsNr,BroodID,ChickID,NailCode,BSManip,BS_BeforeManip,BS_AfterManip,OdourDonorNest,F_U,FD,Seq,BegResponse,BegDuration,BegScore,ChickMassAtStart,ChickMassAfterFeed
1,145,1,t0,1_U,12,12,164,U,1,1,0,0,0,5.26,5.13
2,145,1,t0,1_U,12,12,145,F,1,2,0,0,0,5.26,5.13
3,145,1,t0,1_U,12,12,145,F,2,1,0,0,0,5.26,5.13
4,145,1,t0,1_U,12,12,164,U,2,2,0,0,0,5.26,5.13
5,145,1,t0,1_U,12,12,164,U,3,1,1,7.88,27,5.26,5.13
6,145,1,t0,1_U,12,12,145,F,3,2,0,0,0,5.26,5.13
7,145,2,t6,1_U,12,12,145,F,1,1,0,0,0,4.36,4.52
8,145,2,t6,1_U,12,12,164,U,1,2,0,0,0,4.36,4.52
9,145,2,t6,1_U,12,12,164,U,2,1,0,0,0,4.36,4.52
10,145,2,t6,1_U,12,12,145,F,2,2,0,0,0,4.36,4.52
11,145,2,t6,1_U,12,12,145,F,3,1,1,3.64,9,4.36,4.52
12,145,2,t6,1_U,12,12,164,U,3,2,1,12.45,45,4.36,4.52
13,164,3,t4,1_U,13,13,164,F,1,1,1,10.15,31,5.79,6.37
14,164,3,t4,1_U,13,13,145,U,1,2,0,0,0,5.79,6.37
15,164,3,t4,1_U,13,13,145,U,2,1,1,7.7,21,5.79,6.37
16,164,3,t4,1_U,13,13,164,F,2,2,1,8.37,20,5.79,6.37
17,164,3,t4,1_U,13,13,164,F,3,1,1,12.87,47,5.79,6.37
18,164,3,t4,1_U,13,13,145,U,3,2,0,0,0,5.79,6.37
19,164,4,t6+8,1_U,13,13,145,U,1,1,1,10.3,32,4.95,5.71
20,164,4,t6+8,1_U,13,13,164,F,1,2,1,5.93,18,4.95,5.71
21,164,4,t6+8,1_U,13,13,164,F,2,1,1,9.25,34,4.95,5.71
22,164,4,t6+8,1_U,13,13,145,U,2,2,1,13.22,41,4.95,5.71
23,164,4,t6+8,1_U,13,13,145,U,3,1,1,9.64,31,4.95,5.71
24,164,4,t6+8,1_U,13,13,164,F,3,2,1,10.71,37,4.95,5.71
25,139,5,t2+4,3_R,11,8,163,U,1,1,0,0,0,6.83,6.84
26,139,5,t2+4,3_R,11,8,139,F,1,2,0,0,0,6.83,6.84
27,139,5,t2+4,3_R,11,8,139,F,2,1,1,12.06,26,6.83,6.84
28,139,5,t2+4,3_R,11,8,163,U,2,2,0,0,0,6.83,6.84
29,139,5,t2+4,3_R,11,8,163,U,3,1,1,13,29,6.83,6.84
30,139,5,t2+4,3_R,11,8,139,F,3,2,1,10.88,29,6.83,6.84
31,139,6,t3+4,3_R,11,8,139,F,1,1,0,0,0,7.67,7.84
32,139,6,t3+4,3_R,11,8,163,U,1,2,0,0,0,7.67,7.84
