CaseNr,Nestbox,HatchDate,AprilHDate,NailCode,Ring,BSManip,OlfactoryTestBrood,OlfactoryTestNestling,Mass_d4,Mass_d15,Alive_d15
1,1,23/05/2015,53,t1,BD23761,0_U,0,0,5.14,12.66,1
2,1,23/05/2015,53,t2,BD23767,0_U,0,0,4.18,10.68,1
3,1,23/05/2015,53,t4,BD23762,0_U,0,0,2.82,12.33,1
4,1,23/05/2015,53,t3,BD23763,0_U,0,0,5.19,11.85,1
5,1,23/05/2015,53,t5,BD23769,0_U,0,0,5.51,12.65,1
6,1,23/05/2015,53,t7,BD23760,0_U,0,0,4.85,11.37,1
7,1,23/05/2015,53,t6,BD23766,0_U,0,0,3.04,11.11,1
8,1,23/05/2015,53,t1+4,BD23768,0_U,0,0,5.26,11.68,1
9,1,23/05/2015,53,t8,BD23765,0_U,0,0,4.37,11.58,1
10,1,23/05/2015,53,t0,BD23764,0_U,0,0,1.57,11.12,1
11,3,16/05/2015,46,t3,BD23722,0_U,0,0,4.6,12.48,1
12,3,16/05/2015,46,t2,BD23721,0_U,0,0,4.86,12.03,1
13,3,16/05/2015,46,t1,NA,0_U,0,0,5.08,NA,0
14,3,16/05/2015,46,t6,BD23723,0_U,0,0,3.79,11.74,1
15,3,16/05/2015,46,t4,BD23719,0_U,0,0,4.71,12.38,1
16,3,16/05/2015,46,t5,BD23720,0_U,0,0,4.64,12.18,1
17,5,15/05/2015,45,t6,BD23315,2_C,1,1,3.56,12.71,1
18,5,15/05/2015,45,t8,BD23316,2_C,1,0,3.76,10.91,1
19,5,15/05/2015,45,t0,BD23312,2_C,1,0,3.81,12.34,1
20,5,15/05/2015,45,t2,BD23314,2_C,1,1,3.82,11.24,1
21,5,15/05/2015,45,t4,BD23318,2_C,1,0,3.86,12.27,1
22,5,15/05/2015,45,t1,BD23309,2_C,1,0,3.93,12.33,1
23,5,15/05/2015,45,t5,BD23313,2_C,1,0,3.97,11.29,1
24,5,15/05/2015,45,t2+4,BD23310,2_C,1,0,4.09,12.34,1
25,5,15/05/2015,45,t7,BD23317,2_C,1,0,4.14,11.4,1
26,5,15/05/2015,45,t3,BD23311,2_C,1,0,4.43,12.95,1
27,6,12/05/2015,42,t4,AU67887,2_C,1,1,2.74,10.38,1
28,6,12/05/2015,42,t3+4,AU67886,2_C,1,0,3.36,10.43,1
29,6,12/05/2015,42,t2+4,AU67881,2_C,1,1,3.43,10.45,1
30,6,12/05/2015,42,t6,AU67880,2_C,1,0,3.54,10.86,1
31,6,12/05/2015,42,t8,AU67878,2_C,1,0,3.64,10.84,1
32,6,12/05/2015,42,t1,AU67884,2_C,1,0,3.68,11.15,1
33,6,12/05/2015,42,t1+4,AU67885,2_C,1,0,3.8,11.77,1
34,6,12/05/2015,42,t3,AU67879,2_C,1,0,3.8,12.26,1
