month,site,management,survey_point,vegetation_height,floral_species_richness,floral_percentage_cover,air_temperature,wind_speed,bumblebee_species_richness,bumblebee_abundance,butterfly_species_richness,butterfly_abundance,hoverfly_abundance,moth_abundance,hq_habitat_1km,hq_habitat_500m,wlf_density_1km,wlf_density_500m
july,A,cut,1,23,0,0,22.5,1.4,0,0,3,5,0,6,54.4,34.7,0.00913823,0.010767858
july,A,cut,2,58,0,0,20,3.5,0,0,4,7,0,3,54.4,34.7,0.00913823,0.010767858
july,A,cut,3,80,0,0,22.6,2.9,0,0,2,4,0,2,54.4,34.7,0.00913823,0.010767858
july,A,cut,4,1,0,0,23.6,2.6,0,0,2,4,0,0,54.4,34.7,0.00913823,0.010767858
july,A,cut,5,31,0,0,23.9,3.9,1,1,3,10,0,2,54.4,34.7,0.00913823,0.010767858
july,A,cut,6,45,0,0,23.1,1.2,1,1,2,4,3,3,54.4,34.7,0.00913823,0.010767858
july,A,cut,7,65,0,0,25.8,0.8,0,0,4,6,0,3,54.4,34.7,0.00913823,0.010767858
july,A,cut,8,54,1,5,22,0.9,3,3,1,1,0,1,54.4,34.7,0.00913823,0.010767858
july,A,cut,9,60,0,0,21.9,3.8,0,0,5,7,0,0,54.4,34.7,0.00913823,0.010767858
july,A,cut,10,67,0,0,21.9,3.2,1,1,1,3,0,2,54.4,34.7,0.00913823,0.010767858
july,B,cut,11,50,0,0,35.8,0,0,0,5,13,0,0,99.5,100,0.01049109,0.009029056
july,B,cut,12,82,0,0,35.2,0,0,0,3,7,0,0,99.5,100,0.01049109,0.009029056
july,B,cut,13,18,0,0,34.8,0,0,0,1,4,0,0,99.5,100,0.01049109,0.009029056
july,B,cut,14,52,2,2,34.3,1,0,0,3,10,0,0,99.5,100,0.01049109,0.009029056
july,B,cut,15,75,0,0,34.9,0,0,0,2,7,0,1,99.5,100,0.01049109,0.009029056
july,B,cut,16,40,0,0,34.1,0,0,0,1,5,0,0,99.5,100,0.01049109,0.009029056
july,B,cut,17,50,0,0,33.4,0,0,0,3,7,0,1,99.5,100,0.01049109,0.009029056
july,B,cut,18,10,0,0,32.2,1.3,0,0,3,5,0,1,99.5,100,0.01049109,0.009029056
july,B,cut,19,10,0,0,33.4,0,0,0,2,6,0,0,99.5,100,0.01049109,0.009029056
july,B,cut,20,30,0,0,33.2,0,0,0,3,10,0,0,99.5,100,0.01049109,0.009029056
july,C,cut,21,25,2,16,24.9,0,2,3,3,10,1,1,49,22,0.00713116,0.009509214
july,C,cut,22,75,2,40,24.7,2.5,2,2,3,15,0,0,49,22,0.00713116,0.009509214
july,C,cut,23,60,2,6,23.1,1.1,2,2,3,5,0,1,49,22,0.00713116,0.009509214
july,C,cut,24,60,2,30,23.6,1.1,0,0,3,11,1,0,49,22,0.00713116,0.009509214
july,C,cut,25,32,4,20,22.7,1.3,2,3,1,5,3,0,49,22,0.00713116,0.009509214
july,C,cut,26,85,2,10,24.4,1.7,1,2,3,6,0,0,49,22,0.00713116,0.009509214
july,C,cut,27,90,3,40,23.7,0,1,7,2,6,0,0,49,22,0.00713116,0.009509214
july,C,cut,28,60,1,5,26.7,1.5,3,4,2,12,1,0,49,22,0.00713116,0.009509214
july,C,cut,29,90,3,55,24.4,2.2,3,8,2,8,1,1,49,22,0.00713116,0.009509214
july,C,cut,30,40,4,26,23.5,3.1,2,6,1,6,0,1,49,22,0.00713116,0.009509214
july,D,cut,31,8,0,0,23.8,2.2,0,0,3,5,0,0,38.4,42.7,0.00736901,0.009526737
july,D,cut,32,6,2,2,22.6,1.4,1,1,2,3,1,1,38.4,42.7,0.00736901,0.009526737
july,D,cut,33,17,0,0,23.7,0,0,0,3,3,0,5,38.4,42.7,0.00736901,0.009526737
july,D,cut,34,12,0,0,22.4,2.4,0,0,1,1,0,8,38.4,42.7,0.00736901,0.009526737
july,D,cut,35,11,1,50,25.5,1.5,0,0,3,7,0,1,38.4,42.7,0.00736901,0.009526737
july,D,cut,36,4,0,0,23.5,2.9,0,0,2,3,0,1,38.4,42.7,0.00736901,0.009526737
july,D,cut,37,5,0,0,25.1,1.4,3,5,4,7,0,0,38.4,42.7,0.00736901,0.009526737
july,D,cut,38,9,0,0,25.9,1.5,0,0,1,1,0,0,38.4,42.7,0.00736901,0.009526737
july,D,cut,39,20,0,0,27.6,1.4,0,0,3,4,0,0,38.4,42.7,0.00736901,0.009526737
july,D,cut,40,28,0,0,26.7,1,0,0,1,5,0,0,38.4,42.7,0.00736901,0.009526737
july,E,cut,41,77,1,15,20.3,0.9,0,0,3,7,0,0,36.1,28.8,0.01246919,0.012015911
july,E,cut,42,65,1,10,19.7,0.9,0,0,2,6,1,2,36.1,28.8,0.01246919,0.012015911
july,E,cut,43,36,2,34,18.2,1.6,3,8,0,0,1,3,36.1,28.8,0.01246919,0.012015911
july,E,cut,44,48,1,99,18.9,2.3,1,1,2,2,0,4,36.1,28.8,0.01246919,0.012015911
july,E,cut,45,3,2,20,18.7,1.7,2,6,3,3,0,3,36.1,28.8,0.01246919,0.012015911
july,E,cut,46,34,1,25,18.4,2.7,2,2,1,1,0,1,36.1,28.8,0.01246919,0.012015911
july,E,cut,47,56,1,56,18.7,1.2,2,4,1,2,1,2,36.1,28.8,0.01246919,0.012015911
july,E,cut,48,66,0,0,18.3,2.2,2,2,1,1,0,2,36.1,28.8,0.01246919,0.012015911
july,E,cut,49,64,2,40,18.5,1.6,3,10,1,1,2,3,36.1,28.8,0.01246919,0.012015911
july,E,cut,50,42,2,10,18.9,0.8,4,11,1,1,0,3,36.1,28.8,0.01246919,0.012015911
july,F,cut,51,100,2,20,24.8,0,0,0,5,24,0,0,49.8,42.3,0.00853738,0.008240911
july,F,cut,52,8,3,55,26.9,0.9,0,0,7,23,2,0,49.8,42.3,0.00853738,0.008240911
july,F,cut,53,7,3,12,28.5,0,0,0,5,25,1,0,49.8,42.3,0.00853738,0.008240911
july,F,cut,54,3,1,5,29.7,0,0,0,6,19,0,0,49.8,42.3,0.00853738,0.008240911
july,F,cut,55,100,0,0,30.1,0,0,0,4,18,1,2,49.8,42.3,0.00853738,0.008240911
july,F,cut,56,2,1,5,31.7,0,0,0,6,20,4,2,49.8,42.3,0.00853738,0.008240911
july,F,cut,57,16,3,30,29,0.8,1,1,5,27,0,0,49.8,42.3,0.00853738,0.008240911
july,F,cut,58,140,1,15,31.6,1.2,0,0,5,19,1,0,49.8,42.3,0.00853738,0.008240911
july,F,cut,59,90,2,35,31.1,0,0,0,6,17,0,0,49.8,42.3,0.00853738,0.008240911
july,F,cut,60,54,3,50,31.2,1.1,0,0,5,19,0,0,49.8,42.3,0.00853738,0.008240911
july,G,grazing,61,1,0,0,31.8,2,0,0,0,0,0,0,90.9,99.4,0.01264476,0.012737767
july,G,grazing,62,7,0,0,33.2,1.6,0,0,2,4,0,0,90.9,99.4,0.01264476,0.012737767
july,G,grazing,63,2,0,0,31.8,0,0,0,2,3,0,1,90.9,99.4,0.01264476,0.012737767
july,G,grazing,64,3,0,0,32.8,1.3,0,0,1,2,0,1,90.9,99.4,0.01264476,0.012737767
july,G,grazing,65,2,0,0,32.1,2.2,0,0,2,2,0,1,90.9,99.4,0.01264476,0.012737767
july,G,grazing,66,3,0,0,31.2,1.4,0,0,2,2,0,1,90.9,99.4,0.01264476,0.012737767
july,G,grazing,67,2,0,0,31.6,1.3,0,0,2,3,0,0,90.9,99.4,0.01264476,0.012737767
july,G,grazing,68,2,0,0,32.3,0,0,0,3,5,0,0,90.9,99.4,0.01264476,0.012737767
july,G,grazing,69,2,0,0,31.1,1.7,0,0,1,2,0,0,90.9,99.4,0.01264476,0.012737767
july,G,grazing,70,2,0,0,31.4,3.1,0,0,2,2,0,0,90.9,99.4,0.01264476,0.012737767
july,H,cut,71,72,0,0,23.1,0,0,0,0,0,1,6,18.3,31,0.00902662,0.009075512
july,H,cut,72,62,1,34,21.4,4.3,1,2,1,1,0,1,18.3,31,0.00902662,0.009075512
july,H,cut,73,51,0,0,22.8,2.4,0,0,1,1,0,2,18.3,31,0.00902662,0.009075512
july,H,cut,74,57,0,0,21.3,0,0,0,0,0,0,4,18.3,31,0.00902662,0.009075512
july,H,cut,75,37,1,2,23.2,0.7,0,0,1,1,0,0,18.3,31,0.00902662,0.009075512
july,H,cut,76,47,1,5,22.6,1.5,0,0,2,2,0,2,18.3,31,0.00902662,0.009075512
july,H,cut,77,78,0,0,23.7,1.1,0,0,2,2,0,0,18.3,31,0.00902662,0.009075512
july,H,cut,78,64,0,0,23.3,1.3,0,0,2,2,0,4,18.3,31,0.00902662,0.009075512
july,H,cut,79,44,0,0,24.5,2.4,0,0,3,3,0,0,18.3,31,0.00902662,0.009075512
july,H,cut,80,32,2,2,24.1,3.2,0,0,3,3,0,0,18.3,31,0.00902662,0.009075512
july,I,grazing,81,3,2,2,25.6,3,0,0,1,1,0,0,57.7,51.5,0.01299173,0.010969038
july,I,grazing,82,3,1,1,25.6,0.7,0,0,1,1,0,0,57.7,51.5,0.01299173,0.010969038
july,I,grazing,83,2,1,1,27,2.4,0,0,1,1,1,0,57.7,51.5,0.01299173,0.010969038
july,I,grazing,84,1,2,2,26.6,1.8,0,0,1,1,0,0,57.7,51.5,0.01299173,0.010969038
july,I,grazing,85,1,1,1,26.8,2.1,0,0,0,0,0,0,57.7,51.5,0.01299173,0.010969038
july,I,grazing,86,2,0,0,26.9,1.1,0,0,0,0,0,1,57.7,51.5,0.01299173,0.010969038
july,I,grazing,87,2,0,0,30.3,0,0,0,0,0,0,0,57.7,51.5,0.01299173,0.010969038
july,I,grazing,88,1,0,0,29.6,0.7,0,0,0,0,0,0,57.7,51.5,0.01299173,0.010969038
july,I,grazing,89,3,1,2,29.9,0,0,0,2,3,0,1,57.7,51.5,0.01299173,0.010969038
july,I,grazing,90,1,1,1,26.6,0,0,0,0,0,0,0,57.7,51.5,0.01299173,0.010969038
july,K,cut,91,2,3,20,27.9,0,0,0,4,7,5,0,11.8,2.5,0.0057951,0.006909139
july,K,cut,92,2,0,0,28.6,0,0,0,3,11,2,0,11.8,2.5,0.0057951,0.006909139
july,K,cut,93,5,2,6,30,0,0,0,2,5,2,0,11.8,2.5,0.0057951,0.006909139
july,K,cut,94,8,2,11,30,1.6,0,0,4,6,5,0,11.8,2.5,0.0057951,0.006909139
july,K,cut,95,4,0,0,31.3,0.9,0,0,1,4,1,0,11.8,2.5,0.0057951,0.006909139
july,K,cut,96,3,0,0,30.5,0,0,0,2,2,0,0,11.8,2.5,0.0057951,0.006909139
july,K,cut,97,1,1,5,31.5,0,0,0,3,3,1,0,11.8,2.5,0.0057951,0.006909139
july,K,cut,98,3,2,3,32.3,0,1,1,3,3,0,0,11.8,2.5,0.0057951,0.006909139
july,K,cut,99,2,5,32,30.4,3.4,1,1,6,13,2,0,11.8,2.5,0.0057951,0.006909139
july,K,cut,100,3,3,26,30.1,2.6,0,0,3,3,5,0,11.8,2.5,0.0057951,0.006909139
july,L,cut,101,1,0,0,28.6,2.5,0,0,1,2,0,1,79.7,72.8,0.00951243,0.008258403
july,L,cut,102,5,0,0,29,3,0,0,2,4,0,2,79.7,72.8,0.00951243,0.008258403
july,L,cut,103,3,0,0,27.7,3.6,0,0,1,7,0,1,79.7,72.8,0.00951243,0.008258403
july,L,cut,104,5,0,0,28.5,1.5,0,0,1,6,0,4,79.7,72.8,0.00951243,0.008258403
july,L,cut,105,12,0,0,29,3.4,0,0,2,3,0,5,79.7,72.8,0.00951243,0.008258403
july,L,cut,106,3,0,0,27.8,2.5,0,0,1,1,0,0,79.7,72.8,0.00951243,0.008258403
july,L,cut,107,2,0,0,27.9,3.5,0,0,1,2,0,0,79.7,72.8,0.00951243,0.008258403
july,L,cut,108,6,0,0,27.3,4.8,0,0,1,4,0,0,79.7,72.8,0.00951243,0.008258403
july,L,cut,109,2,0,0,27.1,4.1,0,0,1,7,0,1,79.7,72.8,0.00951243,0.008258403
july,L,cut,110,1,0,0,27.9,1,0,0,1,8,0,0,79.7,72.8,0.00951243,0.008258403
july,M,cut,111,7,0,0,25.6,1.2,1,1,1,1,3,0,86.9,84.4,0.00925967,0.009409142
july,M,cut,112,3,0,0,26.2,0.7,0,0,2,2,0,1,86.9,84.4,0.00925967,0.009409142
july,M,cut,113,3,0,0,26,0.6,0,0,1,3,0,0,86.9,84.4,0.00925967,0.009409142
july,M,cut,114,22,0,0,25.3,0.6,0,0,3,6,1,0,86.9,84.4,0.00925967,0.009409142
july,M,cut,115,70,0,0,24.1,0.6,0,0,2,6,0,0,86.9,84.4,0.00925967,0.009409142
july,M,cut,116,50,2,55,25.5,0.4,0,0,4,18,0,0,86.9,84.4,0.00925967,0.009409142
july,M,cut,117,35,0,0,27.4,0.9,0,0,4,9,0,0,86.9,84.4,0.00925967,0.009409142
july,M,cut,118,2,0,0,26,1.3,0,0,1,2,0,0,86.9,84.4,0.00925967,0.009409142
july,M,cut,119,3,1,25,26.3,1.7,1,1,1,1,0,0,86.9,84.4,0.00925967,0.009409142
july,M,cut,120,5,1,5,27,2.3,0,0,1,2,0,0,86.9,84.4,0.00925967,0.009409142
july,N,cut,121,100,1,20,25.4,1.9,1,1,4,7,0,0,95.1,81,0.01053808,0.011447154
july,N,cut,122,80,3,36,24.2,0.8,1,1,3,9,3,1,95.1,81,0.01053808,0.011447154
july,N,cut,123,50,2,60,24.3,2,3,3,1,5,4,0,95.1,81,0.01053808,0.011447154
july,N,cut,124,120,2,43,24.4,2.6,2,2,2,6,2,0,95.1,81,0.01053808,0.011447154
july,N,cut,125,100,2,4,25.7,1.1,0,0,3,12,1,0,95.1,81,0.01053808,0.011447154
july,N,cut,126,80,3,14,26.2,1.2,1,1,3,7,0,2,95.1,81,0.01053808,0.011447154
july,N,cut,127,60,2,91,25.7,2.2,1,2,3,12,1,0,95.1,81,0.01053808,0.011447154
july,N,cut,128,40,3,32,25.2,1,2,4,5,13,2,0,95.1,81,0.01053808,0.011447154
july,N,cut,129,50,2,17,25.8,1.2,1,1,3,7,0,0,95.1,81,0.01053808,0.011447154
july,N,cut,130,36,2,15,25.5,0.8,0,0,1,4,1,0,95.1,81,0.01053808,0.011447154
july,O,cut,131,3,0,0,28.3,0,0,0,1,2,2,0,99.1,96.7,0.01291239,0.013358868
july,O,cut,132,22,0,0,29.1,0.9,0,0,1,4,0,0,99.1,96.7,0.01291239,0.013358868
july,O,cut,133,2,0,0,30.7,0,0,0,1,2,0,0,99.1,96.7,0.01291239,0.013358868
july,O,cut,134,11,0,0,28.4,0.8,0,0,0,0,0,0,99.1,96.7,0.01291239,0.013358868
july,O,cut,135,5,0,0,30.6,1.6,0,0,2,2,0,0,99.1,96.7,0.01291239,0.013358868
july,O,cut,136,7,0,0,30.8,0,1,1,1,1,0,1,99.1,96.7,0.01291239,0.013358868
july,O,cut,137,6,0,0,30.9,0.8,0,0,1,1,0,0,99.1,96.7,0.01291239,0.013358868
july,O,cut,138,2,0,0,31,1.3,0,0,0,0,0,0,99.1,96.7,0.01291239,0.013358868
july,O,cut,139,4,0,0,30.6,1.1,0,0,0,0,0,0,99.1,96.7,0.01291239,0.013358868
july,O,cut,140,1,0,0,30.8,0,0,0,1,1,0,0,99.1,96.7,0.01291239,0.013358868
august,A,cut,1,46,0,0,17.6,1.3,0,0,0,0,0,0,54.4,34.7,0.00913823,0.010767858
august,A,cut,2,40,0,0,16.8,2.9,0,0,0,0,0,0,54.4,34.7,0.00913823,0.010767858
august,A,cut,3,37,0,0,18,0,0,0,0,0,1,0,54.4,34.7,0.00913823,0.010767858
august,A,cut,4,53,1,1,16.1,1.1,0,0,0,0,0,0,54.4,34.7,0.00913823,0.010767858
