site,doy,cp,year,spec
1,195,0.02,2018,MOCL
1,201,0.03,2018,MOCL
1,208,0.04,2018,MOCL
1,215,0.05,2018,MOCL
1,222,0.12,2018,MOCL
1,229,0.23,2018,MOCL
1,236,0.28,2018,MOCL
1,243,0.54,2018,MOCL
1,250,0.63,2018,MOCL
1,258,0.86,2018,MOCL
1,265,0.92,2018,MOCL
1,273,0.95,2018,MOCL
1,279,1,2018,MOCL
2,195,0.04,2018,MOCL
2,208,0.06,2018,MOCL
2,215,0.08,2018,MOCL
2,222,0.15,2018,MOCL
2,229,0.23,2018,MOCL
2,236,0.32,2018,MOCL
2,243,0.47,2018,MOCL
2,250,0.65,2018,MOCL
2,258,0.86,2018,MOCL
2,265,0.94,2018,MOCL
2,273,0.96,2018,MOCL
2,279,1,2018,MOCL
3,208,0.01,2018,MOCL
3,215,0.02,2018,MOCL
3,222,0.06,2018,MOCL
3,229,0.17,2018,MOCL
3,236,0.26,2018,MOCL
3,243,0.38,2018,MOCL
3,250,0.69,2018,MOCL
3,258,0.91,2018,MOCL
3,265,0.98,2018,MOCL
3,273,0.99,2018,MOCL
3,279,1,2018,MOCL
4,195,0.01,2018,MOCL
4,201,0.04,2018,MOCL
4,208,0.05,2018,MOCL
4,222,0.07,2018,MOCL
4,229,0.16,2018,MOCL
4,236,0.26,2018,MOCL
4,243,0.47,2018,MOCL
4,250,0.55,2018,MOCL
4,258,0.89,2018,MOCL
4,265,0.92,2018,MOCL
4,273,0.95,2018,MOCL
4,279,1,2018,MOCL
5,194,0.04,2018,MOCL
5,208,0.07,2018,MOCL
5,229,0.15,2018,MOCL
5,236,0.22,2018,MOCL
5,243,0.48,2018,MOCL
5,250,0.63,2018,MOCL
5,258,0.81,2018,MOCL
5,265,0.93,2018,MOCL
5,273,0.96,2018,MOCL
5,279,1,2018,MOCL
6,194,0.02,2018,MOCL
6,208,0.04,2018,MOCL
6,229,0.08,2018,MOCL
6,236,0.1,2018,MOCL
6,243,0.27,2018,MOCL
6,250,0.42,2018,MOCL
6,258,0.77,2018,MOCL
6,265,0.85,2018,MOCL
6,273,0.98,2018,MOCL
6,279,1,2018,MOCL
7,194,0.23,2018,MOCL
7,222,0.46,2018,MOCL
7,229,0.62,2018,MOCL
7,236,0.69,2018,MOCL
7,243,0.85,2018,MOCL
7,250,1,2018,MOCL
8,201,0.04,2018,MOCL
8,208,0.14,2018,MOCL
8,215,0.25,2018,MOCL
8,222,0.29,2018,MOCL
8,229,0.39,2018,MOCL
8,236,0.43,2018,MOCL
8,243,0.82,2018,MOCL
8,250,0.89,2018,MOCL
8,258,0.93,2018,MOCL
8,265,0.96,2018,MOCL
8,273,1,2018,MOCL
9,208,0.03,2018,MOCL
9,215,0.06,2018,MOCL
9,222,0.11,2018,MOCL
9,229,0.2,2018,MOCL
9,236,0.29,2018,MOCL
9,243,0.49,2018,MOCL
9,250,0.6,2018,MOCL
9,258,0.86,2018,MOCL
9,265,0.94,2018,MOCL
9,279,1,2018,MOCL
