site,total,mocl,mosc,pipo,f09,f16,fire,city,canavg,x,y,elevation,year,hli,pos,year
1,240,179,61,8.333,0.326,0.112,0.112,16.08500001,69,40.56986667,-105.34335,44.69859058,2018,0.960326595,12,2018
2,114,65,49,8.910000001,0.146,0.072,0.072,16.65500001,34,40.57121389,-105.3495028,44.92644655,2018,0.95275532,5,2018
3,83,69,14,9.131000001,0.092,0,0,16.84300001,43,40.57223333,-105.3526,45.03825041,2018,0.992067232,1,2018
4,165,123,42,3.387,8.548,3.575000001,3.575000001,1.966,41,40.57586667,-105.37065,45.5028175,2018,0.98981246,2,2018
5,28,23,5,14.66099999,3.821999999,4.468,3.821999999,9.176,66,40.45856667,-105.4232167,46.28319782,2018,0.853800329,1,2018
6,61,41,20,14.8,3.943000001,4.624,3.943000001,8.955999999,44,40.45628333,-105.4236167,46.58841916,2018,0.837163443,7,2018
7,26,11,15,18.08,5.295,9.613999999,5.295,3.19,26,40.35455,-105.4578833,49.81036037,2018,0.865020647,2,2018
8,36,26,10,19.201,5.013,9.611,5.013,3.207,40,40.35183333,-105.4589,50.58454309,2018,0.99818995,0,2018
9,46,31,15,19.057,4.584,9.775999999,4.584,2.495,46,40.34581667,-105.4679833,50.10017964,2018,0.972190227,2,2018
10,38,24,14,10.999,0.547,4.995000001,0.547,9.974,49,40.28718333,-105.37575,45.36864997,2018,0.93930392,1,2018
11,54,33,21,11.94099999,0,6.229,0,10.32500001,45,40.27888333,-105.38735,46.08851484,2018,0.93301434,1,2018
12,60,48,12,11.89800001,0.049,5.691,0.049,9.934000001,35,40.27336667,-105.3914333,46.207402,2018,0.898262768,3,2018
13,61,41,20,12.04899999,0.047,5.04,0.047,9.038,41,40.26518333,-105.3997833,47.09919745,2018,0.833652014,0,2018
14,127,99,28,12.296,0.646,4.499999999,0.646,8.146999999,65,40.25566667,-105.4087167,47.87583942,2018,0.936862654,10,2018
15,79,68,11,12.57500001,0,5.069000001,0,8.219,39,40.26186667,-105.4088167,48.08864315,2018,0.889836277,1,2018
