beetle,doy,site,spec,sex,pos,year
1,195,1,MOCL,M,1,2018
2,195,1,MOCL,M,0,2018
3,195,1,MOCL,F,1,2018
4,195,2,MOCL,M,0,2018
5,195,2,MOCL,F,0,2018
6,195,2,MOCL,F,0,2018
7,195,2,MOSC,F,0,2018
8,195,4,MOCL,F,1,2018
9,194,5,MOCL,M,0,2018
10,194,6,MOCL,F,0,2018
11,194,7,MOCL,M,0,2018
12,194,7,MOCL,F,0,2018
13,194,7,MOCL,F,0,2018
15,194,8,MOSC,F,0,2018
17,194,9,MOSC,M,0,2018
18,194,9,MOSC,F,0,2018
19,194,10,MOCL,F,0,2018
20,194,10,MOCL,F,0,2018
21,194,11,MOCL,M,0,2018
22,194,11,MOSC,F,0,2018
23,194,12,MOCL,M,0,2018
24,194,12,MOSC,M,0,2018
25,194,13,MOSC,F,0,2018
26,194,14,MOCL,M,0,2018
27,194,14,MOCL,F,1,2018
28,194,14,MOCL,F,1,2018
29,194,14,MOCL,F,1,2018
30,194,14,MOCL,F,1,2018
31,194,14,MOCL,F,0,2018
32,194,14,MOCL,F,1,2018
33,194,14,MOCL,F,1,2018
34,194,14,MOCL,F,0,2018
35,194,14,MOCL,F,0,2018
36,194,14,MOSC,M,1,2018
37,194,14,MOSC,M,0,2018
40,194,15,MOCL,F,0,2018
42,194,15,MOSC,F,0,2018
44,194,16,MOCL,M,0,2018
45,194,16,MOCL,M,0,2018
46,194,16,MOCL,F,0,2018
47,194,16,MOCL,F,0,2018
48,194,17,MOCL,F,0,2018
49,194,17,MOCL,F,0,2018
51,194,18,MOCL,M,0,2018
52,194,18,MOCL,M,0,2018
53,194,18,MOCL,M,0,2018
54,194,18,MOCL,F,0,2018
55,194,18,MOCL,F,0,2018
56,194,18,MOCL,F,0,2018
57,194,18,MOCL,F,0,2018
58,194,18,MOCL,F,0,2018
59,194,19,MOCL,M,0,2018
60,194,19,MOCL,F,0,2018
62,194,21,MOCL,F,0,2018
63,194,21,MOCL,F,0,2018
64,194,22,MOCL,M,0,2018
65,194,22,MOCL,M,0,2018
66,194,22,MOCL,M,0,2018
67,194,22,MOCL,M,0,2018
68,194,22,MOCL,M,0,2018
69,194,22,MOCL,F,0,2018
70,194,22,MOCL,F,0,2018
71,194,22,MOCL,F,0,2018
72,194,22,MOCL,F,0,2018
73,194,22,MOCL,F,0,2018
74,194,22,MOCL,F,0,2018
77,194,23,MOCL,F,0,2018
78,194,23,MOCL,F,0,2018
80,194,24,MOCL,F,0,2018
81,194,24,MOCL,F,0,2018
82,194,24,MOCL,F,0,2018
86,195,20,MOCL,M,0,2018
87,195,20,MOCL,M,0,2018
88,195,20,MOCL,M,0,2018
89,195,20,MOCL,F,0,2018
90,195,20,MOCL,F,0,2018
91,195,20,MOCL,F,0,2018
92,195,20,MOCL,F,0,2018
93,195,20,MOCL,F,0,2018
94,195,20,MOSC,M,0,2018
101,195,25,MOCL,F,0,2018
102,195,27,MOCL,M,0,2018
103,195,27,MOCL,M,0,2018
104,195,28,MOCL,M,0,2018
105,195,28,MOCL,F,0,2018
106,195,28,MOCL,F,0,2018
107,195,29,MOCL,M,0,2018
111,201,1,MOCL,M,0,2018
112,201,1,MOCL,M,0,2018
113,201,1,MOCL,F,0,2018
114,201,4,MOCL,F,0,2018
115,201,4,MOCL,F,0,2018
116,201,4,MOCL,F,0,2018
117,201,4,MOCL,F,0,2018
118,201,8,MOCL,M,0,2018
119,201,11,MOCL,M,0,2018
120,201,11,MOCL,F,0,2018
121,201,12,MOCL,M,0,2018
122,201,12,MOSC,F,0,2018
123,201,14,MOCL,M,0,2018
124,201,14,MOCL,M,0,2018
125,201,14,MOCL,F,0,2018
126,201,14,MOCL,F,0,2018
127,201,14,MOCL,F,0,2018
128,201,14,MOCL,F,0,2018
129,201,14,MOCL,F,0,2018
130,201,14,MOCL,F,0,2018
131,201,14,MOCL,F,0,2018
132,201,14,MOCL,F,0,2018
133,201,14,MOCL,F,0,2018
134,201,14,MOSC,M,0,2018
135,201,14,MOSC,M,0,2018
136,201,14,MOSC,M,0,2018
137,201,14,MOSC,F,0,2018
138,201,14,MOSC,F,0,2018
139,201,14,MOSC,F,0,2018
140,201,16,MOCL,F,0,2018
141,201,16,MOCL,F,0,2018
142,201,16,MOCL,F,0,2018
143,201,17,MOCL,F,0,2018
144,201,17,MOCL,F,0,2018
145,201,18,MOCL,F,0,2018
146,201,18,MOSC,M,0,2018
147,201,21,MOCL,M,0,2018
148,201,21,MOCL,F,0,2018
149,201,21,MOCL,F,0,2018
150,201,22,MOCL,F,0,2018
151,201,22,MOSC,F,0,2018
152,201,23,MOSC,M,0,2018
153,201,24,MOCL,M,0,2018
154,201,24,MOCL,F,0,2018
155,201,24,MOCL,F,0,2018
156,201,24,MOCL,F,0,2018
157,201,24,MOCL,F,0,2018
158,201,24,MOCL,F,0,2018
159,201,32,MOCL,F,0,2018
160,202,20,MOCL,M,0,2018
161,202,20,MOCL,M,0,2018
162,202,20,MOSC,F,0,2018
163,202,20,MOSC,F,0,2018
164,202,30,MOCL,M,0,2018
165,202,31,MOSC,F,0,2018
166,208,1,MOCL,F,0,2018
167,208,1,MOCL,F,0,2018
168,208,1,MOSC,M,0,2018
169,208,1,MOSC,M,0,2018
170,208,1,MOSC,F,0,2018
171,208,2,MOCL,F,0,2018
172,208,2,MOCL,F,0,2018
173,208,3,MOCL,F,0,2018
174,208,4,MOCL,M,0,2018
175,208,4,MOCL,F,0,2018
176,208,4,MOSC,M,0,2018
177,208,4,MOSC,F,0,2018
178,208,5,MOCL,M,0,2018
179,208,6,MOCL,F,0,2018
180,208,6,MOSC,F,0,2018
181,208,6,MOSC,F,0,2018
182,208,6,MOSC,F,0,2018
183,208,8,MOCL,M,0,2018
184,208,8,MOCL,M,0,2018
185,208,8,MOCL,F,0,2018
186,208,9,MOCL,F,0,2018
187,208,9,MOSC,F,0,2018
188,208,10,MOCL,M,0,2018
189,208,12,MOSC,F,0,2018
190,208,13,MOCL,F,0,2018
191,208,14,MOCL,M,0,2018
192,208,14,MOCL,M,0,2018
193,208,14,MOCL,M,0,2018
194,208,14,MOCL,F,0,2018
195,208,14,MOCL,F,0,2018
196,208,14,MOCL,F,0,2018
197,208,14,MOCL,F,0,2018
198,208,14,MOCL,F,0,2018
199,208,14,MOSC,M,0,2018
200,208,14,MOSC,M,0,2018
201,208,14,MOSC,F,0,2018
202,208,14,MOSC,F,0,2018
203,208,15,MOCL,M,0,2018
204,208,15,MOSC,M,0,2018
205,208,15,MOSC,M,0,2018
206,208,15,MOSC,F,0,2018
207,208,16,MOCL,F,0,2018
208,208,16,MOCL,F,0,2018
209,208,17,MOCL,F,0,2018
210,208,17,MOSC,M,0,2018
211,208,17,MOSC,M,0,2018
212,208,17,MOSC,F,0,2018
213,208,18,MOCL,F,0,2018
214,208,18,MOSC,M,0,2018
215,208,19,MOCL,M,0,2018
216,208,19,MOCL,M,0,2018
217,208,19,MOCL,F,0,2018
218,208,21,MOCL,M,0,2018
219,208,21,MOCL,F,0,2018
220,208,22,MOCL,M,0,2018
221,208,22,MOCL,M,0,2018
222,208,22,MOCL,F,0,2018
223,208,24,MOCL,F,0,2018
224,208,24,MOCL,F,0,2018
225,208,32,MOCL,M,0,2018
227,209,27,MOCL,F,0,2018
228,209,28,MOCL,M,0,2018
229,209,28,MOSC,F,0,2018
