site,lat,long,mocl,mosc,beelte.neg,beetle.pos,beetle.prop,tree.neg,tree.pos,tree.prop
1,40.56986667,-105.34335,334,98,404,28,6.93,8,1,11.1
2,40.57121389,-105.3495028,158,82,261,14,5.36,10,0,0
3,40.57223333,-105.3526,101,58,234,7,2.99,10,0,0
4,40.57586667,-105.37065,177,72,352,13,3.69,8,0,0
5,40.45856667,-105.4232167,113,49,85,3,3.53,9,0,0
6,40.45628333,-105.4236167,211,65,116,8,6.9,9,0,0
7,40.35455,-105.4578833,217,39,92,5,5.44,10,0,0
8,40.35183333,-105.4589,197,7,82,2,2.44,10,0,0
9,40.34581667,-105.4679833,90,10,123,5,4.07,8,0,0
10,40.28718333,-105.37575,253,47,230,10,4.35,10,0,0
11,40.27888333,-105.38735,104,0,154,5,3.25,10,0,0
12,40.27336667,-105.3914333,162,113,241,8,3.32,10,0,0
13,40.26518333,-105.3997833,112,32,158,4,2.53,10,0,0
14,40.25566667,-105.4087167,146,9,249,27,10.84,1,8,88.9
15,40.26186667,-105.4088167,120,20,243,13,5.35,10,0,0
16,40.20226667,-105.3216,58,19,199,5,2.51,10,0,0
17,40.16618333,-105.4595167,158,2,99,1,1.01,10,0,0
18,40.15935,-105.4701167,5,32,286,14,4.9,10,0,0
19,40.37861667,-105.2597167,13,4,102,2,1.96,7,0,0
20,39.84788333,-105.3413,91,13,140,4,2.86,10,0,0
21,40.10636667,-105.3262333,62,8,153,2,1.31,9,0,0
22,40.12906667,-105.4009167,51,16,137,3,2.19,10,0,0
23,40.13771667,-105.428,186,55,68,9,13.24,10,0,0
24,40.2525,-105.28995,37,3,158,2,1.27,9,0,0
25,39.832942,-105.429698,88,5,32,5,15.63,10,0,0
26,39.8319,-105.4214167,150,8,16,1,6.25,10,0,0
27,39.85135,-105.3502,286,79,102,2,1.96,10,0,0
28,39.8181,-105.2891167,68,20,69,1,1.45,9,1,10
29,39.81816667,-105.29315,96,28,65,2,3.08,10,0,0
30,39.64605,-105.2903333,49,48,39,1,2.56,10,0,0
31,39.66435,-105.2832167,76,8,92,1,1.09,10,0,0
32,40.38145,-105.2674167,99,29,151,7,4.64,10,0,0
FP,40.05396944,-105.2877333,0,1,1,0,0,4,0,0
GC,39.72847222,-105.1938611,6,0,6,0,0,4,0,0
GF,39.77716111,-105.2376306,9,0,9,0,0,3,0,0
GH,39.72106944,-105.184505,5,3,8,0,0,4,0,0
HP,39.97086667,-105.2511289,8,0,8,0,0,4,0,0
MP,40.59570278,-105.0813878,1,0,1,0,0,4,0,0
NP,40.39935556,-105.1224469,8,6,13,1,7.69,4,0,0
PV,40.038325,-105.2751861,2,2,4,0,0,4,0,0
TP,40.53101944,-105.08442,1,0,1,0,0,3,0,0
WP,40.43103333,-105.09094,2,0,2,0,0,2,0,0
KP,40.44540833,-105.0730569,0,0,0,0,0,3,0,0
FC,40.507175,-105.0633978,0,0,0,0,0,3,0,0
