herd,month,monitoring_time,sex_of_herd,total_peeps,avgtime,people_present,wewd,int,easting,northing
224,5,46,F,2,13.46666667,11,Weekday,before_management,710134.4119,735170.1012
152,5,67,F,39,16.46666667,156,Weekend,before_management,710213.5846,734870.99
203,7,159,F,22,9.533333333,60,Weekend,before_management,710107.3206,735376.4146
5,7,60,F,2,15.6,91,Weekend,before_management,710274.933,735827.4022
10,7,7,F,2,16.15,21,Weekend,before_management,710333.7925,735801.4933
7,7,22,F,0,16.43333333,85,Weekend,before_management,710419.6039,735871.8955
22,7,22,F,44,16.81666667,91,Weekend,before_management,710373.2457,735846.4162
22,7,71,F,0,9.333333333,2,Weekday,before_management,710168.8159,735297.1937
128,7,17,F,0,10.16666667,7,Weekday,before_management,709979.1898,735628.8727
200,7,42,F,0,10.73333333,21,Weekday,before_management,710693.3618,735328.1444
29,7,25,F,0,9.533333333,0,Weekday,before_management,709979.0129,735367.9038
42,7,114,F,2,10.81666667,16,Weekday,before_management,710003.5719,735509.146
107,7,125,F,12,12.91666667,38,Weekday,before_management,711115.0137,734446.7659
142,7,15,F,0,10.18333333,1,Weekday,before_management,710068.8278,735411.1945
135,7,160,F,4,11.68333333,86,Weekday,before_management,710022.9415,735397.1276
8,7,35,F,0,9.116666667,6,Weekend,before_management,710097.411,735108.8984
137,7,87,F,4,10.46666667,24,Weekend,before_management,710248.3233,735470.5381
216,7,47,F,12,11.68333333,59,Weekend,before_management,710227.1597,735374.6198
65,7,5,F,2,12.28333333,36,Weekend,before_management,710022.874,735484.2179
142,7,65,F,16,13.11666667,77,Weekend,before_management,710103.0253,735173.3178
65,7,62,F,0,16.78333333,6,Weekday,before_management,710258.0245,734929.7929
230,7,38,F,13,16.01666667,29,Weekday,before_management,710126.7206,735217.3693
15,7,7,F,0,15.63333333,7,Weekday,before_management,710369.4933,736052.8276
2,7,62,F,4,16.3,15,Weekday,before_management,710336.4743,735954.9501
7,7,13,F,0,16.98333333,3,Weekday,before_management,710353.6809,735866.1741
21,7,22,F,0,8.966666667,2,Weekend,before_management,710471.5228,735902.8291
