Year,Season,Active_Holes,Total_Holes,Sett Type,Trial_Code,Sett_ID_Code
1,Summer,0,1,Outlier,Area3,Area3 Sett2
4,Spring,0,1,Outlier,Area3,Area3 Sett2
5,Autumn,0,1,Outlier,Area3,Area3 Sett2
1,Summer,0,1,Outlier,Area3,Area3 Sett3
3,Spring,0,1,Outlier,Area3,Area3 Sett3
1,Summer,0,1,Outlier,Area3,Area3 Sett4
3,Spring,0,1,Outlier,Area3,Area3 Sett4
1,Summer,1,2,Outlier,Area3,Area3 Sett5
3,Spring,0,2,Outlier,Area3,Area3 Sett5
1,Summer,1,2,Outlier,Area3,Area3 Sett6
3,Spring,0,2,Outlier,Area3,Area3 Sett6
3,Spring,0,2,Outlier,Area3,Area3 Sett7
1,Summer,1,3,Outlier,Area3,Area3 Sett8
1,Summer,1,1,Outlier,Area3,Area3 Sett9
1,Summer,0,1,Outlier,Area3,Area3 Sett10
2,Spring,0,1,Outlier,Area3,Area3 Sett10
3,Spring,1,1,Outlier,Area3,Area3 Sett10
3,Winter,0,1,Outlier,Area3,Area3 Sett10
4,Spring,0,1,Outlier,Area3,Area3 Sett10
1,Summer,0,2,Outlier,Area3,Area3 Sett11
2,Spring,0,2,Outlier,Area3,Area3 Sett11
3,Spring,1,3,Outlier,Area3,Area3 Sett11
3,Winter,1,4,Outlier,Area3,Area3 Sett11
4,Spring,2,5,Outlier,Area3,Area3 Sett11
5,Autumn,0,2,Outlier,Area3,Area3 Sett11
1,Summer,0,2,Outlier,Area3,Area3 Sett12
2,Spring,0,2,Outlier,Area3,Area3 Sett12
3,Spring,2,2,Outlier,Area3,Area3 Sett12
3,Winter,0,2,Outlier,Area3,Area3 Sett12
4,Spring,0,2,Outlier,Area3,Area3 Sett12
5,Autumn,0,2,Outlier,Area3,Area3 Sett12
1,Summer,3,5,Outlier,Area3,Area3 Sett13
2,Spring,0,5,Outlier,Area3,Area3 Sett13
3,Spring,4,16,Main,Area3,Area3 Sett13
3,Winter,2,16,Outlier,Area3,Area3 Sett13
4,Spring,1,13,Outlier,Area3,Area3 Sett13
5,Autumn,4,13,Main,Area3,Area3 Sett13
1,Summer,0,1,Outlier,Area3,Area3 Sett14
2,Spring,0,1,Outlier,Area3,Area3 Sett14
3,Spring,3,6,Outlier,Area3,Area3 Sett14
3,Winter,0,6,Outlier,Area3,Area3 Sett14
4,Spring,0,4,Outlier,Area3,Area3 Sett14
5,Autumn,2,6,Outlier,Area3,Area3 Sett14
1,Summer,0,3,Outlier,Area3,Area3 Sett15
2,Spring,0,3,Outlier,Area3,Area3 Sett15
3,Spring,0,3,Outlier,Area3,Area3 Sett15
3,Winter,0,3,Outlier,Area3,Area3 Sett15
4,Spring,0,3,Outlier,Area3,Area3 Sett15
5,Autumn,0,3,Outlier,Area3,Area3 Sett15
1,Summer,0,2,Outlier,Area3,Area3 Sett16
2,Spring,0,2,Outlier,Area3,Area3 Sett16
3,Spring,0,2,Outlier,Area3,Area3 Sett16
3,Winter,0,2,Outlier,Area3,Area3 Sett16
4,Spring,0,2,Outlier,Area3,Area3 Sett16
5,Autumn,0,2,Outlier,Area3,Area3 Sett16
1,Summer,0,1,Outlier,Area3,Area3 Sett17
2,Spring,0,1,Outlier,Area3,Area3 Sett17
3,Spring,0,1,Outlier,Area3,Area3 Sett17
3,Winter,0,3,Outlier,Area3,Area3 Sett17
4,Spring,1,3,Outlier,Area3,Area3 Sett17
5,Autumn,0,1,Outlier,Area3,Area3 Sett17
1,Summer,2,3,Outlier,Area3,Area3 Sett18
2,Spring,2,4,Outlier,Area3,Area3 Sett18
3,Spring,0,3,Outlier,Area3,Area3 Sett18
3,Winter,0,3,Outlier,Area3,Area3 Sett18
4,Spring,0,2,Outlier,Area3,Area3 Sett18
1,Summer,0,1,Outlier,Area3,Area3 Sett19
2,Spring,2,2,Outlier,Area3,Area3 Sett19
3,Spring,0,1,Outlier,Area3,Area3 Sett19
3,Winter,0,1,Outlier,Area3,Area3 Sett19
4,Spring,0,1,Outlier,Area3,Area3 Sett19
1,Summer,0,2,Outlier,Area3,Area3 Sett20
2,Spring,0,3,Outlier,Area3,Area3 Sett20
3,Spring,2,5,Outlier,Area3,Area3 Sett20
3,Winter,0,5,Outlier,Area3,Area3 Sett20
4,Spring,0,3,Outlier,Area3,Area3 Sett20
1,Summer,2,12,Outlier,Area3,Area3 Sett21
2,Spring,3,12,Main,Area3,Area3 Sett21
3,Spring,1,9,Main,Area3,Area3 Sett21
3,Winter,0,9,Main,Area3,Area3 Sett21
4,Spring,0,5,Outlier,Area3,Area3 Sett21
1,Summer,0,3,Outlier,Area3,Area3 Sett22
2,Spring,0,1,Outlier,Area3,Area3 Sett22
3,Spring,0,2,Outlier,Area3,Area3 Sett22
3,Winter,0,2,Outlier,Area3,Area3 Sett22
4,Spring,0,1,Outlier,Area3,Area3 Sett22
1,Summer,4,7,Outlier,Area3,Area3 Sett23
2,Spring,0,4,Outlier,Area3,Area3 Sett23
3,Spring,0,2,Outlier,Area3,Area3 Sett23
3,Winter,0,2,Outlier,Area3,Area3 Sett23
4,Spring,0,2,Outlier,Area3,Area3 Sett23
5,Autumn,0,2,Outlier,Area3,Area3 Sett23
4,Spring,0,4,Outlier,Area3,Area3 Sett24
5,Autumn,0,2,Outlier,Area3,Area3 Sett24
4,Spring,2,7,Outlier,Area3,Area3 Sett25
5,Autumn,0,6,Outlier,Area3,Area3 Sett25
1,Summer,0,3,Outlier,Area3,Area3 Sett26
2,Spring,0,3,Outlier,Area3,Area3 Sett26
3,Autumn,0,3,Outlier,Area3,Area3 Sett26
5,Autumn,4,9,Outlier,Area3,Area3 Sett26
1,Summer,2,5,Outlier,Area3,Area3 Sett27
2,Spring,2,7,Outlier,Area3,Area3 Sett27
3,Spring,2,7,Outlier,Area3,Area3 Sett27
4,Spring,0,6,Outlier,Area3,Area3 Sett27
5,Autumn,0,6,Outlier,Area3,Area3 Sett27
1,Summer,0,2,Outlier,Area3,Area3 Sett28
2,Spring,0,2,Outlier,Area3,Area3 Sett28
3,Spring,0,2,Outlier,Area3,Area3 Sett28
4,Spring,0,2,Outlier,Area3,Area3 Sett28
5,Autumn,0,2,Outlier,Area3,Area3 Sett28
1,Summer,0,2,Outlier,Area3,Area3 Sett29
4,Spring,0,2,Outlier,Area3,Area3 Sett29
5,Autumn,0,2,Outlier,Area3,Area3 Sett29
1,Summer,0,1,Outlier,Area3,Area3 Sett30
2,Spring,1,1,Outlier,Area3,Area3 Sett30
3,Spring,1,2,Outlier,Area3,Area3 Sett30
1,Summer,1,6,Outlier,Area3,Area3 Sett31
2,Spring,0,6,Outlier,Area3,Area3 Sett31
3,Spring,3,9,Outlier,Area3,Area3 Sett31
4,Spring,1,7,Outlier,Area3,Area3 Sett31
5,Autumn,0,5,Outlier,Area3,Area3 Sett31
1,Summer,0,3,Outlier,Area3,Area3 Sett32
2,Spring,1,2,Outlier,Area3,Area3 Sett32
1,Summer,1,1,Outlier,Area3,Area3 Sett33
1,Summer,1,1,Outlier,Area3,Area3 Sett33
2,Spring,0,1,Outlier,Area3,Area3 Sett33
3,Spring,1,2,Outlier,Area3,Area3 Sett33
4,Spring,0,2,Outlier,Area3,Area3 Sett33
5,Autumn,0,2,Outlier,Area3,Area3 Sett33
3,Spring,1,3,Outlier,Area3,Area3 Sett34
5,Autumn,1,3,Outlier,Area3,Area3 Sett34
1,Summer,3,10,Outlier,Area3,Area3 Sett35
