Season,Trial_Year,Traps_Caught,TrapsEmpty,Team_Code,Area_Code
May_June,1,0,2,T30,Area1
May_June,1,0,2,T214,Area1
May_June,1,0,2,T214,Area1
May_June,1,0,2,T214,Area1
May_June,1,0,2,T214,Area1
May_June,1,0,2,T214,Area1
May_June,1,0,2,T214,Area1
May_June,1,0,2,T214,Area1
May_June,1,0,2,T30,Area1
May_June,1,0,24,T78,Area1
May_June,1,3,21,T78,Area1
May_June,1,2,22,T78,Area1
May_June,1,2,22,T78,Area1
May_June,1,0,24,T78,Area1
May_June,1,0,24,T78,Area1
May_June,1,1,23,T78,Area1
May_June,1,0,24,T78,Area1
May_June,1,0,20,T78,Area1
May_June,1,0,20,T78,Area1
May_June,1,0,4,T293,Area1
May_June,1,0,4,T293,Area1
May_June,1,1,3,T293,Area1
May_June,1,1,3,T293,Area1
May_June,1,0,4,T293,Area1
May_June,1,0,4,T293,Area1
May_June,1,0,4,T293,Area1
May_June,1,0,4,T293,Area1
May_June,1,0,4,T293,Area1
May_June,1,0,2,T70,Area1
May_June,1,1,1,T70,Area1
May_June,1,0,2,T70,Area1
May_June,1,0,2,T70,Area1
May_June,1,0,2,T70,Area1
May_June,1,1,1,T70,Area1
May_June,1,0,2,T70,Area1
May_June,1,0,2,T70,Area1
May_June,1,0,2,T17,Area1
May_June,1,0,2,T17,Area1
May_June,1,0,2,T17,Area1
May_June,1,0,2,T17,Area1
May_June,1,3,0,T268,Area1
May_June,1,2,1,T268,Area1
May_June,1,2,1,T268,Area1
May_June,1,0,3,T268,Area1
May_June,1,1,2,T268,Area1
May_June,1,0,3,T268,Area1
May_June,1,0,3,T268,Area1
May_June,1,0,3,T268,Area1
May_June,1,1,2,T268,Area1
May_June,1,0,3,T268,Area1
May_June,1,0,11,T229,Area1
May_June,1,2,9,T146,Area1
May_June,1,0,11,T146,Area1
May_June,1,0,11,T146,Area1
May_June,1,2,9,T146,Area1
May_June,1,1,10,T146,Area1
May_June,1,0,11,T146,Area1
May_June,1,0,11,T146,Area1
May_June,1,0,11,T229,Area1
May_June,1,0,6,T229,Area1
May_June,1,0,4,T229,Area1
May_June,1,0,4,T229,Area1
May_June,1,0,8,T197,Area1
May_June,1,3,5,T198,Area1
May_June,1,3,5,T198,Area1
May_June,1,1,7,T198,Area1
May_June,1,1,7,T198,Area1
May_June,1,2,6,T198,Area1
May_June,1,1,7,T198,Area1
May_June,1,1,7,T198,Area1
May_June,1,1,7,T198,Area1
May_June,1,0,8,T198,Area1
May_June,1,0,4,T198,Area1
May_June,1,0,4,T198,Area1
May_June,1,0,10,T851,Area1
May_June,1,4,6,T347,Area1
May_June,1,0,10,T347,Area1
May_June,1,1,9,T347,Area1
May_June,1,0,10,T347,Area1
May_June,1,1,9,T347,Area1
