Local,YEAR,plot,family,species,AREA (log10),DMAINLAND,COVER,FIRE,Old growth,S_trees,DBH,LANDSAT PCA1,S_PIONEER ,ABD_PIONEER ,P_PIONEER_SP,BASAL_PIONEER,ABD_O.bac,BASAL_O.bac,ABD_C.scia,BASAL_C.scia,ABD_C.lanj,BASAL_C.lanj,utmx,utmy
UHE_Balbina_AM_BRAZIL,2018,Adeus_A,Hymenophylliaceae,Trichomanes pinnatum,2.989538803,54,33.62,3,67.54,65,22.8,235,20,37,30.77,5.82,5,0.77,2,0.21,3,0.271563046,203709.45,9792711.34
UHE_Balbina_AM_BRAZIL,2018,Adeus_A,Hymenophylliaceae,Trichomanes vittaria,2.989538803,54,33.62,3,67.54,65,22.8,235,20,37,30.77,5.82,5,0.77,2,0.21,3,0.271563046,203709.45,9792711.34
UHE_Balbina_AM_BRAZIL,2018,Adeus_A,Lindsaeaceae,Lindsaea lancea,2.989538803,54,33.62,3,67.54,65,22.8,235,20,37,30.77,5.82,5,0.77,2,0.21,3,0.271563046,203709.45,9792711.34
UHE_Balbina_AM_BRAZIL,2018,Adeus_A,Pteridaceae,Adiantum cajennense,2.989538803,54,33.62,3,67.54,65,22.8,235,20,37,30.77,5.82,5,0.77,2,0.21,3,0.271563046,203709.45,9792711.34
UHE_Balbina_AM_BRAZIL,2018,Adeus_A,Pteridaceae,Adiantum obliquum,2.989538803,54,33.62,3,67.54,65,22.8,235,20,37,30.77,5.82,5,0.77,2,0.21,3,0.271563046,203709.45,9792711.34
UHE_Balbina_AM_BRAZIL,2018,Adeus_A,Pteridaceae,Adiantum terminatum,2.989538803,54,33.62,3,67.54,65,22.8,235,20,37,30.77,5.82,5,0.77,2,0.21,3,0.271563046,203709.45,9792711.34
UHE_Balbina_AM_BRAZIL,2018,Adeus_A,Pteridaceae,Adiantum tomentosum,2.989538803,54,33.62,3,67.54,65,22.8,235,20,37,30.77,5.82,5,0.77,2,0.21,3,0.271563046,203709.45,9792711.34
UHE_Balbina_AM_BRAZIL,2018,Adeus_A,Selaginellaceae,Selaginella pedata,2.989538803,54,33.62,3,67.54,65,22.8,235,20,37,30.77,5.82,5,0.77,2,0.21,3,0.271563046,203709.45,9792711.34
UHE_Balbina_AM_BRAZIL,2018,Adeus_A,Tectariaceae,Triplophyllum spp,2.989538803,54,33.62,3,67.54,65,22.8,235,20,37,30.77,5.82,5,0.77,2,0.21,3,0.271563046,203709.45,9792711.34
UHE_Balbina_AM_BRAZIL,2018,Adeus_B,Pteridaceae,Adiantum cajennense,2.989538803,54,33.62,3,72.8,73,21.1,235.5,25,34,34.25,7.18,2,0.53,3,1.46,0,0,203709.45,9792711.34
UHE_Balbina_AM_BRAZIL,2018,Adeus_B,Pteridaceae,Adiantum obliquum,2.989538803,54,33.62,3,72.8,73,21.1,235.5,25,34,34.25,7.18,2,0.53,3,1.46,0,0,203709.45,9792711.34
UHE_Balbina_AM_BRAZIL,2018,Adeus_B,Selaginellaceae,Selaginella pedata,2.989538803,54,33.62,3,72.8,73,21.1,235.5,25,34,34.25,7.18,2,0.53,3,1.46,0,0,203709.45,9792711.34
UHE_Balbina_AM_BRAZIL,2018,Formiga,Hymenophylliaceae,Trichomanes pinnatum,1.181843588,5017,6.23,2,49.47,42,25.4,285.5,14,48,33.33,10.18,23,5.34,0,0,0,0,230702,9797149
UHE_Balbina_AM_BRAZIL,2018,Formiga,Pteridaceae,Adiantum paraense/tuomistoanum,1.181843588,5017,6.23,2,49.47,42,25.4,285.5,14,48,33.33,10.18,23,5.34,0,0,0,0,230702,9797149
UHE_Balbina_AM_BRAZIL,2018,Formiga,Selaginellaceae,Selaginella pedata,1.181843588,5017,6.23,2,49.47,42,25.4,285.5,14,48,33.33,10.18,23,5.34,0,0,0,0,230702,9797149
UHE_Balbina_AM_BRAZIL,2018,Furo_A,Hymenophylliaceae,Trichomanes pinnatum,3.285557309,912,56.71,1,77.31,60,25.7,205,12,27,20,8.45,10,5.8,0,0,0,0,228874.62,9807200.81
UHE_Balbina_AM_BRAZIL,2018,Furo_A,Lindsaeaceae,Lindsaea lancea,3.285557309,912,56.71,1,77.31,60,25.7,205,12,27,20,8.45,10,5.8,0,0,0,0,228874.62,9807200.81
UHE_Balbina_AM_BRAZIL,2018,Furo_A,Lomariopsidaceae,Lomariopsis japurensiscomplex,3.285557309,912,56.71,1,77.31,60,25.7,205,12,27,20,8.45,10,5.8,0,0,0,0,228874.62,9807200.81
UHE_Balbina_AM_BRAZIL,2018,Furo_A,Pteridaceae,Adiantum paraense/tuomistoanum,3.285557309,912,56.71,1,77.31,60,25.7,205,12,27,20,8.45,10,5.8,0,0,0,0,228874.62,9807200.81
UHE_Balbina_AM_BRAZIL,2018,Furo_A,Selaginellaceae,Selaginella pedata,3.285557309,912,56.71,1,77.31,60,25.7,205,12,27,20,8.45,10,5.8,0,0,0,0,228874.62,9807200.81
UHE_Balbina_AM_BRAZIL,2018,Furo_B,Aspleniaceae,Asplenium serratum,3.285557309,912,56.71,1,75,57,22.2,198.5,13,31,22.41,5.7,11,1.62,0,0,0,0,229347.76,9807639.39
UHE_Balbina_AM_BRAZIL,2018,Furo_B,Dryopteridaceae,Polybotrya sessilisora,3.285557309,912,56.71,1,75,57,22.2,198.5,13,31,22.41,5.7,11,1.62,0,0,0,0,229347.76,9807639.39
UHE_Balbina_AM_BRAZIL,2018,Furo_B,Hymenophylliaceae,Trichomanes pinnatum,3.285557309,912,56.71,1,75,57,22.2,198.5,13,31,22.41,5.7,11,1.62,0,0,0,0,229347.76,9807639.39
UHE_Balbina_AM_BRAZIL,2018,Furo_B,Hymenophylliaceae,Trichomanes vittaria,3.285557309,912,56.71,1,75,57,22.2,198.5,13,31,22.41,5.7,11,1.62,0,0,0,0,229347.76,9807639.39
UHE_Balbina_AM_BRAZIL,2018,Furo_B,Lindsaeaceae,Lindsaea lancea,3.285557309,912,56.71,1,75,57,22.2,198.5,13,31,22.41,5.7,11,1.62,0,0,0,0,229347.76,9807639.39
UHE_Balbina_AM_BRAZIL,2018,Furo_B,Lomariopsidaceae,Lomariopsis japurensiscomplex,3.285557309,912,56.71,1,75,57,22.2,198.5,13,31,22.41,5.7,11,1.62,0,0,0,0,229347.76,9807639.39
UHE_Balbina_AM_BRAZIL,2018,Furo_B,Pteridaceae,Adiantum paraense/tuomistoanum,3.285557309,912,56.71,1,75,57,22.2,198.5,13,31,22.41,5.7,11,1.62,0,0,0,0,229347.76,9807639.39
UHE_Balbina_AM_BRAZIL,2018,Furo_B,Selaginellaceae,Selaginella pedata,3.285557309,912,56.71,1,75,57,22.2,198.5,13,31,22.41,5.7,11,1.62,0,0,0,0,229347.76,9807639.39
UHE_Balbina_AM_BRAZIL,2018,Furo_B,Tectariaceae,Triplophyllum spp,3.285557309,912,56.71,1,75,57,22.2,198.5,13,31,22.41,5.7,11,1.62,0,0,0,0,229347.76,9807639.39
UHE_Balbina_AM_BRAZIL,2018,Furo_C,Dryopteridaceae,Polybotrya sessilisora,3.285557309,912,56.71,1,74.19,72,22.7,217.5,19,32,26.39,4.65,8,1.43,0,0,0,0,227677.5,9807485.06
UHE_Balbina_AM_BRAZIL,2018,Furo_C,Hymenophylliaceae,Trichomanes pinnatum,3.285557309,912,56.71,1,74.19,72,22.7,217.5,19,32,26.39,4.65,8,1.43,0,0,0,0,227677.5,9807485.06
UHE_Balbina_AM_BRAZIL,2018,Furo_C,Lindsaeaceae,Lindsaea lancea,3.285557309,912,56.71,1,74.19,72,22.7,217.5,19,32,26.39,4.65,8,1.43,0,0,0,0,227677.5,9807485.06
UHE_Balbina_AM_BRAZIL,2018,Furo_C,Lomariopsidaceae,Lomariopsis japurensiscomplex,3.285557309,912,56.71,1,74.19,72,22.7,217.5,19,32,26.39,4.65,8,1.43,0,0,0,0,227677.5,9807485.06
UHE_Balbina_AM_BRAZIL,2018,Furo_C,Polypodiaceae,Pleopeltis bombycina,3.285557309,912,56.71,1,74.19,72,22.7,217.5,19,32,26.39,4.65,8,1.43,0,0,0,0,227677.5,9807485.06
UHE_Balbina_AM_BRAZIL,2018,Furo_C,Pteridaceae,Adiantum paraense/tuomistoanum,3.285557309,912,56.71,1,74.19,72,22.7,217.5,19,32,26.39,4.65,8,1.43,0,0,0,0,227677.5,9807485.06
UHE_Balbina_AM_BRAZIL,2018,Furo_C,Pteridaceae,Adiantum tomentosum,3.285557309,912,56.71,1,74.19,72,22.7,217.5,19,32,26.39,4.65,8,1.43,0,0,0,0,227677.5,9807485.06
UHE_Balbina_AM_BRAZIL,2018,Furo_C,Tectariaceae,Triplophyllum spp,3.285557309,912,56.71,1,74.19,72,22.7,217.5,19,32,26.39,4.65,8,1.43,0,0,0,0,227677.5,9807485.06
UHE_Balbina_AM_BRAZIL,2018,Jiquitaia,Hymenophylliaceae,Trichomanes pinnatum,1.862131379,800,2.52,2,73.83,53,19.6,246,16,28,30.19,5.97,0,0,2,1.17,9,0.708886332,211331,9796843
UHE_Balbina_AM_BRAZIL,2018,Jiquitaia,Pteridaceae,Adiantum paraense/tuomistoanum,1.862131379,800,2.52,2,73.83,53,19.6,246,16,28,30.19,5.97,0,0,2,1.17,9,0.708886332,211331,9796843
UHE_Balbina_AM_BRAZIL,2018,Jiquitaia,Selaginellaceae,Selaginella pedata,1.862131379,800,2.52,2,73.83,53,19.6,246,16,28,30.19,5.97,0,0,2,1.17,9,0.708886332,211331,9796843
